File,Key,Value,Translation
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Cameron.json,BioDescription,"You grew up in the Terran Hegemony, instilled with a dedication to resurrecting the history that is your birthright. MechWarriors who hail from the Terran Hegemony are formidable combatants, trained in some of the best and most dedicated academies in the Inner Sphere and backed by the incredible power of ComStar and the knowledge that the Hegemony will one day reclaim its place as the leaders of the Inner Sphere. Hegemony citizens are quick to remind others that the Hegemony was the best and brightest of humanity once and will be again.
","당신은 테란 헤게모니에서 성장하며, 자신의 태생적 사명인 역사를 부흥시키겠다는 헌신을 깊이 새겨왔습니다. 테란 헤게모니 출신의 멕워리어들은 이너스피어 최고의 전문 아카데미에서 훈련받은 강력한 전사들이며, 컴스타의 막강한 힘과 언젠가 헤게모니가 이너스피어의 지도자 자리를 되찾을 것이라는 확고한 신념에 의해 뒷받침됩니다. 헤게모니 시민들은 헤게모니가 한때 인류의 최고이자 가장 빛나는 존재였으며, 다시 그러한 위치에 오를 것임을 다른 이들에게 항상 상기시킵니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Davion.json,BioDescription,"You grew up in the Federated Suns, learning the values of organizational efficiency, teamwork and individual skill. MechWarriors who hail from the Federated Suns tend to possess more finely honed skills and better equipment than their counterparts from other regions of space. They often see themselves as righteous warriors and champions of liberty - sometimes to a fault.
","당신은 항성 합중국에서 성장하며 조직적 효율성, 팀워크, 그리고 개인적 기량의 가치를 배웠습니다. 항성 합중국 출신의 멕워리어들은 다른 지역 출신의 이들과 비교해 더 정교하게 다듬어진 기술과 더 나은 장비를 갖추는 경우가 많습니다. 그들은 스스로를 정의로운 전사이자 자유의 수호자로 여기는 경향이 있으며, 때로는 그것이 지나치게 발현되기도 합니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_DeepPeriphery.json,BioDescription,"You grew up in the Deep Periphery, untainted by the principles and values of the Inner Sphere. MechWarriors that hail from the Deep Periphery are rare, but even rarer is the MechWarrior who will admit to such an origin. Beyond the outermost edges of the Periphery lie depths of space that remain uncharted and unknown to most of human civilization, littered with abandoned colonies and small outposts.
","당신은 이너스피어의 원칙과 가치에 물들지 않은 채 깊은 변방지역에서 성장했습니다. 깊은 변방지역 출신의 멕워리어는 드물며, 그 출신을 스스로 인정하는 멕워리어는 더욱 희귀합니다. 변방지역의 최외곽 너머에는 인류 문명의 대부분이 아직 탐사하지 못한 미지의 우주가 펼쳐져 있으며, 그곳은 버려진 식민지와 작은 전초기지들로 점철되어 있습니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Kurita.json,BioDescription,"You grew up in the Draconis Combine, learning the principles of Bushido, the way of the warrior. MechWarriors who hail from the Combine tend to be fierce, disciplined, and relentless fighters. Over centuries of rule, House Kurita has united the Combine into a single culture, heavily molded around medieval Japanese society.
","당신은 드라코니스 연맹에서 성장하며 무사의 길, 즉 무사도를 배웠습니다. 드라코니스 연맹 출신의 멕워리어들은 대체로 사납고, 규율을 중시하며, 끈질긴 전사들입니다. 수 세기에 걸친 통치를 통해 쿠리타 가문은 연맹을 하나의 문화로 통합했으며, 이는 중세 일본 사회를 본떠 강하게 형성되었습니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Liao.json,BioDescription,"You grew up in the Capellan Confederation, instilled with the benefits of a zealous dedication to structure. MechWarriors who hail from the Capellan Confederation are dedicated and steadfast combatants, capable of holding the line and often surprising those opponents who would make the mistake of underestimating them. Most Capellans take great pride in their citizenship, which must be earned through service to the state.
","당신은 카펠란 연합에서 성장하며, 체계에 대한 열정적인 헌신이 주는 가치를 깊이 새겨왔습니다. 카펠란 연합 출신의 멕워리어들은 헌신적이고 굳건한 전사들로, 방어선을 끝까지 지켜내며 그들을 과소평가하는 적들을 종종 놀라게 만듭니다. 대부분의 카펠란 시민들은 자신들의 시민권을 큰 자부심으로 여기는데, 이는 국가에 대한 봉사를 통해서만 얻을 수 있기 때문입니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Magistracy.json,BioDescription,"You grew up in the Magistracy of Canopus, valuing academics and risk assessment. MechWarriors who hail from the Magistracy of Canopus often favor clever and unorthodox tactics on the field. The Magistracy supports an open society that ensures the personal liberty of all citizens and their right to live their lives as they see fit.
",당신은 카노푸스 행정국에서 성장하며 학문과 위험 평가의 가치를 배웠습니다. 카노푸스 행정국 출신의 멕워리어들은 전장에서 영리하고 비정석적인 전술을 선호하는 경우가 많습니다. 카노푸스 행정국은 모든 시민의 개인적 자유와 자신이 원하는 방식으로 삶을 살아갈 권리를 보장하는 개방적인 사회를 지지합니다.
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Marik.json,BioDescription,"You grew up in the Free Worlds League, supporting the development of your skill and independence. MechWarriors who hail from the Free Worlds League tend to be passionate, enduring fighters who value justice and equality above all else. The cultural diversity and independence of the Free Worlds League is at once the greatest strength of the Free Worlds League, and its greatest weaknesses.
","당신은 자유 행성 연대에서 성장하며 자신의 기술과 독립심을 발전시키는 것을 중시했습니다. 자유 행성 연대 출신의 멕워리어들은 정의와 평등을 무엇보다도 중요하게 여기며, 열정적이고 인내심 강한 전사들입니다. 자유 행성 연대의 문화적 다양성과 독립성은 연대의 가장 큰 강점이자 동시에 가장 큰 약점이기도 합니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Outworld.json,BioDescription,"You grew up in the Outworlds Alliance, demonstrating and rioting against a government that betrayed the people. MechWarriors who hail from the Outworlds play nice with Mercenaries who were often employed for garrison duties and the business interests of the Alliance. They often send money back home for food and education.
","당신은 아웃월드 동맹에서 성장하며, 국민을 배신한 정부에 맞서 시위와 저항을 벌였습니다. 아웃월드 동맹 출신의 멕워리어들은 종종 주둔 임무나 동맹의 상업적 이익을 위해 고용되던 용병들과 잘 지내는 편입니다. 그들은 종종 고향에 돈을 보내 식량과 교육을 지원하기도 합니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Periphery.json,BioDescription,"You grew up in the Rimward Periphery, surrounded by skilled labourers with a moderate standard of living. There is no easy way to characterize MechWarriors hailing from the Rimward Periphery - they can be anything from petty thugs to ruthless tacticians to skilled and honorable warriors. The Periphery is the galaxy's frontier, and petty politics and piracy rule the region.","당신은 림워드 변방지역에서 성장했으며, 숙련된 노동자들과 함께 비교적 안정된 생활 수준 속에서 자라왔습니다. 림워드 변방지역 출신의 멕워리어들은 한 가지 방식으로 규정하기 어렵습니다. 그들은 하찮은 깡패일 수도, 무자비한 전략가일 수도, 혹은 숙련되고 명예로운 전사일 수도 있습니다. 변방지역은 은하의 최전선으로, 사소한 정치 싸움과 해적 행위가 이 지역을 지배하고 있습니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Rasalhague.json,BioDescription,"You grew up in the Free Rasalhague Republic, adapting quickly to change and hardship. MechWarriors who hail from the Free Rasalhague Republic show a remarkable level of competence, considering their short history. They adapt well even to dire conditions, used to frequent ambushes from periphery pirates. Their small unit tactics rival any military in the Inner Spheres, highlighting them as an impressive and cohesive fighting force.
","당신은 자유 라살하그 공화국에서 성장하며 변화와 고난에 빠르게 적응했습니다. 자유 라살하그 공화국 출신의 멕워리어들은 짧은 역사에도 불구하고 놀라운 수준의 역량을 보여줍니다. 그들은 변방지역 해적들의 빈번한 습격에 익숙해, 극한의 상황에서도 잘 적응합니다. 또한 이들의 소규모 전술은 이너스피어의 어떤 군대에도 뒤지지 않아, 인상적이고 응집력 있는 전투력으로 평가받습니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_RWR.json,BioDescription,"You grew up in the Rim Worlds Republic, learning the values of fierce indepdencent, individual skill, and personal reliance. MechWarriors who hail from the Rim Worlds Republic tend to distrust the great powers of Inner Sphere and value personal independence in the face of challenges. They learned long ago that the Periphery was on its own and only by sticking together can the Periphery thrive.
","당신은 림 월드 공화국에서 성장하며 강인한 독립심, 개인적 기량, 그리고 자기 의존의 가치를 배웠습니다. 림 월드 공화국 출신의 멕워리어들은 이너스피어의 강대국들을 불신하는 경향이 있으며, 도전에 맞서는 과정에서 개인적 독립을 중시합니다. 그들은 오래전부터 변방지역은 스스로의 힘에 의존할 수밖에 없으며, 함께 뭉쳐야만 번영할 수 있다는 사실을 깨달아왔습니다."
BT Advanced Backgrounds\backgrounds_Ancestry\background_ancestry_Steiner.json,BioDescription,"You grew up in the Lyran Commonwealth, accustomed to the might that comes with wealth. MechWarriors who hail from the Lyran Commonwealth tend to be hardy, well equipped, and well trained, though they have also earned a reputation for not being particularly strategic thinkers on the battlefield. Wealth is the greatest strength of the merchant princes of the Lyran Commonwealth.
","당신은 라이란 연방에서 성장하며, 부가 가져오는 힘에 익숙해졌습니다. 라이란 연방 출신의 멕워리어들은 대체로 강인하고, 잘 갖추어진 장비와 훈련을 자랑하지만, 동시에 전장에서 전략적 사고가 부족하다는 평판을 얻기도 했습니다. 부는 라이란 연방의 상인 군주들에게 있어 가장 큰 힘이자 자산입니다."
