File,Key,Value,Translation
events_Base\tbone_event_co_aPiratesLife1.json,Description.Details,"[[DM.BaseDescriptionDefs[TooltipSimGameCharacterDARIUS],Darius]] calls you to the command center, where he has a message from one of your pirate contacts pulled up. Apparently, your contact has a proposal for you:

<i><b>Greetin's Commander {Commander.LastName},

On occasion, in the course of doing business, I come privy to certain knowledge and opportunities. Opportunities which, me and mine bein' the well-known rabblerousers and buckleswashers we are, be not in a position to take advantage of. But you and yours, what with bein' all ""registered"" and ""licensed"" and ""whatnot"" with the veneer o' civilization an' legitimatism, could do. If'n yer interested, give us a nod or a wink an' we'll surely keep you apprised when choice chances do occur. Mind, if'n we come to ye with a job, ye best be takin' it or we'll find some other outfit fit for the task.

-[[DM.BaseDescriptionDefs[TBoneLoreRoberts],D.P. Roberts]]</i></b>

""Darius? Mind translating? Their speech-to-text software must <i>hate</i> them...no one actually writes like that, do they?""

""Commander, I <i>think</i> what they're saying is that they'll contact us with special jobs if we agree, but they'll be upset if they bring us a contract and we <i>don't</i> take it.""",
events_Base\tbone_event_co_aPiratesLife_ClanNovaCat.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_ClanNovaCat],Nova Cat]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_ClanNovaCat2.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_ClanNovaCat],Nova Cat]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Davion.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Davion],Davion]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Davion2.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Davion],FedSuns]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Delphi.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Delphi],New Delphi Compact]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Delphi2.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Delphi],New Delphi Compact]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Ives.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Ives],St. Ives Compact]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Ives2.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Ives],St. Ives Compact]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
events_Base\tbone_event_co_aPiratesLife_Kurita.json,Description.Details,"""Commander, [[DM.BaseDescriptionDefs[TBoneLoreRoberts],Roberts]] has forwarded us the details for one of his ""special"" contracts. I'll spare you the mental anguish of reading the message yourself, but suffice to say that he's found the location and manifest for a secret [[DM.Factions[faction_Kurita],Draconis Combine]] equipment cache. Apparently it includes a lot of high-end gear, stuff they reserve for their elite units. As always, if we're going to do it, we have to drop immediately.""",
