File,Key,Value,Translation
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,contractName,Guerrilla Interception,게릴라 요격
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[0].dialogueContent[0].words,"The {TEAM_TAR.FactionDef.Demonym} convoy is inbound, Commander.","{TEAM_TAR.FactionDef.Demonym} 호송대가 접근 중입니다, 사령관님."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[0].dialogueContent[1].words,"Let's get eyes on, and intercept the vehicles before they escape the trap.",호송 차량들이 함정을 벗어나기 전에 추적하고 요격합시다.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[0].dialogueContent[2].words,Then we'll extract at our designated location.,그 후 지정된 위치에서 탈출할 예정입니다.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[0].dialogueContent[3].words,"Good luck, Commander. Oliveira out.","행운을 빕니다, 사령관님. 올리베이라 통신 종료."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[1].dialogueContent[0].words,"Well done, Commander. Let's debrief back in orbit.","잘하셨습니다, 사령관님. 궤도에서 다시 브리핑하도록 하죠."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[2].dialogueContent[0].words,"What a mess. Time to call this one off, Commander. I'm scrubbing the mission.","엉망진창이군요. 이번 작전은 여기서 철수합시다, 사령관님. 작전을 취소하겠습니다."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[3].dialogueContent[0].words,"We have a lock on the target vehicles. They should be to your front. Engage and destroy, Commander.","목표 차량의 위치를 확보했습니다. 정면에 있을 것입니다. 교전하여 파괴하십시오, 사령관님."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[4].dialogueContent[0].words,"That's got it, keep firing on those targets until they are neutralized. ",좋습니다. 목표가 무력화될 때까지 계속 사격하세요.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[5].dialogueContent[0].words,Convoy guards are all down. Let's finish up and get out of here.,호송대의 경호병력은 전부 제거되었습니다. 마무리하고 이곳을 떠납시다.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[6].dialogueContent[0].words,"The convoy is reaching its escape point, Commander. We're running out of time. Step it up!","호송대가 탈출 지점에 도달하려 하고 있습니다, 사령관님. 시간이 얼마 남지 않았습니다. 서두르십시오!"
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[7].dialogueContent[0].words,One down. Keep engaging those threats and we'll be out of here.,하나 처리했습니다. 계속 해치운다면 여기서 나갈 수 있습니다.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[8].dialogueContent[0].words,"The convoy is finished, now get what mechs you have to the extraction point and we'll pull you out. Move quickly.",호송대가 파괴되었습니다. 메크를 탈출 지점으로 이동시키면 저희가 철수시키겠습니다. 신속히 움직이세요.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,dialogueList[9].dialogueContent[0].words,"Enemy Reinforcements, get ready for contact.",적 증원군이 접근 중입니다. 교전에 대비하십시오.
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,longDescription,"Commander, this smells political, and that makes me nervous. I suggest we go in, take care of the convoy, and get out again - without asking too many questions. There's a bonus if we clean up all the enemy forces, but that's at your discretion.","사령관님, 이건 정치적 냄새가 나서 불안합니다. 제 제안은 호송대를 처리하고 너무 많은 질문은 생략한 채 빠져나오는 것입니다. 적 병력을 모두 정리하면 보너스가 있지만, 그것은 사령관님의 판단에 맡기겠습니다."
contract\ambushconvoy\2\AmbushConvoy_GuerrillaInterception.json,shortDescription,"Guerrilla strikes against our facilities have increased, and our intel says {TEAM_TAR.FactionDef.Name} is bankrolling the guerrillas and providing logistical support in the form of small arms, explosives, and medical supplies. We need you to intercept the {TEAM_TAR.FactionDef.Demonym} supply convoy and destroy it before it reaches the guerrilla forces.","우리 시설을 겨냥한 게릴라 공격이 증가하고 있습니다. 정보에 따르면 {TEAM_TAR.FactionDef.Name}가 게릴라들에게 자금을 지원하고 있으며, 소형 무기, 폭발물, 의료 용품 등의 물류 지원을 제공하고 있습니다. {TEAM_TAR.FactionDef.Demonym}의 보급 호송대를 요격하여 게릴라 병력에게 도달하기 전에 파괴해 주십시오."
contract\ambushconvoy\2\AmbushConvoy_HostileAcquisitions.json,contractName,Hostile Acquisitions,적대적 인수
