File,Key,Value,Translation
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[0].Full,{0} Damage dealt directly to Internals,{0} 내부 구조에 직접 가해지는 피해
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[100].Full,{0} damage dealt per individual shell in each shot.,각 사격에서 개별 포탄 하나당 {0} 피해
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[101].Full,{0} Damage dealt to Armor,장갑에 가해지는 피해 {0}
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[102].Full,{0} Damage dealt to Structure,구조물에 가해지는 피해 {0}
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[103].Full,Flare shells illuminate an area making attacks against flared targets {0} easier.,"조명탄은 지역을 밝게 비춰, 조명된 목표에 대한 공격을 {0} 더 쉽게 만듭니다."
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[104].Full,Remote Sensors relay sensor data making targets {0} easier to Detect,원격 센서는 센서 데이터를 중계하여 목표를 {0} 더 쉽게 탐지할 수 있게 합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[105].Full,"Airburst shells split into {0} bomblets after traveling at least {1} meters, scattering their payload over the target.",공중폭발 포탄은 최소 {1}미터를 비행한 뒤 {0}개의 자탄으로 분리되어 목표 지역에 탑재물을 분산 살포합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[106].Full,"Airburst shells scatter over {0} meters around the target location, dealing damage across the entire area.",공중폭발 포탄은 목표 지점을 중심으로 반경 {0}미터에 걸쳐 확산되며 해당 구역 전체에 피해를 가합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[107].Full,"Airburst shells split into 10 bomblets after 300m, scattering their payload over the target Area",공중폭발 포탄은 300미터 이후 10개의 자탄으로 분리되어 목표 지역에 탑재물을 분산 살포합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[108].Full,"Airburst shells split into 20 bomblets after 300m, scattering their payload over the target Area",공중폭발 포탄은 300미터 이후 20개의 자탄으로 분리되어 목표 지역에 탑재물을 분산 살포합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[109].Full,"Area Airburst shells split into 4 bomblets after 210m, scattering their payload over several targets within {0}",광역 공중폭발 포탄은 210미터 이후 4개의 자탄으로 분리되어 {0} 범위 내 여러 목표에 탑재물을 분산 살포합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[10].Full,These mines are immune to being destroyed by fire.,이 지뢰들은 화염으로 파괴되지 않습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[110].Full,"{0} damage penalty to direct hits before the airburst shell splits normally, so under {1} meters.","공중폭발 포탄이 정상적으로 분리되기 전, 즉 {1}미터 미만 거리에서는 직격 피해에 {0}의 페널티가 적용됩니다."
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[111].Full,Does not deal Area Of Effect damage.,광역 피해를 가하지 않습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[112].Full,Deals Area Effect Damage within {0} Meters of Impact,충돌 지점을 기준으로 반경 {0}미터 내에 광역 피해를 가합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[113].Full,Additional Area Effect Damage is {0} to Primary and Secondary targets,추가 광역 효과 피해가 주요 및 보조 목표에 각각 {0} 적용됩니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[114].Full,Additional Area Effect Heat Damage is {0} to Primary and Secondary targets,추가 광역 열 피해가 주요 및 보조 목표에 각각 {0} 적용됩니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[115].Full,{0} Area-of-effect stability damage to units in radius.,반경 내 유닛들에게 {0}의 광역 안정성 피해를 가합니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[116].Full,Missile has {0} chance to be intercepted by AMS,미사일은 AMS에 의해 요격될 확률이 {0} 있습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[117].Full,Cannot be intercepted by AMS,AMS에 의해 요격되지 않습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[118].Full,Listen Kill Missiles have active targeting and are {0} more likely to be intercepted by AMS,리스닝 킬 미사일은 능동 유도 기능이 있어 AMS에 요격될 확률이 {0} 더 높습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[119].Full,Improved MRM have active targeting and are {0} more likely to be intercepted by AMS,개량형 MRM은 능동 유도 기능이 있어 AMS에 요격될 확률이 {0} 더 높습니다.
BT Advanced Core/settings/bonusDescriptions/BonusDescriptions_MechEngineer.json,Settings[11].Full,{0} Mines laid per Projectile,발사체 하나당 {0}개의 지뢰를 설치합니다.
