File,Key,Value,Translation
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.DoneDescription.Details,"Shift-Click here to reserve only this unit down to the final phase of the round. Otherwise, remove UNSTEADY and end this 'Mech's turn. Gain GUARDED (20% damage reduction against ranged attacks to the front and side and 20% damage reduced against AOE attacks) and ENTRENCHED (50% stability damage reduction).","Shift-Click하여 이 유닛만 라운드의 마지막 단계까지 대기시킵니다. 그렇지 않으면 불안정 상태를 제거하고 이 멕의 턴을 종료합니다. 가드 상태(전면 및 측면에서 받는 원거리 피해 20% 감소, 범위 피해 20% 감소)와 엄폐 상태(안정도 피해 50% 감소)를 얻습니다."
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.DoneDescriptionBulwark.Details,"Shift-Click here to reserve only this unit down to the final phase of the round. Otherwise, remove UNSTEADY and end this 'Mech's turn. Gain GUARDED (32% damage reduction against ranged attacks to the front and side and 30% damage reduced against AOE attacks) and ENTRENCHED (50% stability damage reduction).","Shift-Click하여 이 유닛만 라운드의 마지막 단계까지 대기시킵니다. 그렇지 않으면 불안정 상태를 제거하고 이 멕의 턴을 종료합니다. 가드 상태(전면 및 측면에서 받는 원거리 피해 32% 감소, 범위 피해 30% 감소)와 엄폐 상태(안정도 피해 50% 감소)를 얻습니다."
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.DoneDescriptionNoBrace.Details,End this 'Mech's turn.,이 멕의 턴을 종료합니다.
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleAttackDescription.Details,"Take a Precise Strike against a single target at largely reduced Difficulty. The target's next Initiative is reduced by 1 (to a minimum of 1).
",단일 목표에 대해 난이도가 크게 감소된 정밀 타격을 수행합니다. 대상의 다음 이니셔티브가 1 감소합니다 (최소 1).
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostAttackDescription.Details,Cost: [ResolveCost] Resolve,비용: [ResolveCost] 사기
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostAttackDescriptionHigh.Details,Cost: <color=#85DBF6FF>[ResolveCost] Resolve (this MechWarrior has High Spirits)</color>,비용: <color=#85DBF6FF>[ResolveCost] 사기 (이 멕워리어는 사기가 높음)</color>
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostAttackDescriptionLow.Details,Cost: <color=#F04228FF>[ResolveCost] Resolve (this MechWarrior has Low Spirits)</color>,비용: <color=#F04228FF>[ResolveCost] 사기 (이 멕워리어는 사기가 낮음)</color>
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostDefendDescription.Details,Cost: [ResolveCost] Resolve,비용: [ResolveCost] 사기
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostDefendDescriptionHigh.Details,Cost: <color=#85DBF6FF>[ResolveCost] Resolve (this MechWarrior has High Spirits)</color>,비용: <color=#85DBF6FF>[ResolveCost] 사기 (이 멕워리어는 사기가 높음)</color>
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleCostDefendDescriptionLow.Details,Cost: <color=#F04228FF>[ResolveCost] Resolve (this MechWarrior has Low Spirits)</color>,비용: <color=#F04228FF>[ResolveCost] 사기 (이 멕워리어는 사기가 낮음)</color>
BT Advanced Core/StreamingAssets/data/constants/CombatGameConstants.json,CombatUIConstants.MoraleDefendDescription.Details,"Gain GUARDED and ENTRENCHED and remove all stability damage. Your next Initiative is increased by 1 (to a maximum of 5).
",가드 상태와 엄폐 상태를 얻고 모든 안정도 피해를 제거합니다. 다음 이니셔티브가 1 증가합니다 (최대 5).
BT Advanced Core/abilities/AbilityDef_ActiveProbe_Small.json,Description.Details,"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown.","행동: [FloatParam1]미터 내 모든 적에게 센서 록을 수행하고, 사용자에게 열 [FloatParam2]를 생성합니다. 재사용 대기시간은 [ActivationCooldown]라운드입니다."
BT Advanced Core/abilities/TraitDefDoublePunch.json,Description.Details,PASSIVE: 'Mechs piloted by this MechWarrior get two attacks instead of one when making a punch attack.,패시브: 이 멕워리어가 조종하는 멕은 펀치 공격 시 한 번이 아닌 두 번 공격합니다.
BT Advanced Core/abilities/TraitDefFlankIncrease20.json,Description.Details,PASSIVE: Tanks piloted by this Tank Crew gain an additional 15% to their flank multiplier.,패시브: 이 전차 승무원이 조종하는 전차는 측면 공격 배율이 15% 추가 증가합니다.
BT Advanced Core/abilities/TraitDefGunneryDmgBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more damage!,패시브: 이 멕워리어는 15% 확률로 피해를 15% 더 줍니다!
BT Advanced Core/abilities/TraitDefGunneryHeatBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more heat damage!,패시브: 이 멕워리어는 15% 확률로 열 피해를 15% 더 줍니다!
BT Advanced Core/abilities/TraitDefGunneryStabBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more stability damage!,패시브: 이 멕워리어는 15% 확률로 안정도 피해를 15% 더 줍니다!
BT Advanced Core/abilities/TraitDefIAmMech.json,Description.Details,PASSIVE: This pilot is a MechWarrior.,패시브: 이 조종사는 멕워리어입니다.
BT Advanced Core/abilities/TraitDefIAmTank.json,Description.Details,PASSIVE: This pilot is a vehicle crew.,패시브: 이 조종사는 차량 승무원입니다.
BT Advanced Core/abilities/TraitDefJamReduceOne.json,Description.Details,PASSIVE: This pilot has a reduced chance for weapon jams.,패시브: 이 조종사는 무기 고장 확률이 감소합니다.
BT Advanced Core/abilities/TraitDefJamReduceTwo.json,Description.Details,PASSIVE: This pilot has a reduced chance for weapon jams.,패시브: 이 조종사는 무기 고장 확률이 감소합니다.
BT Advanced Core/abilities/TraitDefTac1.json,Description.Details,PASSIVE: Resolve generation boosted by 2%,패시브: 사기 생성량이 2% 증가합니다.
BT Advanced Core/abilities/TraitDefTac10.json,Description.Details,PASSIVE: Resolve generation boosted by 20%,패시브: 사기 생성량이 20% 증가합니다.
BT Advanced Core/abilities/TraitDefTac2.json,Description.Details,PASSIVE: Resolve generation boosted by 4%,패시브: 사기 생성량이 4% 증가합니다.
BT Advanced Core/abilities/TraitDefTac3.json,Description.Details,PASSIVE: Resolve generation boosted by 6%,패시브: 사기 생성량이 6% 증가합니다.
BT Advanced Core/abilities/TraitDefTac4.json,Description.Details,PASSIVE: Resolve generation boosted by 8%,패시브: 사기 생성량이 8% 증가합니다.
BT Advanced Core/abilities/TraitDefTac5.json,Description.Details,PASSIVE: Resolve generation boosted by 10%,패시브: 사기 생성량이 10% 증가합니다.
BT Advanced Core/abilities/TraitDefTac6.json,Description.Details,PASSIVE: Resolve generation boosted by 12%,패시브: 사기 생성량이 12% 증가합니다.
BT Advanced Core/abilities/TraitDefTac7.json,Description.Details,PASSIVE: Resolve generation boosted by 14%,패시브: 사기 생성량이 14% 증가합니다.
BT Advanced Core/abilities/TraitDefTac8.json,Description.Details,PASSIVE: Resolve generation boosted by 16%,패시브: 사기 생성량이 16% 증가합니다.
BT Advanced Core/abilities/TraitDefTac9.json,Description.Details,PASSIVE: Resolve generation boosted by 18%,패시브: 사기 생성량이 18% 증가합니다.
BT Advanced Core/designmask/DesignMaskBurnedForest.json,Description.Details,"This is a burned-down forest and negatively affects mech stability after passing through or standing in it. Shame on you, Smokey disapproves.","이곳은 불타버린 숲으로, 지나가거나 그 위에 서 있으면 멕의 안정도에 악영향을 줍니다. 이런 짓은 안 됩니다. 스모키가 못마땅해합니다."
BT Advanced Core/designmask/DesignMaskBurningForest.json,Description.Details,"This is a burning forest. The smoke given off shrouds units and makes them harder to target, but passing through the terrain causes 25 heat damage and causes units to sink 75% of their heat for two turns.","이곳은 불타는 숲입니다. 발생하는 연기가 유닛을 가려 조준을 어렵게 하지만, 지형을 통과하면 열 피해 25를 받고 두 턴 동안 열 방출 효율이 75%로 감소합니다."
BT Advanced Core/designmask/DesignMaskBurningTerrain.json,Description.Details,Units passing through burning terrain only sink 75% of their normal Heat and suffer 20 heat damage as well.,"불타는 지형을 통과하는 유닛은 평소의 75%만큼만 열을 방출하며, 추가로 열 피해 20을 받습니다."
