File,Key,Value,Translation
BT Advanced Events\events_Base\bd_event_BlueSuedeShoes.json,Description.Details,"While orbiting [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Darius calls you to the bridge unexpectedly. ""Commander, I've gotten wind of a rumor on the mercenary markets. It seems that the [[DM.BaseDescriptionDefs[LoreSnordsIrregulars],Snord's Irregulars]] are selling off some material after their clash with Victor-aligned forces on Odessa. Included in the lot of material they're selling is a one-off FrankenMech made by one of their MechTechs, Shorty Sneede. Seems that Sneede met his end on Odessa and the unit is selling his 'Mech. I guess it used to be a Rifleman but is heavily modified now. I've got a contact with the Irregulars and could reach out if we're interested in buying the 'Mech? It's a little expensive and I have no idea what precisely we'll be getting but having a 'Mech from the very famous Irregulars has gotta look good to employers.""","[[TGT_SYSTEM,{TGT_SYSTEM.Name}]]의 궤도에 머무는 동안 다리우스가 갑작스럽게 함교로 부르며 말합니다.

""사령관님, 용병 시장에서 소문을 들었습니다. [[DM.BaseDescriptionDefs[LoreSnordsIrregulars],스노드 용병대]]가 오데사에서 빅터 측 병력과 충돌한 후 일부 자재를 매각하고 있다고 합니다. 매각되는 물품 중 하나는 그들의 멕테크 숏티 스니드가 만든 프랑켄메크라고 불리는 특수 개체라고 합니다. 스니드는 오데사에서 생을 마감했으며 부대는 그의 메크를 판매 중입니다.

듣자 하니 이 메크는 원래 라이플맨이었지만, 대폭 개조되었습니다. 제가 비정규군과 접촉할 수 있는 연락망이 있는데, 만약 우리가 이 메크를 구매하는 데 관심이 있다면 연락해 볼 수 있습니다. 가격이 조금 비싸긴 하지만, 정확히 어떤 메크를 얻게 될지 모르겠군요. 그래도 매우 유명한 용병대의 메크를 보유하는 것은 고용주들에게 좋은 인상을 줄 수 있을 겁니다."""
BT Advanced Events\events_Base\bd_event_co_JohannsJaegers.json,Description.Details,"""Well, Commander {Commander.LastName}? What do you say to a little friendly sparring?"" You lean back in your chair and run a hand through your hair as you ponder the Hauptmann's offer. ""Let me run it by my crew, Hauptmann von Heidelberg, you'll hear from me soon."" As the connection cuts you rise and call Darius to assemble the staff.

""So, if I've got this right, Johann's Jaegers are an elite mercenary unit and they're asking us for a training battle to keep their skills sharp? That about the shape of it?"" You nod affirmative and Darius's frown deepens. ""This is a weird situation, Commander. The only info I can find about these guys is that they're a super-elite unit that dates to [[DM.BaseDescriptionDefs[LoreOpBulldog],Operation Bulldog]] where they helped wipe out the [[DM.BaseDescriptionDefs[LoreClanSmokeJaguar],Smoke Jaguars]]. Are we sure we want to throw our MechWarriors into combat with that kind of skill and firepower?"" Yang practically leaps out of his chair to object, ""We've gotta do it! They've promised us one of their 'Mechs! Imagine, a BattleMech that overthrew a Clan! Commander, we have to go for it!""","""자, 사령관 {Commander.LastName}, 친구처럼 스파링을 해보는 건 어떻습니까?""

당신은 의자에 기대어 앉아 머리를 쓰다듬으며 하우프트만의 제안을 곰곰이 생각합니다.

""내 팀과 상의해보겠습니다, 하우프트만 폰 하이델베르크. 곧 연락드리겠습니다.""

통신이 끊기자 자리에서 일어나 다리우스에게 직원을 모으라고 지시합니다.

""그러니까, 제가 맞게 이해했다면, 요한의 예거 부대는 정예 용병 부대이고, 그들이 기술을 연마하기 위해 우리와 훈련 전투를 요청한 거죠? 그런 모양새인가요?""

당신이 긍정하자, 다리우스의 표정이 더욱 심각해집니다.

""이건 이상한 상황입니다, 사령관님. 제가 이 부대에 대해 찾을 수 있는 정보는 그들이 초정예 부대라는 것뿐입니다. 이 부대는 [[DM.BaseDescriptionDefs[LoreOpBulldog],불독 작전]] 당시[[DM.BaseDescriptionDefs[LoreClanSmokeJaguar],스모크 재규어 클랜]]을 궤멸시키는 데 기여했던 부대랍니다. 그런 실력과 화력을 가진 부대와 우리 멕워리어들을 전투에 투입하는 게 확실히 괜찮을까요?""

양은 의자에서 거의 튀어나올 듯한 자세로 반박합니다.

""우리는 반드시 해야 합니다! 그들이 자신들의 '메크' 중 하나를 우리에게 주겠다고 약속했잖아요! 클랜을 무너뜨린 배틀메크라니요! 사령관님, 이건 놓칠 수 없습니다!"""
BT Advanced Events\events_Base\bd_event_DiplomaticRecognition.json,Description.Details,"What a way to start your day. The [[DM.Factions[faction_ComStar],ComStar]] logo on your viewscreen fades, indicating the connection has been made, and a gently smiling ComStar [[DM.BaseDescriptionDefs[LorePrecentor],Precentor]] takes the logo's place. The robed figure greets you warmly. ""Thank you for speaking with me, Commander {COMMANDER.LastName}. [[DM.Factions[faction_ComStar],ComStar]] has taken notice of your mercenary company's many excellent works throughout the Inner Sphere and wishes to recognize you formally as a friend of interstellar relations. To that end, we are prepared to send you a hand-built [[DM.BaseDescriptionDefs[LoreAmbassadorClass],Ambassador]]-class BattleMech, straight out of the First [[DM.BaseDescriptionDefs[LoreStarLeague],Star League]]'s archives here on Terra. In return, we only ask that you continue your good works and that you consider continuing to spread the word of Holy Blake as you have done. What say you?"" You'd heard rumors that the fabled Ambassadors were being put back into production by [[DM.Factions[faction_ComStar],ComStar]] but you never dreamed that you'd somehow acquire one. You ask if there's any strings attached. ""None, Commander, this is a recognition of your excellent [[DM.BaseDescriptionDefs[LoreMRBC],MRBC]] rating and your willingness to further the cause of international relations. We stands ready to deliver your BattleMech immediately, you only need give the word.""","이렇게 하루를 시작하다니요.

당신의 화면에 [[DM.Factions[faction_ComStar],컴스타]] 로고가 사라지며 연결이 완료되었음을 나타냅니다. 로고 대신 부드럽게 미소 짓는 컴스타 [[DM.BaseDescriptionDefs[LorePrecentor],프리센터]]가 화면에 나타납니다. 로브를 입은 인물이 따뜻하게 인사합니다.

""대화에 응해 주셔서 감사합니다, 사령관 {COMMANDER.LastName}님. [[DM.Factions[faction_ComStar],컴스타]]는 당신의 용병 부대가 내부 구역 전역에서 보여준 훌륭한 업적에 주목하였으며, 당신을 공식적으로 성간 관계의 친구로 인정하고자 합니다. 이를 위해, 우리는 테라에 있는 제1 [[DM.BaseDescriptionDefs[LoreStarLeague],성계연합]] 기록 보관소에서 직접 제작된 [[DM.BaseDescriptionDefs[LoreAmbassadorClass],앰배서더]]급 배틀메크를 제공할 준비가 되어 있습니다. 대가로는 당신이 훌륭한 업적을 이어가시며, 성스러운 블레이크의 말씀을 전파하는 데 협조해 주시기만 하면 됩니다. 어떻게 생각하십니까?""

전설적인 앰배서더가 [[DM.Factions[faction_ComStar],컴스타]]에 의해 다시 생산되고 있다는 소문은 들었지만, 그것을 직접 받을 기회를 갖게 될 줄은 꿈에도 생각하지 못했습니다. 당신은 이 제안에 숨겨진 조건이 있는지 묻습니다.

""없습니다, 사령관님. 이것은 당신의 뛰어난 [[DM.BaseDescriptionDefs[LoreMRBC],MRBC]] 평점과 국제 관계를 증진하는 데 기여해 주신 것에 대한 인정입니다. 배틀메크를 즉시 전달할 준비가 되어 있으며, 당신께서 허락만 하시면 됩니다."""
BT Advanced Events\events_Base\bd_event_mw_theComfortingThunder.json,Description.Details,"While planetside on [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], [[TGT_MW,{TGT_MW.Callsign}]] catches you and Darius with a proposition. ""Commander, I just heard from my old merc unit, the [[DM.BaseDescriptionDefs[LoreToothofYmir],Tooth of Ymir]]. Apparently, they've got a unique, one-of-a-kind, 'Mech available for sale and have been reaching out to old members about picking it up. Sounds like she's a real beauty. Problem is, she's a little expensive, a cool ten million c-bills. Whadda ya think?.""

Darius arches an eyebrow. ""What makes this 'Mech special, {TGT_MW.Callsign}?""

{TGT_MW.Callsign} grins. ""It's a one of a kind custom FrankenMech that the Tooth's chief tech put together, can't get it anywhere else. Imagine what Yang will say when he sees it! It's called the <i>Schwerer Gustav</i>.""

Darius frowns. ""You're not considering buying a ramshackle FrankenMech are you, Commander? It's probably a maintenance nightmare.""","[[TGT_SYSTEM,{TGT_SYSTEM.Name}]] 행성에 머무는 동안, [[TGT_MW,{TGT_MW.Callsign}]]이 당신과 다리우스를 찾아와 제안을 합니다.

""사령관님, 제 옛 용병 부대인 [[DM.BaseDescriptionDefs[LoreToothofYmir],이미르의 이빨]]에서 연락이 왔습니다. 독특하고 유일무이한 메크를 판매 중이라며, 옛 멤버들에게 구매를 권유하고 있다고 합니다. 정말 멋진 메크라더군요. 문제는 가격인데, 쿨하게 천만 C-빌입니다. 어떻게 생각하시나요?""

다리우스가 한쪽 눈썹을 치켜올립니다. ""그 메크가 특별하다는 이유는 뭐죠, {TGT_MW.Callsign}?""

{TGT_MW.Callsign}이 미소를 지으며 대답합니다. ""이미르의 이빨 기술 책임자가 제작한 유일무이한 프랑켄메크입니다. 다른 곳에서는 구할 수 없죠. 양이 이걸 보면 뭐라고 할지 상상이 가십니까? 이름은 <i>슈베러 구스타프</i>입니다.""

다리우스가 얼굴을 찌푸립니다. ""사령관님, 설마 이 조잡한 프랑켄메크를 구매할 생각이신 건 아니죠? 아마 유지보수 악몽일 겁니다."""
BT Advanced Events\events_Base\bd_event_TheIronPrice.json,Description.Details,"While visiting [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Darius flags you down on the bridge one morning. ""Commander, we've been contacted by the local authorities. It seems that the [[DM.BaseDescriptionDefs[LoreBlackWarriors],Black Warriors]] want to ring us up about something. I've got their local representative on the horn now.""

A moment later, a grizzled looking MechWarrior flashes on the screen. ""Commander, you've been a friend to the Circinus Federation and we'd like to recognize that fact. We've got a one-time offer for you: a special FrankenMech that's served with the Black Warriors for awhile now and whose pilot was killed in a recent... training exercise, let's call it. If you want it and you've got the funds to cover the shipping and fees, it's yours. What say you?""","[[TGT_SYSTEM,{TGT_SYSTEM.Name}]]를 방문 중인 어느 아침, 다리우스가 함교에서 당신을 불러 세웁니다. ""사령관님, 현지 당국으로부터 연락이 왔습니다. [[DM.BaseDescriptionDefs[LoreBlackWarriors],블랙 워리어즈]]가 우리와 이야기하고 싶어 하는 것 같습니다. 지금 그들의 지역 대표가 대기 중입니다.""

잠시 후, 화면에 거칠게 생긴 멕워리어가 나타납니다. ""사령관님, 당신은 서키너스 연방의 친구로서 인정받을 자격이 있습니다. 우리는 이를 기념하고자 합니다. 지금 당신께 드릴 수 있는 특별한 제안이 하나 있습니다. 블랙 워리어즈에서 오랫동안 사용되었던 특수 프랑켄메크인데, 최근에... 훈련이라고 부르죠, 그 훈련 중에 파일럿이 사망했습니다. 이 메크가 필요하시고 배송비와 수수료를 감당할 자금이 있다면, 이건 당신 것입니다. 어떻게 하시겠습니까?"""
BT Advanced Events\events_Base\bd_event_TheSixthHouse.json,Description.Details,"You'd come down planetside for a simple drink with Darius, figuring to escape work for an evening. However, you couldn't just have a quiet drink in peace and now there's... someone sitting across the table from you. You'd heard of him before, a rumor really, running around the various hiring halls in the region. That mask he wears is unmistakable after all. The firm and commanding voice coming from beneath it asks his question again. ""Well, Commander {COMMANDER.LastName}, you've heard my offer. I join your crew and I bring my 'Mech, Akulakhan, with me. In exchange, you don't ask any questions about me or my background."" Darius leans over and whispers, ""This guy might be bad news, you sure we want him on board? Think carefully here, boss.""","당신은 다리우스와 함께 단순히 한 잔 하기 위해 행성에 내려왔습니다. 하루 저녁만이라도 일을 잊어보려고 했습니다. 하지만 조용히 술을 마시는 일은 이루어질 수 없었고, 지금은 누군가가 당신 맞은편에 앉아 있습니다.

그에 대해 들어본 적은 있었습니다. 소문 같은 이야기였지만, 이 지역의 여러 고용 홀에서 자주 언급되던 이름입니다. 그리고 그가 쓰고 있는 가면은 너무도 독특해서 착각할 수 없었습니다.

가면 아래에서 울려 나오는 단호하고 권위적인 목소리가 질문을 다시 던집니다. ""그렇다면, 사령관 {COMMANDER.LastName}, 제 제안을 들으셨겠죠. 제가 당신의 팀에 합류하고, 제 메크 '아쿠라칸'도 함께 가져옵니다. 그 대가로 제 과거나 배경에 대해 묻지 않으시겠다고 약속하셔야 합니다.""

다리우스가 몸을 기울이며 속삭입니다. ""이 사람, 문제가 될 수도 있습니다. 그를 팀에 들일 건가요? 신중하게 생각하세요, 대장님."""
BT Advanced Events\events_Base\bd_event_TwoHeadsAreBetterThanOne.json,Description.Details,"Between meetings with suppliers and technicians on [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Yang unexpectedly meets you on the bridge. ""Hey Commander, got a sec?""

You shrug. ""Sure Yang, what is it?"" Your chief MechTech grins. ""Well, you know how gameworlds are famous for their weird modifications and custom 'Mech jobs? I heard from a friend who's local right now and he's got something he's gotta off-load ASAP. His stable won a fight recently and got this weird thing they're calling the Ettin as a prize. Problem is, the stablemaster <i>hates</i> FrankenMechs and is demanding they get rid of it immediately. He knew I was in town and let me know. For a pretty low price we can score a premium one-of-a-kind FrakenMech here! Whatta ya say, do I call him back?""","[[TGT_SYSTEM,{TGT_SYSTEM.Name}]]에서 공급업체와 기술자들과의 미팅 사이, 양이 갑작스럽게 함교에서 당신을 만납니다. ""사령관님, 잠시 시간 있으신가요?""

당신은 어깨를 으쓱하며 대답합니다. ""그래, 양. 무슨 일이야?""

당신의 수석 멕테크가 미소를 지으며 말합니다. ""사령관님도 아시다시피, 게임월드들은 기묘한 개조와 커스텀 메크 작업으로 유명하잖아요? 지금 이 지역에 있는 제 친구로부터 들었는데, 그 친구가 당장 처리해야 할 뭔가가 있다고 합니다. 그들의 스테이블이 최근 전투에서 승리해서 '에틴(Ettin)'이라는 기이한 메크를 전리품으로 얻었대요. 문제는 스테이블 마스터가 프랑켄메크를 <i>극도로 싫어해서</i> 즉시 없애라고 명령했답니다. 친구가 제가 이곳에 있다는 걸 알고 알려준 거죠. 비교적 낮은 가격에 이 유니크한 프랑켄메크를 살 수 있을 것 같은데, 어떻게 하실래요? 제가 연락할까요?"""
BT Advanced Events\events_Base\blue_event_co_Aether.json,Description.Details,"As you relax in a bar after a hard day's work, you feel eyes on the back of your head, and turn to see the bartender pointing your crew out to a woman. Despite her dangerous eyes, you put a hand out, restraining Darius from challenging her as she approaches. Whatever she's here for, it doesn't seem like trouble. At least not the immediate sort.

""Are you Commander {COMMANDER.Callsign}? I heard rumors that you've been taking jobs for a certain Lady."" She watches as you all glance at each other, seeming to take that as enough confirmation to carry on. ""[[DM.BaseDescriptionDefs[Blue_Lore_Aether],Aether]], Mechwarrior, Arano Royal Guard. Well, that and 33rd planetary guard, Weldry."" She scratches the back of her head, seeming embarrassed about that particular posting.

You vaguely recognize her, now that she mentions the royal guard - you saw her face hanging around Raju occasionally, back a few years ago. She leans in close to whisper. ""I heard you trained with Raiju, and I'm a free agent these days.""","힘든 하루를 마친 뒤 바에서 쉬고 있을 때, 누군가의 시선이 당신의 뒤통수를 쳐다보는 것을 느낍니다. 돌아보니 바텐더가 당신의 팀을 한 여성에게 가리키고 있습니다. 그녀의 위험한 눈빛에도 불구하고, 당신은 다리우스를 제지하며 그녀에게 도전하지 않도록 합니다. 그녀가 여기 온 이유가 어떤 것이든, 당장 문제가 될 것 같지는 않습니다.

""당신이 사령관 {COMMANDER.Callsign}인가요? 당신이 특정 귀부인을 위해 일을 하고 있다는 소문을 들었습니다.""

그녀는 당신과 팀원들이 서로를 바라보는 모습을 보고, 그것만으로도 충분히 확인되었다고 판단한 듯 이어갑니다.

""[[DM.BaseDescriptionDefs[Blue_Lore_Aether],에테르]], 멕워리어, 아라노 로열 가드. 아, 그리고 웰드리 33번째 행성 경비대 소속이기도 했습니다.""

그녀는 머리를 긁으며 그 포스트에 대해 약간 당황한 듯한 태도를 보입니다.

그녀가 로열 가드를 언급하자, 당신은 어렴풋이 그녀를 기억해냅니다. 몇 년 전 라주 주변에서 그녀의 얼굴을 본 적이 있었던 것 같습니다. 그녀는 가까이 lean하며 속삭입니다.

""쿠데타 이후로 몸을 숨기고 기회를 기다리고 있었습니다. 만약 당신이 무언가를 하려고 한다면... 저도 합류하고 싶습니다."""
BT Advanced Events\events_Base\bta_event_stockingstuffers.json,Description.Details,"Sitting at your desk in your quarters on the night before Christmas, you sipped your hot cocoa (which [[DM.BaseDescriptionDefs[TooltipSimGameCharacterDARIUS],Darius]] managed to procure at your last resupply somehow) and ruminated on the season. Ah, Christmas! A magical time for all the good girl and boy MechWarriors, a time of magic and mystery, and you had a feeling this year was going to be something special indeed. Just like clockwork, a message popped up on your console with a graphic of a stocking above a fireplace, hung with care. Intrigued and expecting one of [[DM.BaseDescriptionDefs[TooltipSimGameCharacterSumire,Sumire's]] jokes you clicked the message only to be met with a picture of a laughing Santa Claus and the text ""Merry Christmas, Commander! Tell me, were you good or bad this year?"" You ponder for a moment and click the appropriate response.","크리스마스 전날 밤, 당신은 숙소에서 책상에 앉아 다리우스가 마지막 보급 때 어떻게든 구해온 핫초코를 홀짝이며 이 계절에 대해 생각에 잠깁니다.

아, 크리스마스! 모든 착한 소년, 소녀 멕워리어들에게 마법과 신비로 가득한 시간. 올해는 정말 특별한 일이 있을 것 같다는 기분이 듭니다.

정확히 그 순간, 당신의 콘솔에 메시지가 표시됩니다. 벽난로 위에 정성스럽게 걸린 크리스마스 양말의 그래픽이 떠오릅니다. 호기심이 동하고, 수미레가 보낸 장난일 거라는 생각에 메시지를 클릭합니다. 하지만 화면에 나타난 것은 웃고 있는 산타클로스의 사진과 ""메리 크리스마스, 사령관님! 말씀해 보세요, 올해 착하게 지내셨나요, 아니면 나쁘게 지내셨나요?""라는 문구였습니다.

당신은 잠시 고민한 뒤, 적절한 응답을 클릭합니다."
BT Advanced Events\events_Base\bta_event_xpulsemas.json,Description.Details,"Twas the night before Christmas, when all through the ship

Not a thing on the sensors, not even a blip.

The ammo was hung in their CASEs with care,

In hopes that  no crits soon would be rolled there.


The warriors were nestled all snug in their beds,

While visions of large lasers danced in their heads.

And [[DM.BaseDescriptionDefs[TooltipSimGameCharacterSumire,Sumire]] with her coffee, and [[DM.BaseDescriptionDefs[TooltipSimGameCharacterDARIUS],Darius]]  in his Inner Sphere map,

Had just settled their brains for a long winter's nap.


When down in the mechbay there arose such a clatter,

The Commander sprang from {Commander.Det} bed to see what's the matter.

Away to the comscreen {Commander.Subj} flew like a flash,

Typed in her password and opened the dash.","크리스마스 전날 밤, 함선이 고요한 밤을 맞았네,

센서엔 아무것도 잡히지 않으니, 작은 신호조차도 없었네.

CASE 안엔 탄약이 정성껏 걸렸고,

곧 있을지 모를 폭발을 막아주길 바랐네.


멕워리어들은 침대에서 편히 잠들고,

대형 레이저가 춤추는 꿈을 꾸었네.

스미레는 커피를, 다리우스는 구역 지도를 손에 들고,

긴 겨울잠을 준비하며 머리를 정리했네.


그때, 멕 베이 아래에서 큰 소란이 일어나고,

사령관은 침대에서 벌떡 일어나 소동의 이유를 보러 달려갔네.

통신 화면으로 달려가 번개처럼 움직이며,

비밀번호를 치고 대시보드를 열었네."
