File,Key,Value,Translation
events_Base\bd_event_BlueSuedeShoes.json,Description.Details,"While orbiting [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Darius calls you to the bridge unexpectedly. ""Commander, I've gotten wind of a rumor on the mercenary markets. It seems that the [[DM.BaseDescriptionDefs[LoreSnordsIrregulars],Snord's Irregulars]] are selling off some material after their clash with Victor-aligned forces on Odessa. Included in the lot of material they're selling is a one-off FrankenMech made by one of their MechTechs, Shorty Sneede. Seems that Sneede met his end on Odessa and the unit is selling his 'Mech. I guess it used to be a Rifleman but is heavily modified now. I've got a contact with the Irregulars and could reach out if we're interested in buying the 'Mech? It's a little expensive and I have no idea what precisely we'll be getting but having a 'Mech from the very famous Irregulars has gotta look good to employers.""",
events_Base\bd_event_co_JohannsJaegers.json,Description.Details,"""Well, Commander {Commander.LastName}? What do you say to a little friendly sparring?"" You lean back in your chair and run a hand through your hair as you ponder the Hauptmann's offer. ""Let me run it by my crew, Hauptmann von Heidelberg, you'll hear from me soon."" As the connection cuts you rise and call Darius to assemble the staff.

""So, if I've got this right, Johann's Jaegers are an elite mercenary unit and they're asking us for a training battle to keep their skills sharp? That about the shape of it?"" You nod affirmative and Darius's frown deepens. ""This is a weird situation, Commander. The only info I can find about these guys is that they're a super-elite unit that dates to [[DM.BaseDescriptionDefs[LoreOpBulldog],Operation Bulldog]] where they helped wipe out the [[DM.BaseDescriptionDefs[LoreClanSmokeJaguar],Smoke Jaguars]]. Are we sure we want to throw our MechWarriors into combat with that kind of skill and firepower?"" Yang practically leaps out of his chair to object, ""We've gotta do it! They've promised us one of their 'Mechs! Imagine, a BattleMech that overthrew a Clan! Commander, we have to go for it!""",
events_Base\bd_event_DiplomaticRecognition.json,Description.Details,"What a way to start your day. The [[DM.Factions[faction_ComStar],ComStar]] logo on your viewscreen fades, indicating the connection has been made, and a gently smiling ComStar [[DM.BaseDescriptionDefs[LorePrecentor],Precentor]] takes the logo's place. The robed figure greets you warmly. ""Thank you for speaking with me, Commander {COMMANDER.LastName}. [[DM.Factions[faction_ComStar],ComStar]] has taken notice of your mercenary company's many excellent works throughout the Inner Sphere and wishes to recognize you formally as a friend of interstellar relations. To that end, we are prepared to send you a hand-built [[DM.BaseDescriptionDefs[LoreAmbassadorClass],Ambassador]]-class BattleMech, straight out of the First [[DM.BaseDescriptionDefs[LoreStarLeague],Star League]]'s archives here on Terra. In return, we only ask that you continue your good works and that you consider continuing to spread the word of Holy Blake as you have done. What say you?"" You'd heard rumors that the fabled Ambassadors were being put back into production by [[DM.Factions[faction_ComStar],ComStar]] but you never dreamed that you'd somehow acquire one. You ask if there's any strings attached. ""None, Commander, this is a recognition of your excellent [[DM.BaseDescriptionDefs[LoreMRBC],MRBC]] rating and your willingness to further the cause of international relations. We stands ready to deliver your BattleMech immediately, you only need give the word.""",
events_Base\bd_event_MiniMechs.json,Description.Details,"While spending time orbiting [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Darius calls you and the rest of the senior staff to the bridge one afternoon. ""Commander, we've received an anonymous offer. Apparently, this individual wants to send us some suits of [[DM.BaseDescriptionDefs[LoreBattleArmor],Battle Armor]] and a few APCs to accompany them. Are we interested in the offer? Should I contact them back and accept?""


You muse on the idea for a moment, long enough for Yang to pipe up, ""I'd say yes, Commander! [[DM.BaseDescriptionDefs[LoreBattleArmor],Battle Armor]] is a great recent invention and will give us a bunch of fun new tactical options in combat!"" Farah shakes her head at Yang's enthusiasm, ""[[DM.BaseDescriptionDefs[LoreBattleArmor],Battle Armor]] are also fragile and difficult to keep in operation due to needing constant repairs and fresh pilots. Do we want to put our pilots through that kind of difficulty in combat?"" After hearing their perspective, it's time to make a choice.",
events_Base\bd_event_mw_theComfortingThunder.json,Description.Details,"While planetside on [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], [[TGT_MW,{TGT_MW.Callsign}]] catches you and Darius with a proposition. ""Commander, I just heard from my old merc unit, the [[DM.BaseDescriptionDefs[LoreToothofYmir],Tooth of Ymir]]. Apparently, they've got a unique, one-of-a-kind, 'Mech available for sale and have been reaching out to old members about picking it up. Sounds like she's a real beauty. Problem is, she's a little expensive, a cool ten million c-bills. Whadda ya think?.""

Darius arches an eyebrow. ""What makes this 'Mech special, {TGT_MW.Callsign}?""

{TGT_MW.Callsign} grins. ""It's a one of a kind custom FrankenMech that the Tooth's chief tech put together, can't get it anywhere else. Imagine what Yang will say when he sees it! It's called the <i>Schwerer Gustav</i>.""

Darius frowns. ""You're not considering buying a ramshackle FrankenMech are you, Commander? It's probably a maintenance nightmare.""",
events_Base\bd_event_TheIronPrice.json,Description.Details,"While visiting [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Darius flags you down on the bridge one morning. ""Commander, we've been contacted by the local authorities. It seems that the [[DM.BaseDescriptionDefs[LoreBlackWarriors],Black Warriors]] want to ring us up about something. I've got their local representative on the horn now.""

A moment later, a grizzled looking MechWarrior flashes on the screen. ""Commander, you've been a friend to the Circinus Federation and we'd like to recognize that fact. We've got a one-time offer for you: a special FrankenMech that's served with the Black Warriors for awhile now and whose pilot was killed in a recent... training exercise, let's call it. If you want it and you've got the funds to cover the shipping and fees, it's yours. What say you?""",
events_Base\bd_event_TheSixthHouse.json,Description.Details,"You'd come down planetside for a simple drink with Darius, figuring to escape work for an evening. However, you couldn't just have a quiet drink in peace and now there's... someone sitting across the table from you. You'd heard of him before, a rumor really, running around the various hiring halls in the region. That mask he wears is unmistakable after all. The firm and commanding voice coming from beneath it asks his question again. ""Well, Commander {COMMANDER.LastName}, you've heard my offer. I join your crew and I bring my 'Mech, Akulakhan, with me. In exchange, you don't ask any questions about me or my background."" Darius leans over and whispers, ""This guy might be bad news, you sure we want him on board? Think carefully here, boss.""",
events_Base\bd_event_TwoHeadsAreBetterThanOne.json,Description.Details,"Between meetings with suppliers and technicians on [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], Yang unexpectedly meets you on the bridge. ""Hey Commander, got a sec?""

You shrug. ""Sure Yang, what is it?"" Your chief MechTech grins. ""Well, you know how gameworlds are famous for their weird modifications and custom 'Mech jobs? I heard from a friend who's local right now and he's got something he's gotta off-load ASAP. His stable won a fight recently and got this weird thing they're calling the Ettin as a prize. Problem is, the stablemaster <i>hates</i> FrankenMechs and is demanding they get rid of it immediately. He knew I was in town and let me know. For a pretty low price we can score a premium one-of-a-kind FrakenMech here! Whatta ya say, do I call him back?""",
events_Base\blue_event_co_Aether.json,Description.Details,"As you relax in a bar after a hard day's work, you feel eyes on the back of your head, and turn to see the bartender pointing your crew out to a woman. Despite her dangerous eyes, you put a hand out, restraining Darius from challenging her as she approaches. Whatever she's here for, it doesn't seem like trouble. At least not the immediate sort.

""Are you Commander {COMMANDER.Callsign}? I heard rumors that you've been taking jobs for a certain Lady."" She watches as you all glance at each other, seeming to take that as enough confirmation to carry on. ""[[DM.BaseDescriptionDefs[Blue_Lore_Aether],Aether]], Mechwarrior, Arano Royal Guard. Well, that and 33rd planetary guard, Weldry."" She scratches the back of her head, seeming embarrassed about that particular posting.

You vaguely recognize her, now that she mentions the royal guard - you saw her face hanging around Raju occasionally, back a few years ago. She leans in close to whisper. ""I heard you trained with Raiju, and I'm a free agent these days.""",
events_Base\bta_event_stockingstuffers.json,Description.Details,"Sitting at your desk in your quarters on the night before Christmas, you sipped your hot cocoa (which [[DM.BaseDescriptionDefs[TooltipSimGameCharacterDARIUS],Darius]] managed to procure at your last resupply somehow) and ruminated on the season. Ah, Christmas! A magical time for all the good girl and boy MechWarriors, a time of magic and mystery, and you had a feeling this year was going to be something special indeed. Just like clockwork, a message popped up on your console with a graphic of a stocking above a fireplace, hung with care. Intrigued and expecting one of [[DM.BaseDescriptionDefs[TooltipSimGameCharacterSumire,Sumire's]] jokes you clicked the message only to be met with a picture of a laughing Santa Claus and the text ""Merry Christmas, Commander! Tell me, were you good or bad this year?"" You ponder for a moment and click the appropriate response.",
