File,Key,Value,Translation
BT Advanced Factions/factions/faction_ComStar.json,BadFaithFailureStatement,"Far be it from a simple organization like ComStar to reprimand you in matters of warfare, Commander, but... your performance on that operation was positively abysmal. We roundly condemn your inadequacies.",전쟁 문제에 대해 우리 같은 소박한 조직이 사령관님을 질책하는 건 주제넘을지도 모르겠습니다만… 이번 작전에서의 수행은 참으로 형편없었습니다. 우리는 그 무능함을 강하게 규탄합니다.
BT Advanced Factions/StreamingAssets/data/factions/faction_AuriganBetrayers.json,BadFaithFailureStatement,"I'm sorry to learn your mission was a failure, Commander. I hope that occurrences like this will be rare. If they're not, you'll probably be out of 'Mechs before too long.","임무가 실패했다는 소식을 듣게 되어 유감입니다, 사령관님. 이런 일이 드물기를 바랍니다. 그렇지 않다면 머지않아 멕이 남아나지 않을지도 모릅니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_AuriganMercenaries.json,BadFaithFailureStatement,"That was an utter catastrophe, Commander. We can't afford failures like that.","이번 작전은 완전한 재앙이었습니다, 사령관님. 우리는 그런 실패를 감당할 수 없습니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_AuriganPirates.json,BadFaithFailureStatement,"For someone with your hardware, I expected better things. You let us down, Commander-and I'm gonna be sure to tell everyone I know not to count on you in the future.","그 정도 장비를 갖추고 계신 분이라면 더 나은 결과를 기대했습니다. 실망시켰습니다, 사령관님. 앞으로는 다른 이들에게도 당신을 믿지 말라고 이야기하겠습니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_AuriganRestoration.json,BadFaithFailureStatement,"I'm sorry to learn your mission was a failure, Commander. I hope that occurrences like this will be rare. If they're not, you'll probably be out of 'Mechs before too long.","임무가 실패했다는 소식을 듣게 되어 유감입니다, 사령관님. 이런 일이 드물기를 바랍니다. 그렇지 않다면 머지않아 멕이 남아나지 않을지도 모릅니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_Davion.json,BadFaithFailureStatement,"Come now, mercenary-did you even try to complete the contract, or did you believe we'd pay you for your own inadequacies? Such a dismal performance cannot be rewarded, only reprimanded.","이봐요, 용병 양반—계약을 완수할 생각이 있기는 했습니까, 아니면 자신의 무능함에도 우리가 돈을 줄 거라 믿으셨습니까? 이런 한심한 수행은 보상이 아니라 질책을 받아 마땅합니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_Kurita.json,BadFaithFailureStatement,"Your performance was an embarrassment, Commander. The Draconis Combine expects more of their mercenaries. Keep this up, and we may not offer you any contracts at all!","당신의 수행은 실망스러웠습니다, 사령관님. 드라코니스 연맹은 자국의 용병들에게 더 높은 수준을 기대합니다. 이런 식이라면 앞으로는 계약 제안조차 받지 못할 수도 있습니다!"
BT Advanced Factions/StreamingAssets/data/factions/faction_Liao.json,BadFaithFailureStatement,"If you cannot accomplish the missions we lay before you, Commander, we will find another mercenary who can! Consider this a warning to perform better-or be replaced.","우리가 맡긴 임무를 수행할 수 없다면, 사령관님, 대신 해낼 수 있는 다른 용병을 찾겠습니다! 이것을 경고로 받아들이십시오. 더 나은 결과를 내지 못하면 교체될 것입니다."
BT Advanced Factions/StreamingAssets/data/factions/faction_Locals.json,BadFaithFailureStatement,"For somebody who came so highly recommended, you let us down pretty hard. Thanks for nothing, I guess.","그렇게까지 추천을 많이 받으신 분이 이렇게 크게 실망을 안겨 주실 줄은 몰랐습니다. 뭐, 어쨌든 도움은 전혀 안 되었군요."
BT Advanced Factions/StreamingAssets/data/factions/faction_MagistracyCentrella.json,BadFaithFailureStatement,"Understand that we hired you with an expectation of - if not success - at least decent effort. You've shown neither, and I'm going to ensure my superiors hear about it, Commander.","우리는 성공까지는 아니더라도 최소한 성의 있는 노력은 기대하고 당신을 고용했습니다. 그러나 그 어느 것도 보여 주지 못하셨습니다. 이 사실을 상부에 반드시 보고하겠습니다, 사령관님."
