File,Key,Value,Translation
BT Advanced Gear\weapon\Weapon_C3_Master.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all C3-equipped units in the radius.,반경 내의 모든 C3 장착 유닛에게 +1 회피 무시를 제공합니다.
BT Advanced Gear\weapon\Weapon_C3_Master_Avatar.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all C3-equipped units in the radius.,반경 내의 모든 C3 장착 유닛에게 +1 회피 무시를 제공합니다.
BT Advanced Gear\weapon\Weapon_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Beta-channel C3-equipped units in the radius.,반경 내의 모든 베타 채널 C3 장착 유닛에게 +1 회피 무시를 제공합니다.
BT Advanced Gear\weapon\Weapon_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Delta-channel C3-equipped units in the radius.,반경 내의 델타 채널 C3 장착 기체 모두에게 회피 무시 +1을 제공합니다.
BT Advanced Gear\weapon\Weapon_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Epsilon-channel C3-equipped units in the radius.,반경 내의 엡실론 채널 C3 장착 기체 모두에게 회피 무시 +1을 제공합니다.
BT Advanced Gear\weapon\Weapon_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Gamma-channel C3-equipped units in the radius.,반경 내의 감마 채널 C3 장착 기체 모두에게 회피 무시 +1을 제공합니다.
BT Advanced Gear\upgrade\cockpit\Gear_Cockpit_AmbientTargeter.json,Auras[0].statusEffects[0].Description.Details,An Ambient Targeting System is improving this unit's targeting systems.,주변 표적화 시스템이 이 기체의 조준 체계를 향상시키고 있습니다.
BT Advanced Gear\upgrade\general\Gear_Angel_ECM.json,Auras[0].statusEffects[0].Description.Details,"Angel ECM is making this unit harder to hit, +1 penalty to enemy attacks.",엔젤 ECM이 이 기체를 맞히기 어렵게 만들어 적 공격에 +1 불이익을 부여합니다.
BT Advanced Gear\upgrade\general\Gear_AntiMissile_ECM.json,Auras[0].statusEffects[0].Description.Details,"The Anti-Missile ECM scrambles enemy missile fire, giving a +6 penalty to enemy missile attacks. This penalty stacks with the normal ECM effect.",안티-미사일 ECM이 적의 미사일 사격을 교란하여 적 미사일 공격에 +6 불이익을 부여합니다. 이 불이익은 일반 ECM 효과와 중첩됩니다.
BT Advanced Gear\upgrade\general\Gear_C3.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,Increased Sight/Sensors
BT Advanced Gear\upgrade\general\Gear_C3i.json,Auras[0].statusEffects[0].Description.Details,"Shares targeting information on nearby enemies, +1 to hit enemies in radius",주변 적에 대한 표적 정보를 공유하여 반경 내 적을 공격할 때 명중률 +1을 부여합니다.
BT Advanced Gear\upgrade\general\Gear_C3_Beta.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,Increased Sight/Sensors
BT Advanced Gear\upgrade\general\Gear_C3_Delta.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,Increased Sight/Sensors
BT Advanced Gear\upgrade\general\Gear_C3_Epsilon.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,Increased Sight/Sensors
BT Advanced Gear\upgrade\general\Gear_C3_Gamma.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,Increased Sight/Sensors
BT Advanced Gear\upgrade\general\Gear_C3_Master.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Alpha Channel.,PASSIVE: 이 기체는 알파 채널의 C3 네트워크에 속해 있습니다.
BT Advanced Gear\upgrade\general\Gear_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Beta Channel.,PASSIVE: 이 기체는 베타 채널의 C3 네트워크에 속해 있습니다.
BT Advanced Gear\upgrade\general\Gear_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Delta Channel.,PASSIVE: 이 기체는 델타 채널의 C3 네트워크에 속해 있습니다.
BT Advanced Gear\upgrade\general\Gear_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Epsilon Channel.,PASSIVE: 이 기체는 엡실론 채널의 C3 네트워크에 속해 있습니다.
BT Advanced Gear\upgrade\general\Gear_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Gamma Channel.,PASSIVE: 이 기체는 감마 채널의 C3 네트워크에 속해 있습니다.
BT Advanced Gear\upgrade\general\Gear_Guardian_ECM.json,Auras[0].statusEffects[0].Description.Details,"Guardian ECM is making this unit harder to hit, +2 penalty to enemy missile attacks.",가디언 ECM이 이 기체를 맞히기 어렵게 만들어 적의 미사일 공격에 +2 불이익을 부여합니다.
BT Advanced Gear\upgrade\general\Gear_Guardian_ECM_SLDF.json,Auras[0].statusEffects[0].Description.Details,"Guardian ECM is making this unit harder to hit, +2 penalty to enemy missile attacks.",가디언 ECM이 이 기체를 맞히기 어렵게 만들어 적의 미사일 공격에 +2 불이익을 부여합니다.
BT Advanced Gear\upgrade\general\Gear_LeagueNet_Focal_Node.json,Auras[0].statusEffects[0].Description.Details,"This LeagueNet Focal Node is being interfered with by other nearby Focal Nodes, rendering the carrier functionally unable to perform weapon attacks or melee attacks.","이 리그넷 중심 노드는 인근의 다른 중심 노드로부터 간섭을 받고 있어, 탑재 기체가 사실상 무기 공격이나 근접 공격을 수행할 수 없는 상태입니다."
BT Advanced Gear\upgrade\general\Gear_LeagueNet_Support_Node_Accuracy.json,Auras[0].statusEffects[0].Description.Details,This LeagueNet Support Node is providing a +2 Accuracy bonus to the Focal Node.,이 리그넷 지원 노드는 중심 노드에 명중률 +2 보너스를 제공하고 있습니다.
BT Advanced Gear\upgrade\general\Gear_LeagueNet_Support_Node_CalledShot.json,Auras[0].statusEffects[0].Description.Details,This LeagueNet Support Node is providing a small bonus to hit called locations with Called Shots to the Focal Node.,이 리그넷 지원 노드는 중심 노드에 지정 사격(Called Shot)으로 특정 부위를 맞힐 때 약간의 명중 보너스를 제공하고 있습니다.
BT Advanced Gear\upgrade\general\Gear_LeagueNet_Support_Node_DamageReduction.json,Auras[0].statusEffects[0].Description.Details,This LeagueNet Support Node is providing a 5% Weapon Damage bonus to the Focal Node.,이 리그넷 지원 노드는 중심 노드에 무기 피해량 5% 보너스를 제공하고 있습니다.
BT Advanced Gear\upgrade\general\Gear_LeagueNet_Support_Node_Speed.json,Auras[0].statusEffects[0].Description.Details,This LeagueNet Support Node is providing a small sprint speed bonus to the Focal Node.,이 리그넷 지원 노드는 중심 노드에 소폭의 전력 질주 속도 보너스를 제공하고 있습니다.
BT Advanced Gear\upgrade\general\Gear_Sensors_StealthField.json,Auras[0].statusEffects[0].Description.Details,A Stealth Field is cloaking this unit.,스텔스 필드가 이 기체를 은폐하고 있습니다.
BT Advanced Gear\upgrade\general\Gear_Viral_Jammer.json,Auras[0].statusEffects[0].Description.Details,"The Viral Jammer is jamming all distributed networks, including C3, C3i, and Sanctuary Drones, preventing their operation within 150 of the Jammer. This includes friendly networks as well as enemy networks.","바이럴 재머는 C3, C3i, 생츄어리 드론을 포함한 모든 분산 네트워크를 방해하여 재머로부터 150 이내에서는 작동하지 못하도록 합니다. 이는 적대 네트워크뿐만 아니라 우호 네트워크도 포함합니다."
BT Advanced Gear\weapon\Weapon_C3_Master.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\weapon\Weapon_C3_Master_Avatar.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\weapon\Weapon_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\weapon\Weapon_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\weapon\Weapon_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\weapon\Weapon_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Name,C3 Master Evasion ignore,C3 마스터 회피 무시
BT Advanced Gear\upgrade\cockpit\Gear_Cockpit_AmbientTargeter.json,Auras[0].statusEffects[0].Description.Name,ATS Targeting,ATS Targeting
BT Advanced Gear\upgrade\general\Gear_Angel_ECM.json,Auras[0].statusEffects[0].Description.Name,AECM Interference,AECM Interference
BT Advanced Gear\upgrade\general\Gear_AntiMissile_ECM.json,Auras[0].statusEffects[0].Description.Name,Missile Scrambling,Missile Scrambling
BT Advanced Gear\upgrade\general\Gear_C3.json,Auras[0].statusEffects[0].Description.Name,C3M Probe,C3M Probe
BT Advanced Gear\upgrade\general\Gear_C3i.json,Auras[0].statusEffects[0].Description.Name,C3i Targeting Information,C3i Targeting Information
BT Advanced Gear\upgrade\general\Gear_C3_Beta.json,Auras[0].statusEffects[0].Description.Name,C3M Probe,C3M Probe
BT Advanced Gear\upgrade\general\Gear_C3_Delta.json,Auras[0].statusEffects[0].Description.Name,C3M Probe,C3M Probe
BT Advanced Gear\upgrade\general\Gear_C3_Epsilon.json,Auras[0].statusEffects[0].Description.Name,C3M Probe,C3M Probe
BT Advanced Gear\upgrade\general\Gear_C3_Gamma.json,Auras[0].statusEffects[0].Description.Name,C3M Probe,C3M Probe
BT Advanced Gear\upgrade\general\Gear_C3_Master.json,Auras[0].statusEffects[0].Description.Name,C3 Network Engaged,C3 Network Engaged
BT Advanced Gear\upgrade\general\Gear_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Name,C3 Network Engaged,C3 Network Engaged
BT Advanced Gear\upgrade\general\Gear_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Name,C3 Network Engaged,C3 Network Engaged
BT Advanced Gear\upgrade\general\Gear_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Name,C3 Network Engaged,C3 Network Engaged
BT Advanced Gear\upgrade\general\Gear_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Name,C3 Network Engaged,C3 Network Engaged
BT Advanced Gear\upgrade\general\Gear_Guardian_ECM.json,Auras[0].statusEffects[0].Description.Name,GECM Interference,GECM Interference
BT Advanced Gear\upgrade\general\Gear_Guardian_ECM_SLDF.json,Auras[0].statusEffects[0].Description.Name,GECM Interference,GECM Interference
