File,Key,Value,Translation
BT Advanced Gear/weapon/Weapon_C3_Master.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all C3-equipped units in the radius.,반경 내의 모든 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/weapon/Weapon_C3_Master_Avatar.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all C3-equipped units in the radius.,반경 내의 모든 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/weapon/Weapon_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Beta-channel C3-equipped units in the radius.,반경 내의 모든 베타 채널 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/weapon/Weapon_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Delta-channel C3-equipped units in the radius.,반경 내의 모든 델타 채널 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/weapon/Weapon_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Epsilon-channel C3-equipped units in the radius.,반경 내의 모든 앱실론 채널 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/weapon/Weapon_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Details,Provides +1 evasion ignore for all Gamma-channel C3-equipped units in the radius.,반경 내의 모든 감마 채널 C3 장착 유닛에게 +1의 회피 무시 효과를 제공합니다.
BT Advanced Gear/upgrade/cockpit/Gear_Cockpit_AmbientTargeter.json,Auras[0].statusEffects[0].Description.Details,An Ambient Targeting System is improving this unit's targeting systems.,주변 조준 시스템(Ambient Targeting System)이 이 유닛의 조준 시스템을 향상시키고 있습니다.
BT Advanced Gear/upgrade/general/Gear_Angel_ECM.json,Auras[0].statusEffects[0].Description.Details,"Angel ECM is making this unit harder to hit, +1 penalty to enemy attacks.","엔젤 ECM(Angel ECM)이 이 유닛을 맞추기 어렵게 만들며, 적의 공격에 +1의 패널티를 부여합니다."
BT Advanced Gear/upgrade/general/Gear_AntiMissile_ECM.json,Auras[0].statusEffects[0].Description.Details,"The Anti-Missile ECM scrambles enemy missile fire, giving a +6 penalty to enemy missile attacks. This penalty stacks with the normal ECM effect.","대미사일 ECM(Anti-Missile ECM)이 적의 미사일 사격을 교란하여, 적의 미사일 공격에 +6의 패널티를 부여합니다. 이 패널티는 일반 ECM 효과와 중첩됩니다."
BT Advanced Gear/upgrade/general/Gear_C3.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,시야/센서 증가
BT Advanced Gear/upgrade/general/Gear_C3i.json,Auras[0].statusEffects[0].Description.Details,"Shares targeting information on nearby enemies, +1 to hit enemies in radius","주변 적에 대한 조준 정보를 공유하며, 반경 내의 적에 대한 명중률을 +1 향상시킵니다."
BT Advanced Gear/upgrade/general/Gear_C3_Beta.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,시야/센서 증가
BT Advanced Gear/upgrade/general/Gear_C3_Delta.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,시야/센서 증가
BT Advanced Gear/upgrade/general/Gear_C3_Epsilon.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,시야/센서 증가
BT Advanced Gear/upgrade/general/Gear_C3_Gamma.json,Auras[0].statusEffects[0].Description.Details,Increased Sight/Sensors,시야/센서 증가
BT Advanced Gear/upgrade/general/Gear_C3_Master.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Alpha Channel.,패시브: 이 유닛은 알파 채널 C3 네트워크의 일원입니다.
BT Advanced Gear/upgrade/general/Gear_C3_Master_Beta.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Beta Channel.,패시브: 이 유닛은 베타 채널 C3 네트워크의 일원입니다.
BT Advanced Gear/upgrade/general/Gear_C3_Master_Delta.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Delta Channel.,패시브: 이 유닛은 델타 채널 C3 네트워크의 일원입니다.
BT Advanced Gear/upgrade/general/Gear_C3_Master_Epsilon.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Epsilon Channel.,패시브: 이 유닛은 앱실론 채널 C3 네트워크의 일원입니다.
BT Advanced Gear/upgrade/general/Gear_C3_Master_Gamma.json,Auras[0].statusEffects[0].Description.Details,PASSIVE: This unit is part of a C3 Network on the Gamma Channel.,패시브: 이 유닛은 감마 채널 C3 네트워크의 일원입니다.
BT Advanced Gear/upgrade/general/Gear_Guardian_ECM.json,Auras[0].statusEffects[0].Description.Details,"Guardian ECM is making this unit harder to hit, +2 penalty to enemy missile attacks.","가디언 ECM(Guardian ECM)이 이 유닛을 맞추기 어렵게 만들며, 적의 미사일 공격에 +2의 패널티를 부여합니다."
BT Advanced Gear/upgrade/general/Gear_Guardian_ECM_SLDF.json,Auras[0].statusEffects[0].Description.Details,"Guardian ECM is making this unit harder to hit, +2 penalty to enemy missile attacks.","가디언 ECM(Guardian ECM)이 이 유닛을 맞추기 어렵게 만들며, 적의 미사일 공격에 +2의 패널티를 부여합니다."
BT Advanced Gear/upgrade/general/Gear_LeagueNet_Focal_Node.json,Auras[0].statusEffects[0].Description.Details,"This LeagueNet Focal Node is being interfered with by other nearby Focal Nodes, rendering the carrier functionally unable to perform weapon attacks or melee attacks.","이 자유 행성 연대 네트워크(LeagueNet) 포컬 노드는 주변의 다른 포컬 노드들에 의해 간섭을 받고 있으며, 이로 인해 운용 기체가 무기 공격이나 근접 공격을 수행할 수 없는 상태가 되었습니다."
