File,Key,Value,Translation
BT Advanced Mechs/chassis/chassisdef_albatross_ALB-3U.json,YangsThoughts,"The Albatross was designed by the Free Worlds League in 3053 with an eye toward a possible future conflict with the then advancing Clans. Powered by a 380-rated XL engine and armed with an absolute grab-bag of weapons, the Albatross is good at any range against any foe. For long range, a LRM-15 and ER Large Laser do the heavy lifting. At medium ranges, a Large Pulse Laser and a LB-10X Autocannon provide heft. Up close a SRM-6 and paired Medium Lasers ward off enemies. CASE protects the ammo bins and 14 double heat sinks strain to keep it all frosty.","알바트로스는 3053년 자유 행성 연대가 당시 진군하던 클랜과의 잠재적 충돌을 염두에 두고 설계했습니다. 380 등급 XL 엔진을 탑재하고 온갖 무기들을 가득 채워 넣은 알바트로스는 어떤 거리에서든 그 어떤 적을 상대로도 유능합니다. 원거리에서는 LRM-15와 ER 대형 레이저가 주력 역할을 수행합니다. 중거리에서는 대형 펄스 레이저와 LB-10X 오토캐논이 중량감을 더합니다. 근거리에서는 SRM-6와 한 쌍의 중형 레이저가 적들을 저지합니다. CASE가 탄약고를 보호하며, 14개의 더블 히트 싱크가 열기를 식히기 위해 고군분투합니다."
BT Advanced Mechs/chassis/chassisdef_albatross_ALB-4U.json,YangsThoughts,"The Albatross was designed by the Free Worlds League in 3053 with an eye toward a possible future conflict with the then advancing Clans. Powered by a 380-rated XL engine and armed with an absolute grab-bag of weapons, the Albatross is good at any range against any foe. For long range, a LRM-15 and Light Gauss Rifle do the heavy lifting. At medium ranges, a Large Pulse Laser provides heft. Up close a Streak SRM-6 and paired ER Medium Lasers ward off enemies. CASE protects the ammo bins and 14 double heat sinks strain to keep it all frosty.","알바트로스는 3053년 자유 행성 연대가 당시 진군하던 클랜과의 잠재적 충돌을 염두에 두고 설계했습니다. 380 등급 XL 엔진을 탑재하고 온갖 무기들을 가득 채워 넣은 알바트로스는 어떤 거리에서든 그 어떤 적을 상대로도 유능합니다. 원거리에서는 LRM-15와 라이트 가우스 라이플이 주력 역할을 수행합니다. 중거리에서는 대형 펄스 레이저가 중량감을 더합니다. 근거리에서는 스트리크 SRM-6와 한 쌍의 ER 중형 레이저가 적들을 저지합니다. CASE가 탄약고를 보호하며, 14개의 더블 히트 싱크가 열기를 식히기 위해 고군분투합니다."
BT Advanced Mechs/chassis/chassisdef_ambassador_MBSDR-0.json,YangsThoughts,"Designed by the First Star League using the very finest materials money could buy or even invent, the Ambassador was the pinnacle of BattleMech construction in an era of unparalleled technological achievement. Given out by the Star League to any diplomat who asked for one, the Ambassador was intended to be used to conduct sensitive diplomatic meetings in person. With its blisteringly high ground speed of over 170 kph and uncharateristically solid armor it kept its pilot safe from all dangers while the best communications and force management suite ever designed allowed for perfect communications and control in the battlespace. Though the Ambassador fell out of production with the Star League's fall, ComStar (and then the Word of Blake) put it back into limited production at Terra and share it with any notable political entities who ask for one, just like the old Star League did.","자금으로 살 수 있거나 심지어 발명할 수 있는 최고의 재료들을 사용하여 제1차 스타 리그가 설계한 앰베서더는 유례없는 기술적 성취의 시대에 배틀메크 제작 기술의 정점에 있었습니다. 스타 리그가 요청하는 모든 외교관에게 지급한 앰베서더는 민감한 외교 회담을 직접 대면하여 진행할 용도로 고안되었습니다. 시속 170km가 넘는 엄청나게 빠른 지상 속도와 이례적으로 견고한 장갑을 갖추어 파일럿을 모든 위험으로부터 안전하게 지켰으며, 역대 최고로 설계된 통신 및 부대 관리 세트는 전장에서 완벽한 통신과 통제를 가능하게 했습니다. 스타 리그의 몰락과 함께 앰베서더의 생산도 중단되었으나, 컴스타(이후 워드 오브 블레이크)가 지구에서 한정 생산을 재개하여 과거 스타 리그처럼 요청하는 주목할 만한 정치 세력들에게 나누어 주고 있습니다."
BT Advanced Mechs/chassis/chassisdef_ambassador_MBSDR-0A.json,YangsThoughts,"Designed by the First Star League using the very finest materials money could buy or even invent, the Ambassador was the pinnacle of BattleMech construction in an era of unparalleled technological achievement. Given out by the Star League to any diplomat who asked for one, the Ambassador was intended to be used to conduct sensitive diplomatic meetings in person. With its blisteringly high ground speed of over 170 kph and uncharateristically solid armor it kept its pilot safe from all dangers while the best communications and force management suite ever designed allowed for perfect communications and control in the battlespace. Though the Ambassador fell out of production with the Star League's fall, ComStar (and then the Word of Blake) put it back into limited production at Terra and share it with any notable political entities who ask for one, just like the old Star League did.","자금으로 살 수 있거나 심지어 발명할 수 있는 최고의 재료들을 사용하여 제1차 스타 리그가 설계한 앰베서더는 유례없는 기술적 성취의 시대에 배틀메크 제작 기술의 정점에 있었습니다. 스타 리그가 요청하는 모든 외교관에게 지급한 앰베서더는 민감한 외교 회담을 직접 대면하여 진행할 용도로 고안되었습니다. 시속 170km가 넘는 엄청나게 빠른 지상 속도와 이례적으로 견고한 장갑을 갖추어 파일럿을 모든 위험으로부터 안전하게 지켰으며, 역대 최고로 설계된 통신 및 부대 관리 세트는 전장에서 완벽한 통신과 통제를 가능하게 했습니다. 스타 리그의 몰락과 함께 앰베서더의 생산도 중단되었으나, 컴스타(이후 워드 오브 블레이크)가 지구에서 한정 생산을 재개하여 과거 스타 리그처럼 요청하는 주목할 만한 정치 세력들에게 나누어 주고 있습니다."
BT Advanced Mechs/chassis/chassisdef_ambassador_MBSDR-1.json,YangsThoughts,"Designed by the First Star League using the very finest materials money could buy or even invent, the Ambassador was the pinnacle of BattleMech construction in an era of unparalleled technological achievement. Given out by the Star League to any diplomat who asked for one, the Ambassador was intended to be used to conduct sensitive diplomatic meetings in person. With its blisteringly high ground speed of over 170 kph and uncharateristically solid armor it kept its pilot safe from all dangers while the best communications and force management suite ever designed allowed for perfect communications and control in the battlespace. Though the Ambassador fell out of production with the Star League's fall, ComStar (and then the Word of Blake) put it back into limited production at Terra and share it with any notable political entities who ask for one, just like the old Star League did.","자금으로 살 수 있거나 심지어 발명할 수 있는 최고의 재료들을 사용하여 제1차 스타 리그가 설계한 앰베서더는 유례없는 기술적 성취의 시대에 배틀메크 제작 기술의 정점에 있었습니다. 스타 리그가 요청하는 모든 외교관에게 지급한 앰베서더는 민감한 외교 회담을 직접 대면하여 진행할 용도로 고안되었습니다. 시속 170km가 넘는 엄청나게 빠른 지상 속도와 이례적으로 견고한 장갑을 갖추어 파일럿을 모든 위험으로부터 안전하게 지켰으며, 역대 최고로 설계된 통신 및 부대 관리 세트는 전장에서 완벽한 통신과 통제를 가능하게 했습니다. 스타 리그의 몰락과 함께 앰베서더의 생산도 중단되었으나, 컴스타(이후 워드 오브 블레이크)가 지구에서 한정 생산을 재개하여 과거 스타 리그처럼 요청하는 주목할 만한 정치 세력들에게 나누어 주고 있습니다."
BT Advanced Mechs/chassis/chassisdef_anubis_ABS-2L.json,YangsThoughts,"A prototype design for the Anubis that predated what would eventually become the ABS-3L, the -2L was intended as a close-range knife-fighter design. Armed primarily with a quartet of Machine Guns, the Anubis-2L is adept at shredding internal components and causing severe structural damage. To crack armor and get at the juicy internals, it carries a pair of MML-5s with a ton each of LRM and SRM ammunition. Unfortunately, to carry this payload the -2L was not equipped with Stealth Armor or ECM though it still moves blisteringly fast.","훗날 ABS-3L이 될 기종보다 앞선 아누비스의 프로토타입 설계안인 -2L은 근접전용 나이프 파이팅 기체로 고안되었습니다. 주로 4문의 머신건으로 무장한 아누비스-2L은 내부 부품을 찢어버리고 심각한 구조적 타격을 입히는 데 능숙합니다. 장갑을 부수고 알짜배기 내부 부품에 도달하기 위해, 각각 1톤의 LRM 및 SRM 탄약을 적재한 한 쌍의 MML-5를 장착했습니다. 불행히도 이 화력을 탑재하기 위해 -2L에는 스텔스 장갑이나 ECM이 장착되지 않았으나, 여전히 엄청나게 빠른 속도로 움직입니다."
BT Advanced Mechs/chassis/chassisdef_anubis_ABS-3D.json,YangsThoughts,"While the Federated Suns passed on the Anubis, they did managed to salvage several of them from the Capellan Confederation. The Davion dislike of the light indirect fire support role pushed the Federated Suns to repurpose their salvaged Anubis chassis, creating this, the ABS-3D. Armed with purely a pair of ER Large Lasers, the ABS-3D provides effective, if light, fire support at high ranges. While not a flashy design, the -3D proved a moderate success and has become the premier Davion refit for Anubis salvage from the Capellans.","항성 합중국은 아누비스를 채택하지 않았으나, 카펠란 연합으로부터 여러 대를 노획하는 데 성공했습니다. 라이트급의 간접 화력 지원 역할을 기피하던 다비온의 성향은 항성 합중국으로 하여금 노획한 아누비스 섀시를 개조하게 만들었고, 그 결과 ABS-3D가 탄생했습니다. 순수하게 한 쌍의 ER 대형 레이저로 무장한 ABS-3D는 비록 경미하긴 해도 원거리에서 효과적인 화력 지원을 제공합니다. 화려한 설계는 아니지만 -3D는 적당한 성공을 거두었으며, 카펠란으로부터 노획한 아누비스를 개조하는 다비온의 주요 개수형이 되었습니다."
BT Advanced Mechs/chassis/chassisdef_anubis_ABS-3L.json,YangsThoughts,"Originally designed to supplement the Osiris, the Anubis ended up with House Liao when the Federated Suns passed on the design. The 'Mech incorporates a large number of advanced technologies that reached the Capellan Confederation's allies in the Magistracy of Canopus and Taurian Concordat. Built on an Endo-Steel skeleton and powered by a XL 240 rated engine, the Anubis is protected by a Guardian ECM suite and cutting-edge Stealth Armor. The Anubis is armed as an effective light fire support 'Mech. Its primary weapons are four LRM-5 launchers, allowing the 'Mech to provide long range fire support for other light 'Mechs. For close combat, the Anubis has a ER Small Laser.","원래 오시리스를 보조하기 위해 설계되었으나 항성 합중국이 설계를 거절하면서 아누비스는 결국 랴오 가문의 손에 들어갔습니다. 이 '메크에는 카펠란 연합의 동맹인 카노푸스 행정국과 타우리안 협정국에 도달한 수많은 선진 기술이 통합되어 있습니다. 엔도스틸 골격 위에 제작되고 XL 240 등급 엔진을 탑재한 아누비스는 가디언 ECM 슈트와 최첨단 스텔스 장갑으로 보호됩니다. 아누비스는 효과적인 라이트급 화력 지원 '메크로 무장되었습니다. 주무장은 4문의 LRM-5 발사기로, 다른 라이트 '메크들에게 원거리 화력 지원을 제공할 수 있습니다. 근접전을 위해 아누비스는 ER 소형 레이저를 보유하고 있습니다."
BT Advanced Mechs/chassis/chassisdef_anubis_ABS-3R.json,YangsThoughts,"Originally designed to supplement the Osiris, the Anubis ended up with House Liao when the Federated Suns passed on the design. The 'Mech incorporates a large number of advanced technologies that reached the Capellan Confederation's allies in the Magistracy of Canopus and Taurian Concordat. Built on an Endo-Steel skeleton and powered by a XL 240 rated engine, the Anubis is protected by a Guardian ECM suite and cutting-edge Stealth Armor. The Anubis is armed as an effective light fire support 'Mech. Its primary weapons are twin LRM-5 launchers, allowing the 'Mech to provide long range fire support for other light 'Mechs. For close combat, the Anubis has a ER Small Laser as well as 40 total Rocket Launcher Tubes, split between two 15-packs and a 10-pack.","원래 오시리스를 보조하기 위해 설계되었으나 항성 합중국이 설계를 거절하면서 아누비스는 결국 랴오 가문의 손에 들어갔습니다. 이 '메크에는 카펠란 연합의 동맹인 카노푸스 행정국과 타우리안 협정국에 도달한 수많은 선진 기술이 통합되어 있습니다. 엔도스틸 골격 위에 제작되고 XL 240 등급 엔진을 탑재한 아누비스는 가디언 ECM 슈트와 최첨단 스텔스 장갑으로 보호됩니다. 아누비스는 효과적인 라이트급 화력 지원 '메크로 무장되었습니다. 주무장은 쌍열 LRM-5 발사기로, 다른 라이트 '메크들에게 원거리 화력 지원을 제공할 수 있습니다. 근접전을 위해 아누비스는 ER 소형 레이저와 더불어 15연장 2팩과 10연장 1팩으로 나뉜 총 40문의 로켓 런처 튜브를 보유하고 있습니다."
BT Advanced Mechs/chassis/chassisdef_anubis_ABS-3T.json,YangsThoughts,"Originally designed to supplement the Osiris, the Anubis ended up with House Liao when the Federated Suns passed on the design. The 'Mech incorporates a large number of advanced technologies that reached the Capellan Confederation's allies in the Magistracy of Canopus and Taurian Concordat. Built on an Endo-Steel skeleton and powered by a XL 240 rated engine, the Anubis is protected by a Guardian ECM suite and cutting-edge Stealth Armor. The ABS-3T is a dedicated skirmisher and is armed with an all-energy loadout. An ER Large Laser provides excellent range while twin ER Medium Lasers and an ER Small Laser cover closer distances. Even with two extra DHS, pilots are advised to be cautious of their heat curve in combat.","원래 오시리스를 보조하기 위해 설계되었으나 항성 합중국이 설계를 거절하면서 아누비스는 결국 랴오 가문의 손에 들어갔습니다. 이 '메크에는 카펠란 연합의 동맹인 카노푸스 행정국과 타우리안 협정국에 도달한 수많은 선진 기술이 통합되어 있습니다. 엔도스틸 골격 위에 제작되고 XL 240 등급 엔진을 탑재한 아누비스는 가디언 ECM 슈트와 최첨단 스텔스 장갑으로 보호됩니다. ABS-3T는 전용 스커미셔이며 모든 무장이 에너지 병기로 구성되어 있습니다. ER 대형 레이저가 뛰어난 사거리를 제공하며, 한 쌍의 ER 중형 레이저와 ER 소형 레이저가 근거리 거리를 커버합니다. 2개의 추가 DHS를 갖추었음에도 불구하고 파일럿들은 전투 시 발열 곡선에 주의할 것을 권고받습니다."
