File,Key,Value,Translation
BT Advanced Battle Armor/chassis/chassisdef_ba_achilles.json,Description.Details,"As the Inner Sphere developed Battle Armor technology, the suits proved their worth again and again. However, they also proved fragile and dangerous to operate. To that end, House Marik pioneered the Achilles suit, a suit designed for maximum operator safety. Equipped with an experimental Battle Armor Shield in the left arm, the Achilles proved itself durable but ultimately underwhelming due to a lack of offensive capability. Eventually the suits were dispersed throughout the IS and could be found in every military.","이너스피어가 배틀 아머 기술을 발전시키면서 해당 장비는 반복되는 전투에서 그 가치를 다시 한번 입증했습니다. 그러나 동시에 운용상 취약점이 드러나고 조작이 매우 위험하다는 문제점도 함께 확인되었습니다. 이를 해결하기 위해 마릭 가문은 최대 수준의 운용자 안전을 설계 목표로 한 아킬레스 갑옷을 최초로 개발했습니다. 좌측 팔에 실험형 배틀 아머 쉴드를 탑재한 아킬레스는 내구성은 입증되었으나, 화력 부족으로 인해 최종적으로는 기대에 미치지 못하는 결과를 보였습니다. 결국 이 장비들은 이너스피어 전반에 분산 배치되었으며, 모든 군사 조직에서 찾아볼 수 있게 되었습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_achilles.json,YangsThoughts,"As the Inner Sphere developed Battle Armor technology, the suits proved their worth again and again. However, they also proved fragile and dangerous to operate. To that end, House Marik pioneered the Achilles suit, a suit designed for maximum operator safety. Equipped with an experimental Battle Armor Shield in the left arm, the Achilles proved itself durable but ultimately underwhelming due to a lack of offensive capability. Eventually the suits were dispersed throughout the IS and could be found in every military.","이너스피어가 배틀 아머 기술을 개발해 나가면서, 이 슈트들은 거듭 그 가치를 입증했습니다. 하지만 동시에 운용하기 취약하고 위험하다는 점도 드러났습니다. 이를 해결하기 위해 마릭 가문은 운용자의 안전을 극대화하도록 설계된 아킬레스 슈트를 선도적으로 개발했습니다. 왼팔에 실험적인 배틀 아머 실드를 장착한 아킬레스는 내구성을 입증했지만, 공격 능력 부족으로 인해 결국 기대에 미치지 못했습니다. 결국 이 슈트들은 IS 전역으로 분산되었고, 모든 군에서 찾아볼 수 있게 되었습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_asterion.json,Description.Details,"One of the so-called Trinity suits developed in concert by the Capellan Confederation, Magistracy of Canopus, and Taurian Concordat, the Asterion is the Taurian entry to the family of battle armor. Armed with a Medium Recoilless Rifle, the Asterion is reasonably durable for its size and carries respectable firepower. However, the Asterion is not particularly fast or maneuverable, forcing it to largely rely on allies to carry it around the field. Still, the gun is often considered worth the trouble and the Asterion serves with distinction in the Taurian military.","카펠란 연합, 카노푸스 행정국, 타우리안 협정국이 공동 개발한 이른바 트리니티 슈트 중 하나인 아스테리온은 배틀 아머 계열의 타우리안 측 대표작입니다. 중형 무반동 라이플을 탑재한 아스테리온은 크기에 비해 충분히 견고하며, 준수한 화력을 갖추고 있습니다. 그러나 아스테리온은 속도가 빠르거나 기동성이 뛰어나지 않아, 주로 전장에서 동맹의 지원에 의존해 이동해야 합니다. 그럼에도 불구하고 이 장갑은 그 대가를 충분히 치를 만한 가치가 있다고 평가받으며, 아스테리온은 타우리안 군에서 뚜렷한 활약을 보이고 있습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_asterion.json,YangsThoughts,"One of the so-called Trinity suits developed in concert by the Capellan Confederation, Magistracy of Canopus, and Taurian Concordat, the Asterion is the Taurian entry to the family of battle armor. Armed with a Medium Recoilless Rifle, the Asterion is reasonably durable for its size and carries respectable firepower. However, the Asterion is not particularly fast or maneuverable, forcing it to largely rely on allies to carry it around the field. Still, the gun is often considered worth the trouble and the Asterion serves with distinction in the Taurian military.","카펠란 연합, 카노푸스 치안관령, 타우리안 협정국이 공동으로 개발한 이른바 트리니티 슈트 중 하나인 아스테리온은 이 배틀 아머 계열에서 타우리안 측이 내놓은 기체입니다. 미디엄 무반동 라이플로 무장한 아스테리온은 크기에 비해 합리적인 내구성을 지녔으며, 준수한 화력을 갖추고 있습니다. 하지만 아스테리온은 특별히 빠르거나 기동성이 뛰어나지 않아, 전장을 이동할 때 대체로 아군에게 의존해야 합니다. 그래도 그 화력은 종종 번거로움을 감수할 만한 가치가 있다고 평가되며, 아스테리온은 타우리안 군에서 뛰어난 활약을 하고 있습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_dragoon.json,Description.Details,"Developed by the Wolf's Dragoons as an in-house battle armor solution for the modern battlefield, the Dragoon Battle Armor is a versatile suit primarily intended for combat engineers. Armed with a Flamer and a Light Mortar, the Dragoon provides excellent battlefield control elements against softer targets while having some small utility against harder targets such as combat vehicles or BattleMechs. Wolf's Dragoons field the suits in 5-man squads, a nod to their Clan heritage and also incredibly effective on the battlefield.","울프의 드라군이 현대 전장을 위한 자체 전투 갑옷 체계로 개발한 드라군 전투 갑옷은 다양한 임무에 적합하도록 설계되었으며, 주로 전투 공병을 위해 사용됩니다. 화염방사기와 경박격포로 무장한 이 갑옷은 방어력이 약한 목표물에 대해 뛰어난 전장 통제 능력을 제공하며, 전차나 배틀메크와 같은 단단한 목표물에도 어느 정도 유용성을 발휘합니다. 울프의 드라군은 클랜 전통을 기리는 동시에 전장에서 매우 효과적으로 운용할 수 있는 5인 조 편성으로 이 갑옷을 배치합니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_dragoon.json,YangsThoughts,"Developed by the Wolf's Dragoons as an in-house battle armor solution for the modern battlefield, the Dragoon Battle Armor is a versatile suit primarily intended for combat engineers. Armed with a Flamer and a Light Mortar, the Dragoon provides excellent battlefield control elements against softer targets while having some small utility against harder targets such as combat vehicles or BattleMechs. Wolf's Dragoons field the suits in 5-man squads, a nod to their Clan heritage and also incredibly effective on the battlefield.","현대 전장을 위한 자체 배틀 아머 해법으로 울프스 드라군즈가 개발한 드라군 배틀 아머는, 주로 전투 공병을 위해 설계된 다용도 슈트입니다. 화염방사기와 라이트 박격포로 무장한 드라군은 연약한 표적을 상대로 뛰어난 전장 통제 능력을 제공하며, 전투 차량이나 배틀메크 같은 단단한 표적에 대해서도 어느 정도의 유틸리티를 발휘합니다. 울프스 드라군즈는 이 슈트를 5인 분대로 운용하는데, 이는 그들의 클랜 유산을 반영하는 동시에 전장에서 매우 효과적인 편제이기도 합니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_elemental.json,Description.Details,"It's the suit that started it all, the true OG, the Elemental. Many war machines in the Inner Sphere can be said to be famous, but few started an entire field of war like the Elemental did. Pioneered by the Clans, the Elemental is the thing that brought battle armor to prominence as the IS scrambled to match the Clans. Its weapons don't even matter, the Elemental is a symbol, a symbol of war unfettered by complexities or nuance, war for war's sake. The Elemental is everything the Clans stand for in a tiny package and represents a new age for the Inner Sphere.","그것은 모든 것을 시작한 슈트이자 진정한 원조, 바로 엘리멘탈입니다. 이너스피어에는 수많은 전쟁 기계가 명성을 얻었지만, 엘리멘탈처럼 완전히 새로운 전장 분야를 개척한 사례는 드뭅니다. 클랜이 처음 개발한 엘리멘탈은 이너스피어 측이 클랜에 대응하기 위해 서둘렀을 때, 전투 갑옷을 주목받게 만든 핵심 존재였습니다. 그 무기는 사실상 중요하지 않습니다. 엘리멘탈은 상징입니다. 복잡함이나 뉘앙스 따위에서 해방된, 오직 전쟁 자체를 위한 전쟁의 상징이지요. 엘리멘탈은 클랜이 추구하는 모든 가치를 작은 몸체에 담은 것이며, 이너스피어에 새로운 시대를 열었습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_elemental.json,YangsThoughts,"It's the suit that started it all, the true OG, the Elemental. Many war machines in the Inner Sphere can be said to be famous, but few started an entire field of war like the Elemental did. Pioneered by the Clans, the Elemental is the thing that brought battle armor to prominence as the IS scrambled to match the Clans. Its weapons don't even matter, the Elemental is a symbol, a symbol of war unfettered by complexities or nuance, war for war's sake. The Elemental is everything the Clans stand for in a tiny package and represents a new age for the Inner Sphere.","모든 것을 시작한 슈트, 진정한 원조, 엘리멘탈입니다. 이너스피어의 많은 전쟁 기계가 유명하다고 할 수 있지만, 엘리멘탈처럼 전쟁의 한 분야 전체를 시작한 것은 드뭅니다. 클랜이 개척한 엘리멘탈은 IS가 클랜에 맞서려 허둥대는 동안 배틀 아머를 두각으로 끌어올린 존재입니다. 무장은 사실 중요하지 않습니다. 엘리멘탈은 상징입니다. 복잡성이나 미묘함에 얽매이지 않는 전쟁, 전쟁 그 자체를 위한 전쟁의 상징입니다. 엘리멘탈은 클랜이 상징하는 모든 것을 작은 형태 안에 담아낸 존재이며, 이너스피어에 새로운 시대가 열렸음을 나타냅니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_fashih.json,Description.Details,"The Fa Shih was the result of the Capellan Confederation biting off more than it could chew with production of three suits concurrently. The Confederation quickly realized they did not have any practical experience with battle armor, so they reduced scope from three suits to just one, the Fa Shih. The Fa Shih is similar to IS Standard battle armor, but takes a decidedly defensive tack by incorporating mine laying equipment. Armed with a mixed loadout of weapons, the Fa Shih was suited to any engagement.","카펠란 연합이 동시에 세 벌의 배틀 아머를 양산하려다 역부족인 상황을 겪으면서 ‘파 시’는 탄생하게 되었습니다. 카펠란 연합은 배틀 아머 제작에 대한 실무 경험이 전무하다는 사실을 빠르게 인지했고, 이에 생산 규모를 세 벌에서 ‘파 시’ 한 대로 줄였습니다. ‘파 시’는 이너스피어 표준형 배틀 아머와 유사한 구조를 갖췄으나, 지뢰 매설 장비를 탑재해 명확히 방어적 성향을 띠고 있습니다. 혼합된 무기 구성으로 무장한 ‘파 시’는 어떤 교전에도 적합했습니다."
BT Advanced Battle Armor/chassis/chassisdef_ba_fashih.json,YangsThoughts,"The Fa Shih was the result of the Capellan Confederation biting off more than it could chew with production of three suits concurrently. The Confederation quickly realized they did not have any practical experience with battle armor, so they reduced scope from three suits to just one, the Fa Shih. The Fa Shih is similar to IS Standard battle armor, but takes a decidedly defensive tack by incorporating mine laying equipment. Armed with a mixed loadout of weapons, the Fa Shih was suited to any engagement.","파 시는 카펠란 연합이 세 종류의 슈트를 동시에 생산하려다가 감당할 수 있는 범위를 넘어선 결과물이었습니다. 연합은 자신들에게 배틀 아머에 대한 실전 경험이 전혀 없다는 사실을 빠르게 깨달았고, 범위를 세 종류의 슈트에서 단 하나, 파 시로 축소했습니다. 파 시는 IS 표준 배틀 아머와 비슷하지만, 지뢰 부설 장비를 통합하여 명확히 방어적인 방향을 취합니다. 혼합 무장 구성으로 무장한 파 시는 어떤 교전에도 적합했습니다."
