File,Key,Value,Translation
BT Advanced Core/abilities/AbilityDef_ActiveProbe_Small.json,Description.Details,"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown.","행동: [FloatParam1]미터 이내의 모든 적에게 센서 락을 수행하고, 사용자에게 열 [FloatParam2]를 생성합니다. 재사용 대기시간은 [ActivationCooldown]턴입니다."
BT Advanced Core/abilities/TraitDefDoublePunch.json,Description.Details,PASSIVE: 'Mechs piloted by this MechWarrior get two attacks instead of one when making a punch attack.,패시브: 이 멕워리어가 조종하는 메크는 펀치 공격을 할 때 한 번 대신 두 번 공격합니다.
BT Advanced Core/abilities/TraitDefFlankIncrease20.json,Description.Details,PASSIVE: Tanks piloted by this Tank Crew gain an additional 15% to their flank multiplier.,패시브: 이 탱크 승무원이 조종하는 탱크는 측면 공격 배율이 추가로 15% 증가합니다.
BT Advanced Core/abilities/TraitDefFlankIncrease20.json,EffectData[0].Description.Details,+15% Flank Multiplier,측면 배율 +15%
BT Advanced Core/abilities/TraitDefGunneryDmgBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more damage!,패시브: 이 멕워리어는 15% 확률로 15% 더 큰 피해를 입힙니다!
BT Advanced Core/abilities/TraitDefGunneryDmgBonus1.json,EffectData[0].Description.Details,Boost Dmg by 15%,피해량을 15% 증가시키십시오
BT Advanced Core/abilities/TraitDefGunneryHeatBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more heat damage!,패시브: 이 멕워리어는 15% 확률로 열 피해를 15% 더 가합니다!
BT Advanced Core/abilities/TraitDefGunneryHeatBonus1.json,EffectData[0].Description.Details,Boost Heat Dmg by 15%,열 피해를 15% 증가시키십시오
BT Advanced Core/abilities/TraitDefGunneryStabBonus1.json,Description.Details,PASSIVE: This mechwarrior has a 15% chance to do 15% more stability damage!,패시브: 이 멕워리어는 15% 확률로 안정성 피해를 15% 더 가합니다!
BT Advanced Core/abilities/TraitDefGunneryStabBonus1.json,EffectData[0].Description.Details,Boost Stab Dmg by 15%,찌르기 피해를 15% 증가시킵니다
BT Advanced Core/abilities/TraitDefIAmMech.json,Description.Details,PASSIVE: This pilot is a MechWarrior.,패시브: 이 파일럿은 멕워리어입니다.
BT Advanced Core/abilities/TraitDefIAmTank.json,Description.Details,PASSIVE: This pilot is a vehicle crew.,패시브: 이 조종사는 차량 승무원입니다.
BT Advanced Core/abilities/TraitDefJamReduceOne.json,Description.Details,PASSIVE: This pilot has a reduced chance for weapon jams.,패시브: 이 조종사는 무기 작동 불량이 발생할 확률이 낮습니다.
BT Advanced Core/abilities/TraitDefJamReduceOne.json,EffectData[0].Description.Details,Reduce Jam Chance by 5%,걸릴 확률을 5% 감소시킵니다
BT Advanced Core/abilities/TraitDefJamReduceTwo.json,Description.Details,PASSIVE: This pilot has a reduced chance for weapon jams.,패시브: 이 조종사는 무기 재밍이 발생할 확률이 감소합니다.
BT Advanced Core/abilities/TraitDefJamReduceTwo.json,EffectData[0].Description.Details,Reduce Jam Chance by 10%,걸림 확률을 10% 감소시킵니다
BT Advanced Core/abilities/TraitDefTac1.json,Description.Details,PASSIVE: Resolve generation boosted by 2%,패시브: 결의 생성량이 2% 증가합니다
BT Advanced Core/abilities/TraitDefTac1.json,EffectData[0].Description.Details,Boost Resolve Gen By 2%,결의 생성량을 2% 증가시킵니다
BT Advanced Core/abilities/TraitDefTac10.json,Description.Details,PASSIVE: Resolve generation boosted by 20%,패시브: 결의 생성량이 20% 증가합니다
BT Advanced Core/abilities/TraitDefTac10.json,EffectData[0].Description.Details,Boost Resolve Gen By 20%,결의 생성량을 20% 증가시킵니다
BT Advanced Core/abilities/TraitDefTac2.json,Description.Details,PASSIVE: Resolve generation boosted by 4%,패시브: 결의 생성량이 4% 증가합니다
BT Advanced Core/abilities/TraitDefTac2.json,EffectData[0].Description.Details,Boost Resolve Gen By 4%,결의 생성량 4% 증가
BT Advanced Core/abilities/TraitDefTac3.json,Description.Details,PASSIVE: Resolve generation boosted by 6%,패시브: 레졸브 생성량이 6% 증가합니다
BT Advanced Core/abilities/TraitDefTac3.json,EffectData[0].Description.Details,Boost Resolve Gen By 6%,결의 생성량 6% 증가
BT Advanced Core/abilities/TraitDefTac4.json,Description.Details,PASSIVE: Resolve generation boosted by 8%,패시브: Resolve 생성량이 8% 증가합니다
BT Advanced Core/abilities/TraitDefTac4.json,EffectData[0].Description.Details,Boost Resolve Gen By 8%,결의 생성량 8% 증가
BT Advanced Core/abilities/TraitDefTac5.json,Description.Details,PASSIVE: Resolve generation boosted by 10%,패시브: 결의 생성량이 10% 증가합니다
BT Advanced Core/abilities/TraitDefTac5.json,EffectData[0].Description.Details,Boost Resolve Gen By 10%,결의 생성량 10% 증가
BT Advanced Core/abilities/TraitDefTac6.json,Description.Details,PASSIVE: Resolve generation boosted by 12%,패시브: 결의 생성량이 12% 증가합니다
BT Advanced Core/abilities/TraitDefTac6.json,EffectData[0].Description.Details,Boost Resolve Gen By 12%,결의 생성량 12% 증가
BT Advanced Core/abilities/TraitDefTac7.json,Description.Details,PASSIVE: Resolve generation boosted by 14%,패시브: 결의 생성량이 14% 증가합니다
BT Advanced Core/abilities/TraitDefTac7.json,EffectData[0].Description.Details,Boost Resolve Gen By 14%,결의 생성량 14% 증가
BT Advanced Core/abilities/TraitDefTac8.json,Description.Details,PASSIVE: Resolve generation boosted by 16%,패시브: 결의 생성량이 16% 증가합니다
BT Advanced Core/abilities/TraitDefTac8.json,EffectData[0].Description.Details,Boost Resolve Gen By 16%,결의 생성량을 16% 증가시킵니다
BT Advanced Core/abilities/TraitDefTac9.json,Description.Details,PASSIVE: Resolve generation boosted by 18%,패시브: 결의 생성량이 18% 증가합니다
BT Advanced Core/abilities/TraitDefTac9.json,EffectData[0].Description.Details,Boost Resolve Gen By 18%,결의 생성량을 18% 증가시킵니다.
BT Advanced Core/designmask/DesignMaskBurnedForest.json,Description.Details,"This is a burned-down forest and negatively affects mech stability after passing through or standing in it. Shame on you, Smokey disapproves.","이곳은 불타버린 숲이며, 이곳을 지나가거나 그 위에 서 있으면 메크 안정성에 부정적인 영향을 줍니다. 부끄러운 줄 아십시오, 스모키도 못마땅해합니다."
BT Advanced Core/designmask/DesignMaskBurnedForest.json,stickyEffect.Description.Details,This unit moved through rough terrain. It will take 150% stability damage from all attacks until its next activation.,이 유닛은 거친 지형을 통과했습니다. 다음 활성화까지 모든 공격으로부터 안정성 피해를 150% 받습니다.
BT Advanced Core/designmask/DesignMaskBurningForest.json,Description.Details,"This is a burning forest. The smoke given off shrouds units and makes them harder to target, but passing through the terrain causes 25 heat damage and causes units to sink 75% of their heat for two turns.","이곳은 불타는 숲입니다. 피어오르는 연기는 유닛을 가려 조준하기 더 어렵게 만들지만, 이 지형을 통과하면 열 피해 25를 입고 2턴 동안 열을 75%만 냉각하게 됩니다."
BT Advanced Core/designmask/DesignMaskBurningForest.json,stickyEffect.Description.Details,"The mech, the mech, the mech is on fire. It will only sink 50% of its normal heat until the end of its next activation.","메크가, 메크가, 메크가 불타고 있습니다. 다음 활성화가 끝날 때까지 평소 열의 50%만 배출합니다."
BT Advanced Core/designmask/DesignMaskBurningTerrain.json,Description.Details,Units passing through burning terrain only sink 75% of their normal Heat and suffer 20 heat damage as well.,"불타는 지형을 통과하는 유닛은 평소의 75%만큼만 열을 식히며, 추가로 열 피해 20을 받습니다."
