File,Key,Value,Translation
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_HunchbackII.json,Description.Details,This gear represents the Hunchback II's inherent Battlefists quirk. This grants the Hunchback II bonus melee damage.,이 장비는 Hunchback II의 고유한 배틀피스트 특성을 나타냅니다. 이는 Hunchback II에 근접 공격 추가 피해를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_HunchbackII.json,statusEffects[0].Description.Details,Melee attacks deal 8% Extra damage.,근접 공격이 8% 추가 피해를 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_HunchbackII.json,statusEffects[1].Description.Details,Melee attacks deal 8% extra stability damage.,근접 공격은 안정성 피해를 8% 추가로 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_HunchbackII.json,statusEffects[2].Description.Details,+1 Arm mounted accuracy.,팔 장착 무기 명중도 +1.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_HunchbackII.json,statusEffects[3].Description.Details,Punch attacks have +2 Accuracy.,펀치 공격은 명중도가 +2입니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_Menoetes.json,Description.Details,This gear represents the Menoetes's inherent Battlefists quirk. This grants the Menoetes bonus melee damage.,이 장비는 메노에테스의 고유한 배틀피스트 특성을 나타냅니다. 이는 메노에테스에 근접 공격 추가 피해를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_Menoetes.json,statusEffects[0].Description.Details,Melee attacks deal 15% Extra damage.,근접 공격이 15%의 추가 피해를 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_Menoetes.json,statusEffects[1].Description.Details,Melee attacks deal 15% extra stability damage.,근접 공격이 안정성 피해를 15% 추가로 가합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_Menoetes.json,statusEffects[2].Description.Details,+1 Arm mounted accuracy.,팔 장착 무기 명중도 +1.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_Menoetes.json,statusEffects[3].Description.Details,Punch attacks have +2 Accuracy.,펀치 공격은 명중도에 +2를 받습니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_ShadowHawkII.json,Description.Details,This gear represents the Shadow Hawk II's inherent Battlefists quirk. This grants the Shadow Hawk II bonus melee damage.,이 장비는 섀도 호크 II의 고유 특성인 배틀피스트를 나타냅니다. 이는 섀도 호크 II에 근접 공격 피해 보너스를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_ShadowHawkII.json,statusEffects[0].Description.Details,Melee attacks deal 8% Extra damage.,근접 공격이 추가 피해를 8% 가합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_ShadowHawkII.json,statusEffects[1].Description.Details,Melee attacks deal 8% extra stability damage.,근접 공격은 안정성 피해를 8% 추가로 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_ShadowHawkII.json,statusEffects[2].Description.Details,+1 Arm mounted accuracy.,팔 장착 무기 명중도 +1.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_Battlefists_ShadowHawkII.json,statusEffects[3].Description.Details,Punch attacks have +2 Accuracy.,주먹 공격은 명중도가 +2입니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Embrasure.json,Description.Details,This piece of gear represents the Embrasure's inherent Combat Computer quirk. This gives the Embrasure bonus heat dissipation equal to one extra double heat sink.,이 장비는 엠브레이저의 고유한 전투 컴퓨터 특성을 나타냅니다. 이는 엠브레이저에 더블 히트 싱크 1개를 추가한 것과 같은 열 방산 보너스를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Embrasure.json,statusEffects[0].Description.Details,Smart firing algorithms reduce heat generated by this mech.,스마트 사격 알고리즘이 이 메크에서 발생하는 열을 줄여줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Kinzhal.json,Description.Details,This piece of gear represents the Kinzhal's inherent Combat Computer quirk. This gives the Kinzhal bonus heat dissipation equal to one extra double heat sink.,이 장비는 킨잘의 고유한 전투 컴퓨터 특성을 나타냅니다. 이것은 킨잘에 더블 히트 싱크 1개를 추가한 것과 동일한 열 방산 보너스를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Kinzhal.json,statusEffects[0].Description.Details,Smart firing algorithms reduce heat generated by this mech.,스마트 사격 알고리즘이 이 메크에서 발생하는 열을 줄여 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Thunderbolt.json,Description.Details,This piece of gear represents the Thunderbolt's inherent Combat Computer quirk. This gives the Thunderbolt bonus heat dissipation equal to one extra double heat sink.,이 장비는 선더볼트의 고유한 컴뱃 컴퓨터 특성을 나타냅니다. 이는 선더볼트에 더블 히트 싱크 1개를 추가한 것과 동일한 열 방산 보너스를 부여합니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_CombatComputer_Thunderbolt.json,statusEffects[0].Description.Details,Smart firing algorithms reduce heat generated by this mech.,스마트 사격 알고리즘이 이 메크에서 발생하는 열을 줄여 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_EasytoMaintain_Coehorn.json,Description.Details,This piece of gear represents the Coehorn's inherent Easy to Maintain quirk. This means the Coehorn's mechbay refits are extremely fast.,이 장비는 코혼의 고유 특성인 손쉬운 정비를 나타냅니다. 이는 코혼의 메크베이 개수가 극도로 빠르다는 뜻입니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_EasytoMaintain_Coehorn.json,statusEffects[0].Description.Details,The gyro helps establish center-of-mass equilibrium for the BattleMech.,자이로는 배틀메크의 질량중심 평형을 설정하는 데 도움을 줍니다.
BT Advanced Sanctuary Worlds Mech Quirks/upgrade/Gear_Quirk_EasytoMaintain_StingerII.json,Description.Details,This piece of gear represents the Stinger II's inherent Easy to Maintain quirk. This means the Stinger II's mechbay refits are extremely fast.,이 장비는 스팅어 II에 내재된 손쉬운 정비 특성을 나타냅니다. 이는 스팅어 II의 메크베이 개수가 극도로 빠르다는 뜻입니다.
