File,Key,Value,Translation
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospace/vehicledef_COBRA_VTOL.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospace/vehicledef_COBRA_VTOL_DXR.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospace/vehicledef_RABBIT_VTOL.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospace/vehicledef_RABBIT_VTOL_NPC.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospacechassis/vehiclechassisdef_COBRA_VTOL.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospacechassis/vehiclechassisdef_COBRA_VTOL_DXR.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospacechassis/vehiclechassisdef_RABBIT_VTOL.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/aerospacechassis/vehiclechassisdef_RABBIT_VTOL_NPC.json,Description.Details,"It's a VTOL, Boss","VTOL입니다, 보스"
BT Advanced Sanctuary Worlds Tanks and Turrets/apc/vehicledef_APC_HeavyWheeled_VRM_Sanctuary.json,Description.Details,"The Heavy Wheeled APC is a larger version of its standard counterpart able to carry two full platoons of Foot Infantry or one platoon of either Motorized or Jump Infantry. The LRM variant of the APC was introduced in the Star League era and had the following changes to accommodate modification: the LRM 5 launcher and its ammunition take up half of the vehicle's original six ton infantry bay capacities. 

 <b><color=#ffcc00>Movement: 6/9 Hex: 180/270 Meters.</color></b>

<color=#ffcc00><b>Armor:</b> Armor
<b>Structure:</b> Structure
<b>Values       A        S  </b>
<b>Front</b>       100     10
<b>Left</b>          65     10
<b>Right</b>        65     10
<b>Rear</b>         50     10

<b>Turret</b>         50     10
<b>Total</b>      330     50
</color>","헤비 휠드 APC는 표준형보다 더 큰 파생형으로, 도보 보병 2개 완편 소대 또는 차량화 보병이나 점프 보병 1개 소대를 수송할 수 있습니다. APC의 LRM 파생형은 스타 리그 시대에 도입되었으며, 개조를 수용하기 위해 다음과 같은 변경이 이루어졌습니다. LRM 5 발사기와 그 탄약이 차량 원래의 6톤 보병 적재 공간 중 절반을 차지합니다. 

 <b><color=#ffcc00>이동력: 6/9 헥스: 180/270 미터.</color></b>

<color=#ffcc00><b>장갑:</b> 장갑
<b>구조:</b> 구조
<b>수치       A        S  </b>
<b>전면</b>       100     10
<b>좌측</b>          65     10
<b>우측</b>        65     10
<b>후면</b>         50     10

<b>포탑</b>         50     10
<b>합계</b>      330     50
</color>"
BT Advanced Sanctuary Worlds Tanks and Turrets/apcchassis/vehiclechassisdef_APC_HeavyWheeled_VRM_Sanctuary.json,Description.Details,"The Heavy Wheeled APC is a larger version of its standard counterpart able to carry two full platoons of Foot Infantry or one platoon of either Motorized or Jump Infantry. The LRM variant of the APC was introduced in the Star League era and had the following changes to accommodate modification: the LRM 5 launcher and its ammunition take up half of the vehicle's original six ton infantry bay capacities. 

 <b><color=#ffcc00>Movement: 6/9 Hex: 180/270 Meters.</color></b>

<color=#ffcc00><b>Armor:</b> Armor
<b>Structure:</b> Structure
<b>Values       A        S  </b>
<b>Front</b>       100     10
<b>Left</b>          65     10
<b>Right</b>        65     10
<b>Rear</b>         50     10
<b>Turret</b>         50     10

<b>Total</b>      330     50
</color>","헤비 휠드 APC는 표준형보다 더 큰 파생형으로, 도보 보병 2개 완편 소대 또는 차량화 보병이나 점프 보병 1개 소대를 수송할 수 있습니다. APC의 LRM 파생형은 스타 리그 시대에 도입되었으며, 개조를 수용하기 위해 다음과 같은 변경이 이루어졌습니다. LRM 5 발사기와 그 탄약이 차량의 원래 6톤 보병 적재 공간 중 절반을 차지합니다. 

 <b><color=#ffcc00>이동력: 6/9 헥스: 180/270미터.</color></b>

<color=#ffcc00><b>장갑:</b> 장갑
<b>구조:</b> 구조
<b>수치       A        S  </b>
<b>전면</b>       100     10
<b>좌측</b>          65     10
<b>우측</b>        65     10
<b>후면</b>         50     10
<b>포탑</b>         50     10

<b>합계</b>      330     50
</color>"
