File,Key,Value,Translation
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot3.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot3.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 3 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 3으로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot4.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot4.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 4 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 4로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot5.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot5.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 5 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 5로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot6.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_Lance2Slot6.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 6 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 6으로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_expandedBays1.json,AssignedCastDescription,"Turns out the Argo had a second full set of mech bays in another hangar hidden this whole time, we only found it after opening the rest of the first Mech Bay! I think we can double up on our storage space for active mechs with a little elbow grease so just give the word and we'll crack open the extra bays!",알고 보니 아르고에는 지금까지 숨겨져 있던 다른 격납고에 두 번째 완전한 메크 베이 세트가 있었습니다. 첫 번째 메크 베이의 나머지 구역을 연 뒤에야 발견했습니다! 조금만 손보면 활성 메크 보관 공간을 두 배로 늘릴 수 있을 것 같습니다. 말씀만 해주시면 추가 베이를 열어보겠습니다!
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_expandedBays1.json,Description.Details,"Increases the company's ability to store mechs by enabling the Mech Hangar 2 tab to actually store mechs.

 <b><color=#e93a2d>WITHOUT THIS UPGRADE, MECH HANGAR 2 DOES NOT HOLD MECHS EVEN THOUGH YOU CAN LOOK AT MECH HANGAR 2. YOU REQUIRE THIS UPGRADE FOR MECH HANGAR 2 TO FUNCTION!!

 PLEASE READ THE FAQ ON MECH HANGAR 2 ON THE BTA WIKI FOR DETAILS AND LIMITATIONS.</color></b>","메크 격납고 2 탭이 실제로 메크를 보관할 수 있게 하여 중대의 메크 보관 능력을 증가시킵니다.

 <b><color=#e93a2d>이 업그레이드가 없으면 메크 격납고 2를 볼 수는 있어도 메크 격납고 2에 메크를 보관할 수 없습니다. 메크 격납고 2가 작동하려면 이 업그레이드가 필요합니다!!

 자세한 사항과 제한 사항은 BTA 위키의 메크 격납고 2 FAQ를 읽어주십시오.</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_expandedBays2.json,AssignedCastDescription,"We've got even more space hiding in the back of the mech lab! Gimme the word and I'll get it configured for use, Commander!","메크 연구실 뒤쪽에 숨겨진 공간이 더 있습니다! 말씀만 해주시면 사용할 수 있도록 설정해두겠습니다, 사령관님!"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_expandedBays2.json,Description.Details,"Increases the company's ability to store mechs by enabling the Mech Hangar 3 tab to actually store mechs.

 <b><color=#e93a2d>WITHOUT THIS UPGRADE, MECH HANGAR 3 DOES NOT HOLD MECHS EVEN THOUGH YOU CAN LOOK AT MECH HANGAR 3. YOU REQUIRE THIS UPGRADE FOR MECH HANGAR 3 TO FUNCTION!!</color></b>","메크 격납고 3 탭이 실제로 메크를 보관할 수 있게 하여 중대의 메크 보관 능력을 증가시킵니다.

 <b><color=#e93a2d>이 업그레이드가 없으면 메크 격납고 3을 볼 수는 있어도 메크 격납고 3에 메크를 보관할 수 없습니다. 메크 격납고 3이 작동하려면 이 업그레이드가 필요합니다!!</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_Lance1Slot5.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_Lance1Slot5.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance A. 

 <b><color=#F79232>Increases Lance A Slots to 5 and increases Drop Weight Limit by 50 tons.</color></b>","회사가 Lance A에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance A 슬롯이 5로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_Lance1Slot6.json,AssignedCastDescription,With this we can support dropping an additional combat unit onto the battlefield.,이를 통해 전장에 추가 전투 유닛 1기를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_Lance1Slot6.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance A. 

 <b><color=#F79232>Increases Lance A Slots to 6 and increases Drop Weight Limit by 50 tons.</color></b>","회사가 Lance A에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance A 슬롯이 6으로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit1.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit1.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit2.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit2.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit3.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit3.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit4.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit4.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit5.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimit5.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimitUltimate.json,AssignedCastDescription,With this we can drop further tonnage of mechs onto the battlefield.,이를 통해 전장에 더 많은 중량의 메크를 강하할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_mechBay_weightLimitUltimate.json,Description.Details,This upgrade allows us to increase the drop weight limit to its absolute maximum. <b><color=#F79232>Increases Drop Weight Limit by 500 tons</color></b>,이 업그레이드는 드롭 중량 제한을 절대 최대치까지 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 500톤 증가합니다</color></b>
BiggerDrops/shipUpgrades/argoUpgrade_VeeSlot.json,AssignedCastDescription,With this we can support dropping an additional combat vehicle onto the battlefield.,이를 통해 전장에 추가 전투 차량 1대를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_VeeSlot.json,Description.Details,Increases the company's ability to field an additional combat vehicle. <b><color=#F79232>Increases Vehicle-Only Slots to 3 and increases Drop Weight Limit by 50 tons.</color></b>,"회사가 추가 전투 차량을 투입할 수 있는 능력을 향상시킵니다. <b><color=#F79232>차량 전용 슬롯이 3으로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
BiggerDrops/shipUpgrades/argoUpgrade_VeeSlot1.json,AssignedCastDescription,With this we can support dropping an additional combat vehicle onto the battlefield.,이를 통해 전장에 추가 전투 차량 1대를 강하시키는 것을 지원할 수 있습니다.
BiggerDrops/shipUpgrades/argoUpgrade_VeeSlot1.json,Description.Details,Increases the company's ability to field an additional combat vehicle. <b><color=#F79232>Increases Vehicle-Only Slots to 4 and increases Drop Weight Limit by 50 tons.</color></b>,"회사가 추가 전투 차량을 투입할 수 있는 능력을 향상시킵니다. <b><color=#F79232>차량 전용 슬롯이 4로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,infinitiveNegativeResult,Decreases Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,infinitivePositiveResult,Increases Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,infinitiveSetResult,Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}%
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,negativeResult,Decreases Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,positiveResult,Increases Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechSlots.json,setResult,Increases Size of second Lance {RES_VALUE.ToString}%,두 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,infinitiveNegativeResult,Decreases Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,infinitivePositiveResult,Increases Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,infinitiveSetResult,Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}%
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,negativeResult,Decreases Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,positiveResult,Increases Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalMechTankSlots.json,setResult,Increases Size of first Lance {RES_VALUE.ToString}%,첫 번째 랜스 규모 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalPlayerMechSlots.json,infinitiveNegativeResult,Decreases Player Controlled Pilots by {RES_VALUE.ToString}%,플레이어가 조종하는 조종사 수 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalPlayerMechSlots.json,infinitivePositiveResult,Increases Player Controlled Pilots by {RES_VALUE.ToString}%,플레이어가 조종하는 조종사 수 {RES_VALUE.ToString}% 증가
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalPlayerMechSlots.json,infinitiveSetResult,Player Controlled Pilots {RES_VALUE.ToString}%,플레이어 조종사 수 {RES_VALUE.ToString}%
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalPlayerMechSlots.json,negativeResult,Decreases Player Controlled Pilots by {RES_VALUE.ToString}%,플레이어 조종사 수 {RES_VALUE.ToString}% 감소
BiggerDrops/statdesc/SimGameStatDesc_BiggerDrops_AdditionalPlayerMechSlots.json,positiveResult,Increases Player Controlled Pilots by {RES_VALUE.ToString}%,플레이어 조종사 수 {RES_VALUE.ToString}% 증가
