File,Key,Value,Translation
CustomUnits/ability/AbilityDefCU_DeploySetPosition.json,Description.Details,Set deploy position,배치 위치 설정
CustomUnits/ability/AbilityDefCU_Shutdown.json,Description.Details,"Shutdown the mech, venting heat but becoming immobile for the turn and losing all evasion.","메크를 셧다운합니다. 열을 배출하지만, 해당 턴 동안 움직일 수 없게 되고 모든 회피를 잃습니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,Description.Details,"ACTION: Reduces movement extremely heavily, bringing it to a crawl, but allows the unit to ignore all pathing and terrain restrictions for the turn in order to unstick itself from bad terrain.","행동: 이동력을 극도로 크게 감소시켜 거의 기어가듯 움직이게 하지만, 유닛이 나쁜 지형에서 빠져나올 수 있도록 이번 턴 동안 모든 경로 및 지형 제한을 무시할 수 있게 합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[0].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[1].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[2].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[3].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[4].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[5].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/ability/AbilityDefCU_SpawnUnit.json,EffectData[6].Description.Details,This unit ignores terrain bonuses and penalties as well as landmines this turn but has massively reduced movement.,"이 유닛은 이번 턴 동안 지형 보너스와 페널티, 그리고 지뢰를 무시하지만, 이동력이 크게 감소합니다."
CustomUnits/chassis/chassisdef_deploy_director.json,Description.Details,Deploy director,디렉터를 배치하십시오
CustomUnits/drop_classes/BAClass.json,Description.Details,Mechs,메크
CustomUnits/drop_classes/GenericMechClass.json,Description.Details,Mechs,메크
