File,Key,Value,Translation
Flashpoint DLC Flashpoints/chassis/chassisdef_griffin_GRF-4N_fp_greed.json,Description.Details,"This Griffin is a one-off refit of the old Griffin GRF-2N from the Star League. Nicknamed 'Greed' due to the circumstances of its acquisition, the mech shifts the -2N away from a brawler and towards a mid to long-range fire-support design more akin to the classic Griffin's role. Greed performs relatively ably in that role, though it is still a Griffin at heart and so behaves like most other Griffins.","이 그리핀은 스타 리그 시절의 오래된 그리핀 GRF-2N을 단 한 대만 개조한 특별형입니다. 획득 과정의 사정으로 인해 ‘그리드(Greed)’라는 별명이 붙었으며, 이 개체는 원래 근접전에 특화된 -2N형을 중·장거리 화력 지원용 설계로 전환하여, 고전적인 그리핀의 운용 방식에 더 가까운 성격을 지니게 되었습니다. ‘그리드’는 그러한 역할에서도 비교적 준수한 성능을 보여주지만, 본질적으로는 여전히 그리핀이기에 대부분의 다른 그리핀들과 비슷한 움직임과 특성을 보입니다."
Flashpoint DLC Flashpoints/chassis/chassisdef_griffin_GRF-4N_fp_greed.json,YangsThoughts,"This Griffin is a one-off refit of the old Griffin GRF-2N from the Star League. Nicknamed 'Greed' due to the circumstances of its acquisition, the mech shifts the -2N away from a brawler and towards a mid to long-range fire-support design more akin to the classic Griffin's role. Greed performs relatively ably in that role, though it is still a Griffin at heart and so behaves like most other Griffins.","이 그리핀은 스타 리그 시절의 오래된 그리핀 GRF-2N을 단 한 대만 개조한 특별형입니다. 획득 과정의 사정으로 인해 ‘그리드(Greed)’라는 별명이 붙었으며, 이 개체는 원래 근접전에 특화된 -2N형을 중·장거리 화력 지원용 설계로 전환하여, 고전적인 그리핀의 운용 방식에 더 가까운 성격을 지니게 되었습니다. ‘그리드’는 그러한 역할에서도 비교적 준수한 성능을 보여주지만, 본질적으로는 여전히 그리핀이기에 대부분의 다른 그리핀들과 비슷한 움직임과 특성을 보입니다."
Flashpoint DLC Flashpoints/chassis/chassisdef_hatchetman_HCT-6X.json,Description.Details,"Developed by the Lyran Commonwealth as an experimental refit of the Hatchetman, the HCT-6X was designed around using TSM for maximum effectiveness with its hatchet. Built around a XL 225-rated engine for a ground speed of 81 kph (which is boosted by TSM) and equipped with five jump jets for clearing obstacles, the -6X can rapidly close the distance to bring the hatchet to bear. For firepower, the -6X carries an all-energy loadout of two Snub-Nose PPCs and an ER Medium Laser, giving it a brutal close-range payload. Rounding out the loadout is a Boosted Active Probe to lock enemy forces.","라이란 코먼웰스에서 핫치트맨을 실험적으로 개조하여 개발한 HCT-6X는 핫치를 최대한 효율적으로 활용하기 위해 TSM을 중심으로 설계되었습니다. XL 225 등급 엔진을 중심으로 제작되어 지상 속도 81 kph(이는 TSM으로 더욱 향상됩니다)를 낼 수 있으며, 장애물 통과를 위한 5개의 점프 제트를 탑재해 빠르게 거리를 좁혀 핫치를 활용할 수 있습니다. 화력은 전부 에너지 무장으로 구성되어 두 기의 스너브-노즈 PPC와 한 기의 ER 미디엄 레이저를 장착하여 근거리에서 굉장히 강력한 화력을 제공합니다. 무장 구성의 마무리로 적을 잠금하기 위한 부스트 액티브 프로브도 탑재되어 있습니다."
Flashpoint DLC Flashpoints/chassis/chassisdef_hatchetman_HCT-6X.json,YangsThoughts,"Developed by the Lyran Commonwealth as an experimental refit of the Hatchetman, the HCT-6X was designed around using TSM for maximum effectiveness with its hatchet. Built around a XL 225-rated engine for a ground speed of 81 kph (which is boosted by TSM) and equipped with five jump jets for clearing obstacles, the -6X can rapidly close the distance to bring the hatchet to bear. For firepower, the -6X carries an all-energy loadout of two Snub-Nose PPCs and an ER Medium Laser, giving it a brutal close-range payload. Rounding out the loadout is a Boosted Active Probe to lock enemy forces.","라이란 코먼웰스에서 핫치트맨을 실험적으로 개조하여 개발한 HCT-6X는 핫치를 최대한 효율적으로 활용하기 위해 TSM을 중심으로 설계되었습니다. XL 225 등급 엔진을 중심으로 제작되어 지상 속도 81 kph(이는 TSM으로 더욱 향상됩니다)를 낼 수 있으며, 장애물 통과를 위한 5개의 점프 제트를 탑재해 빠르게 거리를 좁혀 핫치를 활용할 수 있습니다. 화력은 전부 에너지 무장으로 구성되어 두 기의 스너브-노즈 PPC와 한 기의 ER 미디엄 레이저를 장착하여 근거리에서 굉장히 강력한 화력을 제공합니다. 무장 구성의 마무리로 적을 잠금하기 위한 부스트 액티브 프로브도 탑재되어 있습니다."
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,contractObjectiveList[0].title,Assault the Bunker and Designate a Target for the Fire Mission,벙커를 돌파하여 화력 표적을 지정하십시오.
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,dialogueList[0].dialogueContent[0].words,"Commander, this is it; when we destroy this facility, we'll have shattered the Capellan defenses on this world, and hopefully eliminated their best field commander.","사령관님, 이 곳입니다. 이 시설을 파괴하면 이 행성에서 카펠란의 방어를 와해시키게 되며, 운이 좋다면 그들의 최고의 야전 지휘관도 제거할 수 있을 것입니다."
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,dialogueList[0].dialogueContent[1].words,"I've marked the three regions where you'll need to place the targeting beacons. The beacons take time to place, so you'll need to keep a unit nearby to defend them.","비콘을 설치해야 할 세 지역을 표시해 두었습니다. 비콘 설치에는 시간이 걸리므로, 해당 비콘들을 방어하기 위해 근처에 부대를 대기시켜 두어야 합니다."
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,dialogueList[0].dialogueContent[2].words,Expect heavy resistance once your units are in position; they'll try to drive you away so they can interrupt the targeting signals.,부대가 지정 위치에 도착하면 강한 저항이 예상됩니다. 그들은 표적 신호를 방해하기 위해 여러분을 몰아내려 할 것입니다.
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,dialogueList[0].dialogueContent[3].words,"Once the DropShip enters orbit and lines up for its attack run, we'll have a limited timeframe before the Capellans detect her and dispatch interceptors. You'll need to prioritize accordingly.","드롭십이 궤도에 진입해 공격 진로를 정렬하면, 카펠란이 이를 탐지해 요격기를 출격시키기 전까지 사용할 수 있는 시간은 제한적입니다. 우선순위를 적절히 정하셔야 합니다."
Flashpoint DLC Flashpoints/contracts/allianceDavion/c_fp_allianceDavion_b2_fireMission.json,dialogueList[0].dialogueContent[4].words,"Once all three beacons are placed, wait for the orbital strike to confirm its effect. Then make for the extraction LZ and the Leopard will pick you up.",세 개의 비콘이 모두 설치되면 궤도 타격의 효과를 확인하십시오. 그런 다음 회수 LZ로 이동하시면 레오파드가 귀하를 태우러 올 것입니다.
