File,Key,Value,Translation
SoldiersPiratesAssassinsMercs/GenericDialogue.json,10thLyranGuards[0],"First Prince Victor Steiner-Davion is the rightful ruler of the Federated Commonwealth and the 10th Lyran is proud to fight on his behalf! Stand aside, mercenaries, that the rightful claimant to the throne may take his place!","퍼스트 프린스 빅터 슈타이너-다비온은 항성 연방의 정당한 통치자이시며, 제10 라이란은 그분을 위해 싸우는 것을 자랑스럽게 여깁니다! 비키십시오, 용병들, 왕좌의 정당한 계승자께서 그 자리를 차지하실 수 있도록 하십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,10thLyranGuards[1],"Her name is Katherine Steiner-Davion, not Katrina! Submit to the rightful heir of the Davion line or be destroyed!","그분의 이름은 카트린 슈타이너-다비온이시지, 카트리나가 아닙니다! 다비온 가문의 정당한 후계자에게 복종하시든가, 아니면 파멸하십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,10thLyranGuards[2],{COMPANY.CompanyName}? Sounds like Katherine sympathizers. If you eject now I promise we won't step on you like we did those Jade Falcons.,"{COMPANY.CompanyName}? 캐서린 동조자들 같은데요. 지금 사출하시면, 우리가 저 제이드 팰컨 놈들한테 했던 것처럼 당신들을 짓밟지는 않겠다고 약속드리죠."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,10thLyranGuards[3],{Commander.Callsign}? Sounds Capellan to me. If you surrender now I promise we won't weld you into your cockpits and throw you into the river like those Davions did in the Fourth Succession War.,"{Commander.Callsign}? 제 귀에는 카펠란 쪽 이름처럼 들리는군요. 지금 항복하시면, 제 말인데, 예전 제4차 계승 전쟁 때 그 다비온 놈들이 했던 것처럼 여러분을 콕핏에 용접해 넣고 강에 처박아 버리지는 않겠다고 약속드리겠습니다."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,11thArmyVEta[0],"What do we have here? A mercenary intruding on matters they have no place in? 11th Army, destroy this interloper.","여기 뭐가 있습니까? 끼어들 자리가 아닌 일에 끼어든 용병입니까? 제11군, 이 침입자를 파괴하십시오."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,11thAvalonHussars[0],"The First Prince betrayed us when he ordered us out of Lyran space. Only the true ruler, Archon Katherine, has our loyalty. Stand down mercs or feel the fury of the 11th Avalon Hussars!","퍼스트 프린스는 우리에게 라이란 영공에서 철수하라고 명령했을 때 우리를 배신했습니다. 진정한 지배자, 아콘 캐서린께만 우리의 충성심이 있습니다. 용병들, 무장을 해제하십시오. 아니면 제11 아발론 후사르의 분노를 느끼게 될 것입니다!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,11thAvalonHussars[1],Jackson Davion trained us to fight mercs like you. You think you'll survive where the Lexington Combat Group didn't?,잭슨 다비온이 우리에게 너희 같은 용병들과 싸우는 법을 훈련시켰습니다. 렉싱턴 전투단도 못 버틴 곳에서 네가 살아남을 거라고 생각하십니까?
SoldiersPiratesAssassinsMercs/GenericDialogue.json,11thAvalonHussars[2],Those dirty Haseks probably hired you. Prepare to die!,그 더러운 하섹 놈들이 아마 당신을 고용했겠지요. 죽을 준비를 하십시오!
SoldiersPiratesAssassinsMercs/GenericDialogue.json,15thLyranRegulars[0],"We stood against Clan Smoke Jaguar on Lonaconing, the 15th Lyran will not be cowed by mere soldiers of fortune. Stand aside or be cast aside!","저희는 로나코닝에서 클랜 스모크 재규어에 맞서 싸웠습니다. 제15 라이란은 고작 용병 따위에게 겁먹지 않습니다. 비키십시오, 아니면 쓸려나가십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,15thLyranRegulars[1],"We've ended the careers of a lot of mecenary units, and you're about to be another collection of broken dreams and broken parts. Come find out why the Commonwealth has never lost Hesperus!","우리는 수많은 용병 부대의 커리어를 끝장냈고, 이제 당신들도 산산조각 난 꿈과 부서진 부품 더미 하나로 전락하게 될 것입니다. 왜 연방이 헤스페루스를 한 번도 잃은 적이 없는지 직접 와서 알아보십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,15thLyranRegulars[2],"We know what good mercenaries look like, and you lot are no Gray Death Legion.","우리는 훌륭한 용병이 어떤 모습인지 알고 있습니다, 그리고 당신들 같은 자들은 결코 그레이 데스 리전이 아닙니다."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stAllianceAirWing[0],"In the name of the Outworlds Alliance, I order you to surrender to the 1st Alliance Air Wing! Come peacefully and we'll show you mercy.","아웃월드 동맹의 이름으로, 제1 동맹 항공단에 항복할 것을 명령합니다! 순순히 투항하시면 자비를 베풀겠습니다."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stHeliusLegionnaires[0],"1st Helius Legionnaires, House Helius is counting on us to win through this day! All forward and never surrender!","헬리우스 가문의 제1 헬리우스 군단병 여러분, 헬리우스 가문은 우리가 오늘을 승리로 헤쳐 나가리라 믿고 있습니다! 전원 전진하고 절대 항복하지 마십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKitteryBorderers[0],"We may not be on Kittery, but don't think the Kittery Borderers will fight any less for it. Prepare yourself!","여기가 키터리는 아닐지 몰라도, 키터리 보더러스가 그걸 위해 조금이라도 덜 싸울 거라고는 생각하지 마십시오. 각오하십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKitteryBorderers[1],We get a Limp Sword flag every time we beat up the Cappies. I wonder what sort of medal we'll get for killing you?,카펠란 놈들을 두들겨 팰 때마다 림프 소드 깃발을 하나씩 받지요. 당신을 죽이면 무슨 훈장을 받게 될지 궁금하군요?
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKitteryBorderers[2],Fighting you rabble is better than dealing with the Haseks back at home. Let's make this quick so we can get back to Kittery.,당신들 같은 잡것들과 싸우는 게 고향에서 하섹 놈들을 상대하는 것보다 낫습니다. 키터리로 돌아갈 수 있게 빨리 끝내겠습니다.
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKnightsOfTheInnerSphere[0],"Beware, evil doer, for you now face the Knights of the Inner Sphere! Though our code requires we offer you a warning, we do not offer you quarter. If you resist our advance, you will be destroyed without mercy. Choose now your fate!","조심하십시오, 악행을 저지르는 자여, 이제 당신은 이너스피어의 기사단과 맞서게 되었습니다! 우리의 규율에 따라 당신에게 경고를 드리지만, 자비를 베풀지는 않겠습니다. 우리의 진격에 저항한다면, 당신은 무자비하게 파괴될 것입니다. 지금 당신의 운명을 선택하십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKnightsOfTheInnerSphere[1],"Treacherous mercenary scum deserves no quarter. But if you surrender now, we will grant you safe conduct to your war crimes trial at the Second Star League.","배신한 용병 쓰레기에게 자비는 없습니다. 하지만 지금 투항하시면, 제2 스타 리그에서 전쟁 범죄 재판을 받으러 가는 동안 안전 통행을 보장해 드리겠습니다."
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stKnightsOfTheInnerSphere[2],"We remember your deeds on {RCNT_SYSTEM}. Prepare to face justice, evil-doer! Go for their sensors!","저희는 {RCNT_SYSTEM}에서 당신이 저지른 행적을 기억하고 있습니다. 죗값을 치를 준비를 하십시오, 악행을 저지른 자여! 놈들의 센서를 노리십시오!"
SoldiersPiratesAssassinsMercs/GenericDialogue.json,1stMcCarronsArmoredCavalry[0],"The Big MAC is comin' in hot, mercenary! Best prepare yourself, since we're not taking prisoners today!","빅 MAC이 뜨겁게 들어간다, 용병! 오늘은 포로 따위 안 받으니까 각오 단단히 하십시오!"
