File,Key,Value,Translation
StrategicOperations/abilities/AbilityDefAirliftActivate.json,Description.Details,"ACTION: This unit will airlift the targeted unit, hoisting it into the air and carrying it around. The airlifted unit can still shoot, but can take no movement actions as long as it is held.","행동: 이 유닛은 대상 유닛을 공수하여 공중으로 들어 올리고 운반합니다. 공수된 유닛은 여전히 사격할 수 있지만, 붙잡혀 있는 동안에는 이동 행동을 취할 수 없습니다."
StrategicOperations/abilities/AbilityDefBattleArmorMount.json,Description.Details,ACTION: Battle armor will mount/dismount selected unit,행동: 배틀 아머가 선택한 유닛에 탑승하거나 하차합니다.
StrategicOperations/abilities/AbilityDefCMD_BADrop.json,Description.Details,"DEPLOYS A BATTLE ARMOR SQUAD FROM THE ARGO'S STORAGE BAYS UNDER ALLIED CONTROL.

 <b><color=#099ff2>Has a 2 turn cooldown! Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in two squads per contract!</color></b>

 <b><color=#e11919>Costs 10000 C-Bills per use!</color></b>","아르고의 보관 베이에서 아군 조종의 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>2턴 재사용 대기 시간이 있습니다! 사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 두 분대만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 10000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Achilles.json,Description.Details,"DEPLOYS AN ACHILLES BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 10000 C-Bills per use!</color></b>","아군 조종의 아킬레스 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 10000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Armstrong.json,Description.Details,"DEPLOYS AN ARMSTRONG BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 10000 C-Bills per use!</color></b>","아군 조종의 암스트롱 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 10000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Asterion.json,Description.Details,"DEPLOYS AN ASTERION BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 10000 C-Bills per use!</color></b>","아군 조종의 아스테리온 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 10000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Dragoon.json,Description.Details,"DEPLOYS A DRAGOON BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 20000 C-Bills per use!</color></b>","아군 조종의 드라군 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 20000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Elemental.json,Description.Details,"DEPLOYS AN ELEMENTAL BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 50000 C-Bills per use!</color></b>","아군 조종의 엘리멘탈 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 50000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_FaShih.json,Description.Details,"DEPLOYS A FA SHIH BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 20000 C-Bills per use!</color></b>","아군 조종의 파 시 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 20000 C-Bills가 소모됩니다!</color></b>"
StrategicOperations/abilities/AbilityDefCMD_BADrop_Gnome.json,Description.Details,"DEPLOYS A GNOME BATTLE ARMOR SQUAD ALLIED CONTROL.

 <b><color=#099ff2>Costs 15 Resolve to use!</color></b>

 <b><color=#15df37>Can only call in one squad per contract!</color></b>

 <b><color=#e11919>Costs 60000 C-Bills per use!</color></b>","아군 조종의 노움 배틀 아머 분대를 배치합니다.

 <b><color=#099ff2>사용 시 결의 15를 소모합니다!</color></b>

 <b><color=#15df37>계약당 분대 하나만 호출할 수 있습니다!</color></b>

 <b><color=#e11919>사용당 60000 C-Bills가 소모됩니다!</color></b>"
