File,Key,Value,Translation
shipUpgrades\argoUpgrade_Lance2Slot3.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 3 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 3으로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
shipUpgrades\argoUpgrade_Lance2Slot4.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 4 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 4로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
shipUpgrades\argoUpgrade_Lance2Slot5.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 5 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 5로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
shipUpgrades\argoUpgrade_Lance2Slot6.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance B. 

 <b><color=#F79232>Increases Lance B Slots to 6 and increases Drop Weight Limit by 50 tons</color></b>","회사가 Lance B에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance B 슬롯이 6으로 증가하고, 드롭 중량 제한이 50톤 증가합니다</color></b>"
shipUpgrades\argoUpgrade_mechBay_expandedBays1.json,Description.Details,"Increases the company's ability to store mechs by enabling the Mech Bay 2 tab to actually store mechs.

 <b><color=#e93a2d>WITHOUT THIS UPGRADE, MECH BAY 2 DOES NOT HOLD MECHS EVEN THOUGH YOU CAN LOOK AT MECH BAY 2. YOU REQUIRE THIS UPGRADE FOR MECH BAY 2 TO FUNCTION!!

 PLEASE READ THE FAQ ON MECH BAY 2 ON THE BTA WIKI FOR DETAILS AND LIMITATIONS.</color></b>","회사가 멕을 보관할 수 있는 능력을 향상시켜, 멕 베이 2 탭에서 실제로 멕을 저장할 수 있도록 합니다.

<b><color=#e93a2d>이 업그레이드 없이는 멕 베이 2를 볼 수는 있지만 멕을 저장할 수 없습니다. 멕 베이 2가 제대로 작동하려면 이 업그레이드가 필요합니다!!

자세한 내용과 제한 사항은 BTA 위키의 멕 베이 2 FAQ를 반드시 읽어 주십시오.</color></b>"
shipUpgrades\argoUpgrade_mechBay_expandedBays2.json,Description.Details,"Increases the company's ability to store mechs by enabling the Mech Bay 3 tab to actually store mechs.

 <b><color=#e93a2d>WITHOUT THIS UPGRADE, MECH BAY 3 DOES NOT HOLD MECHS EVEN THOUGH YOU CAN LOOK AT MECH BAY 3. YOU REQUIRE THIS UPGRADE FOR MECH BAY 3 TO FUNCTION!!</color></b>","회사가 멕을 보관할 수 있는 능력을 향상시켜, 멕 베이 3 탭에서 실제로 멕을 저장할 수 있도록 합니다.

<b><color=#e93a2d>이 업그레이드 없이는 멕 베이 3를 볼 수는 있지만 멕을 저장할 수 없습니다. 멕 베이 3가 제대로 작동하려면 이 업그레이드가 필요합니다!!</color></b>"
shipUpgrades\argoUpgrade_mechBay_Lance1Slot5.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance A. 

 <b><color=#F79232>Increases Lance A Slots to 5 and increases Drop Weight Limit by 50 tons.</color></b>","회사가 Lance A에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance A 슬롯이 5로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
shipUpgrades\argoUpgrade_mechBay_Lance1Slot6.json,Description.Details,"Increases the company's ability to field additional combat units, both mechs and vehicles, in Lance A. 

 <b><color=#F79232>Increases Lance A Slots to 6 and increases Drop Weight Limit by 50 tons.</color></b>","회사가 Lance A에 추가 전투 유닛(멕과 차량 모두)을 투입할 수 있는 능력을 향상시킵니다.

<b><color=#F79232>Lance A 슬롯이 6으로 증가하고, 드롭 중량 제한이 50톤 증가합니다.</color></b>"
shipUpgrades\argoUpgrade_mechBay_weightLimit1.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
shipUpgrades\argoUpgrade_mechBay_weightLimit2.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
shipUpgrades\argoUpgrade_mechBay_weightLimit3.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
shipUpgrades\argoUpgrade_mechBay_weightLimit4.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
shipUpgrades\argoUpgrade_mechBay_weightLimit5.json,Description.Details,This upgrade allows us to increase the drop weight limit even further. <b><color=#F79232>Increases Drop Weight Limit by 50 tons</color></b>,이 업그레이드는 드롭 중량 제한을 더욱 증가시킬 수 있도록 해줍니다. <b><color=#F79232>드롭 중량 제한이 50톤 증가합니다</color></b>
