File,Key,Value,Translation
CustomAmmoCategories/abilities/AbilityDefCAC_AttackGround.json,Description.Details,Using this ability you can shoot the ground instead of the target.,이 능력을 사용하면 목표 대신 지면을 사격할 수 있습니다.
CustomAmmoCategories/ammunition/Ammunition_AC10.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_AoE.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_AP.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_Caseless.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_Incendiary.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_Piercing.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_Precision.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC10_Sabot.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","AC/10에서 사용하도록 설계된 대구경 탄으로, 높은 피해를 줄 수 있습니다."
CustomAmmoCategories/ammunition/Ammunition_AC2.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC20.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_AoE.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_AP.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_Caseless.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_Incendiary.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_Piercing.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_Precision.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC20_Sabot.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AC2_AoE.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_AP.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_Caseless.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_Incendiary.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_Piercing.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_Precision.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC2_Sabot.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2에서 장거리 사격을 위해 설계된 소구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_AoE.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_AP.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_Caseless.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_Incendiary.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_Piercing.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_Precision.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AC5_Sabot.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 적합한 중구경 탄입니다.
CustomAmmoCategories/ammunition/Ammunition_AMS.json,Description.Details,None,None
CustomAmmoCategories/ammunition/Ammunition_AntiMissile.json,Description.Details,Large bore belted ammunition for 'Mech-mounted machine guns.,메크 장착 기관총용 대구경 벨트식 탄약입니다.
CustomAmmoCategories/ammunition/Ammunition_ARMORAMMO.json,Description.Details,ARMORAMMO.,ARMORAMMO.
CustomAmmoCategories/ammunition/Ammunition_ArrowIV.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_ArrowIV_Fascam.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_ArrowIV_Fascam_Inferno.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_ArrowIV_Homing.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_ArrowIV_Inferno.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_ArrowIV_Nuke.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
CustomAmmoCategories/ammunition/Ammunition_AtomSmasher.json,Description.Details,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",성형작약 탄두를 사용하여 근거리에서 큰 피해를 줄 수 있는 단거리 미사일입니다.
CustomAmmoCategories/ammunition/Ammunition_Barracuda.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에서 사용하도록 설계된 대형 탄으로, 파괴적인 충격 피해를 가합니다."
