File,Key,Value,Translation
EnvironmentalDesignMasks/designmasks/DesignMaskArcticDayBlizzard.json,Description.Details,"The blizzard increases unit's Heat-sinking ability by 20%, and also sinks an additional 12 heat per turn. In the snow visibility and sensor range is reduced to 60% of normal and all units have +2 defense. Units take 15% more stability damage from the high winds.","눈보라는 유닛의 방열 성능을 20% 향상시키고, 매 턴 추가로 열 12를 제거합니다. 설원에서는 시야 및 센서 범위가 평소의 60%로 감소하며, 모든 유닛은 방어도 +2를 얻습니다. 강풍으로 인해 유닛은 안정성 피해를 15% 더 받습니다."
EnvironmentalDesignMasks/designmasks/DesignMaskArcticDayFoggy.json,Description.Details,"Polar biomes increase a unit's Heat-sinking ability by 20%, and visibility on sensors by a similar amount. In the fog visibility is reduced to 80% of normal and all units have +1 defense.","극지 환경에서는 유닛의 방열 성능이 20% 향상되고, 센서 가시성도 비슷한 수준으로 증가합니다. 안개 속에서는 시야가 평소의 80%로 감소하며 모든 유닛은 방어도 +1을 얻습니다."
EnvironmentalDesignMasks/designmasks/DesignMaskArcticNightFoggy.json,Description.Details,"Polar biomes increase a unit's Heat-sinking ability by 20%, and visibility on sensors by a similar amount. On a foggy night visibility is reduced to 70% of normal and all units have +1 defense.","극지 환경에서는 유닛의 방열 성능이 20% 향상되고, 센서 가시성도 비슷한 수준으로 증가합니다. 안개 낀 밤에는 시야가 평소의 70%로 감소하며 모든 유닛은 방어도 +1을 얻습니다."
EnvironmentalDesignMasks/designmasks/DesignMaskArcticNightFrozen.json,Description.Details,"Polar biomes increase a unit's Heat-sinking ability by 20%, and visibility on sensors by a similar amount. At night visibility is reduced to 90% of normal.","극지 환경에서는 유닛의 방열 성능이 20% 향상되고, 센서 가시성도 비슷한 수준으로 증가합니다. 밤에는 시야가 평소의 90%로 감소합니다."
EnvironmentalDesignMasks/designmasks/DesignMaskArcticSunsetFoggy.json,Description.Details,"Polar biomes increase a unit's Heat-sinking ability by 20%, and visibility on sensors by a similar amount. In the fog visibility is reduced to 80% of normal and all units have +1 defense.","극지 환경에서는 유닛의 방열 성능이 20% 향상되고, 센서 가시성도 비슷한 수준으로 증가합니다. 안개 속에서는 시야가 평소의 80%로 감소하며 모든 유닛은 방어도 +1을 얻습니다."
EnvironmentalDesignMasks/designmasks/DesignMaskAridDayWindy.json,Description.Details,Units in the Desert sink only 85% of their normal Heat. In heavy winds units take 10% more stability damage and the scatter on all weapons with scatter (such as artillery) is increased by 15%.,"사막에서는 유닛이 평소 열의 85%만 방열할 수 있습니다. 강한 바람이 불 경우 유닛은 안정성 피해를 10% 더 받으며, 산탄이 있는 모든 무기(포격 등)의 탄착 산포가 15% 증가합니다."
EnvironmentalDesignMasks/designmasks/DesignMaskAridDustStorm.json,Description.Details,"Sensor range and visibility is reduced to 60% of normal, and all units gain +2 defense due to poor visibility. Units take 20% more stability damage due to strong winds.","시야 및 센서 범위가 평소의 60%로 감소하며, 시계 불량으로 모든 유닛은 방어도 +2를 얻습니다. 강풍으로 인해 유닛은 안정성 피해를 20% 더 받습니다."
EnvironmentalDesignMasks/designmasks/DesignMaskAridNightClear.json,Description.Details,Units in the Desert sink only 85% of their normal Heat. At night visibility is reduced to 90% of normal.,사막에서는 유닛이 평소 열의 85%만 방열할 수 있습니다. 밤에는 시야가 평소의 90%로 감소합니다.
EnvironmentalDesignMasks/designmasks/DesignMaskAridNightFoggy.json,Description.Details,Units in the Badlands sink only 85% of their normal Heat. On a foggy night visibility is reduced to 70% of normal and all units have +1 defense.,배드랜드에서는 유닛이 평소 열의 85%만 방열할 수 있습니다. 안개 낀 밤에는 시야가 평소의 70%로 감소하며 모든 유닛은 방어도 +1을 얻습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskAridSunsetFoggy.json,Description.Details,Units in the Desert sink only 85% of their normal Heat. In the fog visibility is reduced to 80% of normal and all units have +1 defense.,사막에서는 유닛이 평소 열의 85%만 방열할 수 있습니다. 안개 속에서는 시야가 평소의 80%로 감소하며 모든 유닛은 방어도 +1을 얻습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeBadlandsParched.json,Description.Details,Units in the Desert sink only 85% of their normal Heat.,사막에서는 유닛이 평소 열의 85%만 방열할 수 있습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeDesertParched.json,Description.Details,Units in the Desert sink only 85% of their normal Heat.,사막에서는 유닛이 평소 열의 85%만 방열할 수 있습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeHighlandsFall.json,Description.Details,This design mask has no effect.,이 설계 마스크는 아무 효과가 없습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeHighlandsSpring.json,Description.Details,This design mask has no effect.,이 설계 마스크는 아무 효과가 없습니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeJungleTropical.json,Description.Details,Tropical biomes increase a unit's Heat-sinking ability by 10%.,열대 환경에서는 유닛의 방열 성능이 10% 향상됩니다.
EnvironmentalDesignMasks/designmasks/DesignMaskBiomeLowlandsCoastal.json,Description.Details,This design mask has no effect.,이 설계 마스크는 아무 효과가 없습니다.
