File,Key,Value,Translation
chassis\chassisdef_atlas_AS7-D-HK.json,Description.Details,"Found by Lady Kamea Arano in a Star League cache, this Atlas II was apparently modified by its original owner during the Amaris Civil War. Why it was abandoned is unclear since all other Atlas IIs went with General Kerensky on the Exodus. This Atlas II switches the LB-10X and ER Large Lasers of the stock Atlas II for a pair of Ultra Autocannon/5s, giving it much better ranged firepower. It carries the same SRM, LRM, and Medium Pulse Lasers, though it adds a third laser, of the original, as well as the same armor.","카메아 아라노 레이디님께서 스타 리그의 보관 창고에서 발견하신 이 아틀라스 II는, 아마리스 내전 당시 원래의 소유자가 개조한 것으로 보입니다. 다른 모든 아틀라스 II들이 커렌스키 장군과 함께 엑소더스에 참여했음을 고려하면, 이 기체가 왜 버려졌는지는 불분명합니다. 이 아틀라스 II는 기본형 아틀라스 II의 LB-10X와 ER 라지 레이저를 쌍으로 된 울트라 오토캐논/5로 교체하여, 훨씬 향상된 장거리 화력을 제공합니다. SRM, LRM, 그리고 미디엄 펄스 레이저 구성은 동일하지만, 원래의 설계에서 레이저를 하나 더 추가하였으며 장갑 역시 동일한 수준을 유지하고 있습니다."
chassis\chassisdef_griffin_GRF-4N_fp_greed.json,Description.Details,"This Griffin is a one-off refit of the old Griffin GRF-2N from the Star League. Nicknamed 'Greed' due to the circumstances of its acquisition, the mech shifts the -2N away from a brawler and towards a mid to long-range fire-support design more akin to the classic Griffin's role. Greed performs relatively ably in that role, though it is still a Griffin at heart and so behaves like most other Griffins.","이 그리핀은 스타 리그 시절의 오래된 그리핀 GRF-2N을 단 한 대만 개조한 특별형입니다. 획득 과정의 사정으로 인해 ‘그리드(Greed)’라는 별명이 붙었으며, 이 개체는 원래 근접전에 특화된 -2N형을 중·장거리 화력 지원용 설계로 전환하여, 고전적인 그리핀의 운용 방식에 더 가까운 성격을 지니게 되었습니다. ‘그리드’는 그러한 역할에서도 비교적 준수한 성능을 보여주지만, 본질적으로는 여전히 그리핀이기에 대부분의 다른 그리핀들과 비슷한 움직임과 특성을 보입니다."
chassis\chassisdef_hatchetman_HCT-6X.json,Description.Details,"Developed by the Lyran Commonwealth as an experimental refit of the Hatchetman, the HCT-6X was designed around using TSM for maximum effectiveness with its hatchet. Built around a XL 225-rated engine for a ground speed of 81 kph (which is boosted by TSM) and equipped with five jump jets for clearing obstacles, the -6X can rapidly close the distance to bring the hatchet to bear. For firepower, the -6X carries an all-energy loadout of two Snub-Nose PPCs and an ER Medium Laser, giving it a brutal close-range payload. Rounding out the loadout is a Boosted Active Probe to lock enemy forces.","라이란 코먼웰스에서 핫치트맨을 실험적으로 개조하여 개발한 HCT-6X는 핫치를 최대한 효율적으로 활용하기 위해 TSM을 중심으로 설계되었습니다. XL 225 등급 엔진을 중심으로 제작되어 지상 속도 81 kph(이는 TSM으로 더욱 향상됩니다)를 낼 수 있으며, 장애물 통과를 위한 5개의 점프 제트를 탑재해 빠르게 거리를 좁혀 핫치를 활용할 수 있습니다. 화력은 전부 에너지 무장으로 구성되어 두 기의 스너브-노즈 PPC와 한 기의 ER 미디엄 레이저를 장착하여 근거리에서 굉장히 강력한 화력을 제공합니다. 무장 구성의 마무리로 적을 잠금하기 위한 부스트 액티브 프로브도 탑재되어 있습니다."
chassis\chassisdef_kingcrab_KGC-000v.json,Description.Details,"This customized King Crab was driven by Victoria Espinosa, of the short-lived Aurigan Directorate. Armed with the best weaponry the Directorate could manage to acquire, it was an absolute death machine against anything it could see. Now, the power rests in your hands. Be bold, Commander.","이 개조된 킹 크랩은 단명한 아우리가 감독국의 빅토리아 에스피노사가 몰았습니다. 감독국이 구할 수 있는 최상의 무장으로 무장한 이 기체는 보이는 모든 것에 대해 절대적인 죽음의 기계였습니다. 이제 그 힘은 귀하의 손에 달려 있습니다. 주저하지 마십시오, 사령관님."
chassis\chassisdef_ostroc_OSR-2CB-K.json,Description.Details,"Gifted to Kamea Arano's Restoration by ComStar, this Royal Ostroc has seen some refits as befits Kamea's status as the ruler of the Aurigan Reach. Because Kamea is not just a ruler but is a symbol of the Restoration her mechtechs decided to amplify the survivability of her Ostroc as much as possible. Though it mounts an XL engine, this was done to permit the carrying of almost 23 tons of Hardened Armor, ensuring Kamea's survival through just about any battlefield experience. For firepower, the OSR-2CB-K carries two each ER Large and ER Medium Lasers, which are amplified by a MASC system for bursts of speed. Finally, Kamea's cockpit itself is shielded by an Hardened Cockpit, for maximum protection.","컴스타가 카메아 아라노의 복권군에 하사한 이 로열 오스트록은, 아우리가 구역의 통치자인 카메아의 지위에 걸맞게 일부 개조가 이루어졌습니다. 카메아는 단순한 통치자가 아니라 복권의 상징이기에, 그녀의 멕테크들은 오스트록의 생존성을 가능한 한 극대화하도록 결정했습니다. 이 기체는 XL 엔진을 장착하고 있지만, 이는 거의 23톤에 달하는 강화 장갑을 실을 수 있도록 하기 위한 조치로, 카메아가 어떤 전장 상황에서도 생존할 수 있게 보장합니다. 화력 면에서는 ER 라지 레이저 2기와 ER 미디엄 레이저 2기를 탑재하고 있으며, MASC 시스템을 통해 순간적인 속도 상승을 얻을 수 있습니다. 마지막으로, 카메아의 조종석은 최대한의 보호를 위해 강화 콕핏으로 방호되어 있습니다."
events\event_FP_StoryTime0.json,Description.Details,"AURIGAN COALITION SUCCESSION: TENSION IN THE HIGH HOUSE!


[[DM.BaseDescriptionDefs[LoreHighLordTamatiArano],High Lord Tamati Arano II]] is dead, leaving the [[DM.BaseDescriptionDefs[LoreAuriganCoalition],Aurigan Coalition]] leaderless. Sources report that he and his wife were killed in an accident yesterday, leaving Kamea Arano as the only heir. Sources indicate growing tension within the palace, as Lord Santiago Espinosa and Lady Kamea wrangle for power. With tensions high in this region of the periphery, MercNews is on the scene, bringing you the latest.


Darius interrupts your news reading to say that your old mentor, Raju Montgomery is on the line with a job offer.","아우리가 연합 계승: 귀족 가문들의 긴장 고조!


[[DM.BaseDescriptionDefs[LoreHighLordTamatiArano],하이 로드 타마티 아라노 2세]]가 사망하여 [[DM.BaseDescriptionDefs[LoreAuriganCoalition],아우리가 연합]]은 지도자를 잃었습니다. 공식 발표에 따르면 그는 부인과 함께 어제 사고로 사망했으며, 카메아 아라노가 유일한 후계자로 남게 되었습니다. 비공식 소식통들은 산티아고 에스피노사 경과 레이디 카메아 아라노가 권력을 두고 다투면서 궁정 내 긴장이 고조되고 있다고 전했습니다. 이 지역 변두리의 긴장이 높아지는 가운데, MercNews가 현장에 나와 최신 소식을 전합니다.

그때 다리우스가 뉴스를 읽던 당신을 가로막으며 말합니다.
“사령관님의 옛 스승, 라주 몽고메리가 통신을 보내왔습니다. 일거리를 제안하고 싶다네요.”"
events\event_mw_FP-scoundrel-A_NewScam.json,Description.Details,"A comm's buzz wakes you. Darius has a message from the planet's surface. ""You're not going to believe this, Commander. It's Ayasha Hadley.""

""Commander {COMMANDER.LastName}! I feel awful about how we left things, but no hard feelings, right? I <i>really</i> didn't want to go to jail.""

Seeing your stony response, she continues. ""I like you, Commander. You must know that. So I just had to bring you this opportunity that could benefit us both.""

She continues as if you'd agreed. ""You have a MechWarrior in your employ, goes by the callsign [[TGT_MW,{TGT_MW.Callsign}]]. {TGT_MW.Gender?Male:He's|Female:She's|NonBinary:They're} the spitting image of a certain Davion official who has access to a Mydron research facility I'd very much like to see the inside of.""

""Let me borrow {TGT_MW.OBJ} for a few weeks. If you play along, I'll give you one of whatever I find in there. What do you say? Partners?""","통신기 울림이 당신을 깨웁니다. 다리우스에게 행성 표면에서 온 메시지가 있습니다. ""믿기 어려우실 겁니다, 사령관님. 아야샤 해들리입니다.""

"" {COMMANDER.LastName} 사령관님! 우리가 그때 그렇게 끝난 것에 대해 정말 마음이 불편합니다만, 원한은 없죠? 저는 <i>정말</i> 감옥에 가고 싶지 않았습니다.""

당신의 무표정한 반응을 보자, 그녀는 계속합니다. ""사령관님, 저는 당신을 좋아합니다. 그건 분명히 아실 겁니다. 그래서 우리 둘에게 이익이 될 수 있는 이 기회를 꼭 전해 드려야 했습니다.""

그녀는 마치 당신이 동의한 것처럼 말을 이어갑니다. ""귀하의 고용인 중에 멕워리어가 한 명 있는데, 호출부호는 [[TGT_MW,{TGT_MW.Callsign}]]입니다. {TGT_MW.Gender?Male:그는|Female:그녀는|NonBinary:그들은} 특정 다비온 관리의 꼭 닮은 모습인데, 그 관리자는 제가 꼭 내부를 들여다보고 싶은 Mydron 연구 시설에 접근할 수 있는 권한을 가지고 있습니다.""

""며칠이 아니라 몇 주 동안 {TGT_MW.OBJ}을 빌려 주십시오. 만약 협조해 주신다면, 그곳에서 찾는 것 중 하나를 하나 드리겠습니다. 어떠십니까? 파트너가 되시겠습니까?"""
events\forcedevent_FP_StoryTime1_A.json,Description.Details,"Groggy, you wake up in medbay, with the crew waiting around you with concern. Darius explains. ""You took a nasty bump on the head punching out, Commander.""","머리가 멍한 상태로 메드베이에서 깨어나자, 걱정스러운 표정으로 둘러선 승무원들의 모습이 보입니다. 다리우스가 설명합니다.
“탈출할 때 머리를 심하게 부딪히셨습니다, 사령관님.”"
events\forcedevent_FP_StoryTime3_A.json,Description.Details,"The ancient ship stirs to life, power conduits humming and frame creaking as Dr. Murad's team brings the engines to life.


Her voice crackles over the comms. ""Stay in your 'Mech, Commander. I'm not sure pressure will hold anywhere other than command.""","고대의 함선이 깨어나기 시작합니다. 전력 도관이 윙윙거리고, 선체가 삐걱거리며 무라드 박사의 팀이 엔진을 가동시킵니다.

통신기에 그녀의 목소리가 잡음 섞여 들려옵니다.
“사령관님, 메크 안에 그대로 계십시오. 지휘 구역을 제외한 다른 구역에서는 압력이 유지될지 확신할 수 없습니다.”"
events\forcedevent_FP_StoryTime3_B.json,Description.Details,"In the morning briefing, Darius pulls up an inventory spreadsheet on the Argo's viewscreen. ""We're running a little low on medical supplies since that last drop. Medipatches, trauma packs, a few other things. It isn't critical yet, but I feel better when we're well-stocked.""

Sumire frowns. ""Why do we keep patching our supplies in dribs and drabs? Can't we get some kind of 'bulk discount' and get ahead of this problem? Gods know we'll end up using them, and maybe the doctors can speed up our recovery times for a while.""","아침 브리핑에서 다리우스가 아르고의 스크린에 재고 스프레드시트를 띄웁니다.
“지난 낙하 작전 이후 의료 보급품이 조금 부족해졌습니다. 메디패치, 외상 키트, 그리고 몇 가지 물품들이요. 아직 치명적인 수준은 아니지만, 충분히 비축되어 있을 때가 훨씬 안심이 됩니다.”

스미레가 얼굴을 찌푸리며 말합니다.
“왜 항상 조금씩만 채워 넣는 거죠? ‘대량 할인’ 같은 걸로 한꺼번에 확보해서 이 문제를 미리 막을 수는 없나요? 어차피 결국 다 쓰게 될 텐데요. 게다가 의사들도 그러면 회복 속도를 좀 더 높일 수 있을지 모르잖아요.”"
