File,Key,Value,Translation
Heavy Metal Equipment Module/abilities/AbilityDef_Mortar_OffBoard.json,Description.Details,ACTION: Fire an artillery attack at the target area for 10–50 damage per location on units within the blast radius. Has [NumberOfUses] uses per mission.,액션: 목표 지역에 포격 공격을 가해 폭발 반경 내 유닛의 각 부위에 10~50의 피해를 줍니다. 임무당 [NumberOfUses]회 사용 가능합니다.
Heavy Metal Equipment Module/ammunition/Ammunition_LB10X.json,Description.Details,"Large caliber cluster rounds capable of dealing heavy damage, and designed to be used in an LB 10-X.","대구경 산탄 탄두로, 강력한 피해를 줄 수 있으며 LB 10-X에서 사용하도록 설계되었습니다."
Heavy Metal Equipment Module/ammunition/Ammunition_LB20X.json,Description.Details,"Massive cluster rounds, designed for devastating impact, to be used in an LB 20-X.","파괴적인 타격을 위해 설계된 초대형 산탄 탄두로, LB 20-X에서 사용됩니다."
Heavy Metal Equipment Module/ammunition/Ammunition_LB2X.json,Description.Details,Small caliber cluster ammunition designed for long range fire in an LB 2-X.,"장거리 사격을 위해 설계된 소구경 산탄 탄약으로, LB 2-X에 사용됩니다."
Heavy Metal Equipment Module/ammunition/Ammunition_LB5X.json,Description.Details,"Moderate caliber cluster rounds, suitable for long range fire in an LB 5-X.","중거리 사격에 적합한 중구경 산탄 탄두로, LB 5-X에 사용됩니다."
Heavy Metal Equipment Module/ammunition/Ammunition_Narc.json,Description.Details,Short range missiles that deploy a targeting beacon that increases damage from subsequent missile attacks.,후속 미사일 공격의 피해를 증가시키는 표적 지시 비콘을 전개하는 단거리 미사일입니다.
Heavy Metal Equipment Module/ammunition/Ammunition_SRMInferno.json,Description.Details,Inferno SRM Ammo. SHOULD NOT BE PURCHASABLE OR AVAILABLE!!! Inferno Racks should have internal ammo only.,인페르노 SRM 탄약. 구매하거나 획득할 수 없어야 합니다!!! 인페르노 발사기는 내부 탄약만 사용해야 합니다.
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_LB10X.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 10-X Ammo Bins each contain 8 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다.

LB 10-X 탄약함은 각각 8발을 수용하며, 여러 무기에 탄을 공급할 수 있습니다."
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_LB20X.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 20-X Ammo Bins each contain 5 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다.

LB 20-X 탄약함은 각각 5발을 수용하며, 여러 무기에 탄을 공급할 수 있습니다."
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_LB2X.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 2-X Ammo Bins each contain 25 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다.

LB 2-X 탄약함은 각각 25발을 수용하며, 여러 무기에 탄을 공급할 수 있습니다."
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_LB5X.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 5-X Ammo Bins each contain 15 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다.

LB 5-X 탄약함은 각각 15발을 수용하며, 여러 무기에 탄을 공급할 수 있습니다."
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_Narc.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

Narc Beacon Ammo Bins each contain 6 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다.

나크 비콘 탄약함은 각각 6발을 수용하며, 여러 무기에 탄을 공급할 수 있습니다."
Heavy Metal Equipment Module/ammunitionBox/Ammo_AmmunitionBox_Generic_SRMInferno.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. Inferno Ammo Bins each contain 16 rounds and may feed multiple weapons.","탄약함은 발사체 기반 무기에 필요한 탄을 보관하며, 무기 종류마다 최소 하나의 탄약함이 필요합니다. 탄약함은 치명타를 받을 경우 폭발하여 장착된 부위를 파괴합니다. Inferno Ammo Bins each contain 16 rounds and may feed multiple weapons."
Heavy Metal Equipment Module/jumpjets/Gear_JumpJet_Vectored_Thrust_Kit.json,Description.Details,"The Phoenix Hawk mounts a pair of unique Vectored Thrust Kits. They act as normal Jump Jets, but in addition, their specialized thrust system optimizes propulsion and control during flight. This provides superior poise for subsequent attacks, increasing the damage dealt by any shots fired.","피닉스 호크는 독자적인 벡터 추력 키트 한 쌍을 장착하고 있습니다. 이 장비는 일반 점프 제트처럼 작동하지만, 추가로 특수한 추력 시스템이 비행 중 추진력과 기체 제어를 최적화합니다. 그 결과 후속 공격을 위한 자세 안정성이 크게 향상되어, 발사하는 모든 사격의 피해량이 증가합니다."
Heavy Metal Equipment Module/upgrades/Gear_General_Close_Quarters_Combat_Suite.json,Description.Details,The Close-Quarters Combat Suite provides the Vulcan with a range bonus to its Support weaponry for increased engagement distance. This equipment also provides a substantial defense against reprisal Melee attacks.,클로즈쿼터 전투 시스템은 벌컨의 지원 무기에 사거리 보너스를 제공하여 교전 거리를 늘려 줍니다. 또한 이 장비는 보복 근접 공격에 대해 상당한 방어 효과도 제공합니다.
Heavy Metal Equipment Module/upgrades/Gear_General_Enhanced_Missilery_System.json,Description.Details,"The Archer's Enhanced Missilery Suite greatly increases clustering in its LRM attacks, which causes greater damage to single locations. It also provides a massive boost to the stability damage of SRMs by improving in-flight trajectories.",아처의 강화 미사일 시스템은 LRM 공격의 클러스터 집중도를 크게 향상시켜 단일 부위에 더 큰 피해를 입히게 합니다. 또한 비행 중 궤도를 개선하여 SRM의 안정성 피해를 대폭 증가시킵니다.
Heavy Metal Equipment Module/upgrades/Gear_General_GM_Ballistic_Siege_Compensators.json,Description.Details,"The integrated Ballistic Siege Compensators of the Annihilator turn it into an indomitable killing machine. Specially tuned to the behemoth's stature and stride, this equipment increases maximum stability and Ballistic weaponry damage.",애니힐레이터에 통합된 탄도 공성 보정 장치는 이 기체를 난공불락의 살상 기계로 탈바꿈시킵니다. 이 거대한 기체의 체격과 보폭에 맞춰 특별 조정된 이 장비는 최대 안정성을 증가시키고 탄도 무기의 피해량을 향상시킵니다.
Heavy Metal Equipment Module/upgrades/Gear_General_Intercept_System.json,Description.Details,The Assassin's unique Intercept System makes the 'Mech an unparalleled hunter-killer against lighter units. Its highly specialized predictive trajectory tracking allows it to ignore 3 EVASIVE charges on its targets.,어쌔신의 고유한 인터셉트 시스템은 이 멕을 경량 유닛에 대한 최고의 헌터킬러로 만들어 줍니다. 고도로 특화된 예측 궤도 추적 기능을 통해 목표의 회피 충전 3개를 무시할 수 있습니다.
Heavy Metal Equipment Module/upgrades/Gear_General_Lance_Command_Module.json,Description.Details,The Marauder is outfitted with a specialized Lance Command Module that allows it to better coordinate the actions of a unit of 'Mechs. This provides better defense against incoming attacks for all lancemates and improves the reliablity of Called Shots executed by the Marauder pilot.,The Marauder is outfitted with a specialized Lance Command Module that allows it to better coordinate the actions of a unit of 'Mechs. This provides better defense against incoming attacks for all lancemates and improves the reliablity of Called Shots executed by the Marauder pilot.
Heavy Metal Equipment Module/upgrades/Gear_General_Optimized_Capacitors.json,Description.Details,"The Optimized Capacitors extending from the Warhammer's engine allow for improved linkages for all Energy weapons mounted on the 'Mech. This boosts the damage output of those weapons beyond their stock capability, capitalizing on the Warhammer's typical loadout.","The Optimized Capacitors extending from the Warhammer's engine allow for improved linkages for all Energy weapons mounted on the 'Mech. This boosts the damage output of those weapons beyond their stock capability, capitalizing on the Warhammer's typical loadout."
Heavy Metal Equipment Module/upgrades/Gear_General_Rangefinder_Suite.json,Description.Details,The Rifleman's integrated Rangefinder Suite makes it the master of sniping from beyond the reach of its targets. This equipment substantially boosts viewing distance and significantly reduces the penalties from recoil and long-range shots.,The Rifleman's integrated Rangefinder Suite makes it the master of sniping from beyond the reach of its targets. This equipment substantially boosts viewing distance and significantly reduces the penalties from recoil and long-range shots.
Heavy Metal Equipment Module/upgrades/Gear_General_Targeting_Baffle.json,Description.Details,"The Flea comes equipped with uniquely formed torso sections known as Targeting Baffles. These specialized sections scramble weapons targeting and make the Flea extremely difficult to hit, even compared to other lighter 'Mechs.","The Flea comes equipped with uniquely formed torso sections known as Targeting Baffles. These specialized sections scramble weapons targeting and make the Flea extremely difficult to hit, even compared to other lighter 'Mechs."
Heavy Metal Equipment Module/upgrades/Gear_Mortar_MechMortar.json,Description.Details,"Essentially a gigantic targeting and communications system, this module allows a mech to call in limited artllery support from air and ground forces elsewhere in the OZ. Due to the hurried nature of battle, the support artillery can only fire once or twice before their ability to assist is exhausted. The targeting and communication system is also bulky, heavy, and easily destroyed, but the power to call in extra firepower is often worth the downsides. Finally, because the Support Artillery system takes over the carrier's fire control systems to coordinate with the supporting allied forces, it cannot be used in the same action as normal weaponry.","Essentially a gigantic targeting and communications system, this module allows a mech to call in limited artllery support from air and ground forces elsewhere in the OZ. Due to the hurried nature of battle, the support artillery can only fire once or twice before their ability to assist is exhausted. The targeting and communication system is also bulky, heavy, and easily destroyed, but the power to call in extra firepower is often worth the downsides. Finally, because the Support Artillery system takes over the carrier's fire control systems to coordinate with the supporting allied forces, it cannot be used in the same action as normal weaponry."
Heavy Metal Equipment Module/upgrades/Gear_Mortar_OffBoard.json,Description.Details,"Essentially a gigantic targeting and communications system, this module allows a mech to call in limited artllery support from air and ground forces elsewhere in the OZ. Due to the hurried nature of battle, the support artillery can only fire once or twice before their ability to assist is exhausted. The targeting and communication system is also bulky, heavy, and easily destroyed, but the power to call in extra firepower is often worth the downsides. Finally, because the Support Artillery system takes over the carrier's fire control systems to coordinate with the supporting allied forces, it cannot be used in the same action as normal weaponry.","Essentially a gigantic targeting and communications system, this module allows a mech to call in limited artllery support from air and ground forces elsewhere in the OZ. Due to the hurried nature of battle, the support artillery can only fire once or twice before their ability to assist is exhausted. The targeting and communication system is also bulky, heavy, and easily destroyed, but the power to call in extra firepower is often worth the downsides. Finally, because the Support Artillery system takes over the carrier's fire control systems to coordinate with the supporting allied forces, it cannot be used in the same action as normal weaponry."
Heavy Metal Equipment Module/upgrades/Gear_Mortar_Thumper.json,Description.Details,"The One-Shot Thumper Cannon is an integrated but single-use unique artillery piece mounted on the Bull Shark. Unlike a true Thumper, the One-Shot Thumper Cannon fires a specialized shaped charge that deals massive damage to a relatively small area, for artillery that is. The cannon is single use and requires uninterrupted use of the targeting systems, so it cannot be fired with other weapons, but the damage is extreme enough to make it worth the trade off. Still, the technology never reached production and was never widely used.","The One-Shot Thumper Cannon is an integrated but single-use unique artillery piece mounted on the Bull Shark. Unlike a true Thumper, the One-Shot Thumper Cannon fires a specialized shaped charge that deals massive damage to a relatively small area, for artillery that is. The cannon is single use and requires uninterrupted use of the targeting systems, so it cannot be fired with other weapons, but the damage is extreme enough to make it worth the trade off. Still, the technology never reached production and was never widely used."
Heavy Metal Equipment Module/weapon/Weapon_Autocannon_LB10X_0-STOCK.json,Description.Details,"The LB 10-X sands away considerable amounts of armor and severely destabilizes targets with its large-gauge scatter shots and high stability damage. Like all LB-X Autocannons, the LB 10-X fires cluster munitions and suffers recoil from continuous fire.","LB 10-X는 대구경 산탄 사격과 높은 안정성 피해로 상당한 장갑을 깎아내고 목표를 심하게 흔들어 놓습니다. 다른 모든 LB-X 오토캐논과 마찬가지로, LB 10-X는 산탄 탄두를 발사하며 지속 사격 시 반동의 영향을 받습니다."
Heavy Metal Equipment Module/weapon/Weapon_Autocannon_LB10X_1-Western.json,Description.Details,"The LB 10-X sands away considerable amounts of armor and severely destabilizes targets with its large-gauge scatter shots and high stability damage. Like all LB-X Autocannons, the LB 10-X fires cluster munitions and suffers recoil from continuous fire.","LB 10-X는 대구경 산탄 사격과 높은 안정성 피해로 상당한 장갑을 깎아내고 목표를 심하게 흔들어 놓습니다. 다른 모든 LB-X 오토캐논과 마찬가지로, LB 10-X는 산탄 탄두를 발사하며 지속 사격 시 반동의 영향을 받습니다."
Heavy Metal Equipment Module/weapon/Weapon_Autocannon_LB10X_2-Western.json,Description.Details,"The LB 10-X sands away considerable amounts of armor and severely destabilizes targets with its large-gauge scatter shots and high stability damage. Like all LB-X Autocannons, the LB 10-X fires cluster munitions and suffers recoil from continuous fire.","LB 10-X는 대구경 산탄 사격과 높은 안정성 피해로 상당한 장갑을 깎아내고 목표를 심하게 흔들어 놓습니다. 다른 모든 LB-X 오토캐논과 마찬가지로, LB 10-X는 산탄 탄두를 발사하며 지속 사격 시 반동의 영향을 받습니다."
Heavy Metal Equipment Module/weapon/Weapon_Autocannon_LB20X_0-STOCK.json,Description.Details,"Delivering massive cluster rounds of stability damage with each volley, the LB 20-X smashes its opponents into the ground at short range and strips armor away in hunks. Like all LB-X Autocannons, the LB 20-X fires cluster munitions and suffers recoil from continuous fire.","매 발사마다 막대한 안정성 피해를 주는 산탄 탄두를 퍼붓는 LB 20-X는 근거리에서 적을 지면으로 내리꽂고 장갑을 덩어리째 벗겨 냅니다. 다른 모든 LB-X 오토캐논과 마찬가지로, LB 20-X는 산탄 탄두를 발사하며 지속 사격 시 반동의 영향을 받습니다."
