File,Key,Value,Translation
Heavy Metal Flashpoint Module/chassis/chassisdef_annihilator_ANH-II-L.json,Description.Details,"Designed by a mercenary who managed to salvage most of an Annihilator from the Wolf's Dragoons, the ANH-II-L is a downsized version of the Annihilator. Armed with a battery of LB-5X Autocannons, the ANH-II-L has been up-engined from its originator mech. It also carries a bevy of Small and Small Pulse Lasers for close-range combat","울프 드라군에게서 애니힐레이터 대부분을 인양해낸 한 용병이 설계한 ANH-II-L은 애니힐레이터의 축소형 버전입니다. 다수의 LB-5X 오토캐논을 주무장으로 탑재했으며, 원형 기체보다 더 강력한 엔진으로 교체되었습니다. 근접 전투를 위해 여러 기의 스몰 레이저와 스몰 펄스 레이저도 장착하고 있습니다."
Heavy Metal Flashpoint Module/chassis/chassisdef_archer_ARC-T.json,Description.Details,"Named for Morgan Kell's pirate lover, customized with LosTech he recovered from the Periphery before his return in 3006. Identical to the standard ARC-2R in most respects, the addition on an Endo Steel frame frees up the weight for a Guardian ECM suite and two extra heat sinks, all of which are upgraded to double heat sinks boosting the Tempest's endurance.","모건 켈의 해적 연인을 기리기 위해 이름 붙여졌으며, 3006년 귀환 전 변방지역에서 회수한 로스트테크로 개조되었습니다. 대부분의 면에서 표준 ARC-2R과 동일하지만, 엔도 스틸 프레임을 채용해 중량 여유를 확보함으로써 가디언 ECM 장비와 추가 히트 싱크 두 개를 장착했습니다. 이 히트 싱크들은 모두 더블 히트 싱크로 업그레이드되어 템페스트의 지속 전투 능력을 향상시킵니다."
Heavy Metal Flashpoint Module/chassis/chassisdef_stalker_STK-BM.json,Description.Details,"The Stalker 3F mounts a ridiculous amount of weaponry-even for an assault 'Mech. It is also notable for its incredibly poor heat management, which is the cost it pays for such amazing damage output. Powerful, but to be used wisely.",스토커 3F는 어썰트 배틀메크치고도 터무니없을 정도로 많은 무장을 탑재하고 있습니다. 또한 엄청난 화력의 대가로 열 관리 성능이 극히 나쁘다는 점으로도 유명합니다. 강력하지만 신중하게 운용해야 하는 기체입니다.
Heavy Metal Flashpoint Module/mech/mechdef_annihilator_ANH-II-L.json,Description.Details,"Designed by a mercenary who managed to salvage most of an Annihilator from the Wolf's Dragoons, the ANH-II-L is a downsized version of the Annihilator. Armed with a battery of LB-5X Autocannons, the ANH-II-L has been up-engined from its originator mech. It also carries a bevy of Small and Small Pulse Lasers for close-range combat.","울프 드라군에게서 애니힐레이터 대부분을 인양해낸 한 용병이 설계한 ANH-II-L은 애니힐레이터의 축소형 버전입니다. 다수의 LB-5X 오토캐논을 주무장으로 탑재했으며, 원형 기체보다 더 강력한 엔진으로 교체되었습니다. 또한 근접 전투를 위해 여러 기의 스몰 레이저와 스몰 펄스 레이저를 장착하고 있습니다."
Heavy Metal Flashpoint Module/mech/mechdef_archer_ARC-T.json,Description.Details,"Named for Morgan Kell's pirate lover, customized with LosTech he recovered from the Periphery before his return in 3006. Identical to the standard ARC-2R in most respects, the addition on an Endo Steel frame frees up the weight for a Guardian ECM suite and two extra heat sinks, all of which are upgraded to double heat sinks boosting the Tempest's endurance.","모건 켈의 해적 연인을 기리기 위해 이름 붙여졌으며, 3006년 귀환 이전 변방지역에서 그가 회수한 로스트테크로 개조되었습니다. 대부분의 면에서 표준 ARC-2R과 동일하지만, 엔도 스틸 프레임을 채용해 중량 여유를 확보함으로써 가디언 ECM 장비와 추가 히트 싱크 두 개를 장착했습니다. 이 히트 싱크들은 모두 더블 히트 싱크로 업그레이드되어 템페스트의 지속 전투 능력을 향상시킵니다."
Heavy Metal Flashpoint Module/mech/mechdef_archer_ARC-T_fp_morganKell.json,Description.Details,"Named for Morgan Kell's pirate lover, customized with LosTech he recovered from the Periphery before his return in 3006. Identical to the standard ARC-2R in most respects, the addition on an Endo Steel frame frees up the weight for a Guardian ECM suite and two extra heat sinks, all of which are upgraded to double heat sinks boosting the Tempest's endurance.","모건 켈의 해적 연인을 기리기 위해 이름 붙여졌으며, 3006년 귀환 이전 변방지역에서 그가 회수한 로스트테크로 개조되었습니다. 대부분의 면에서 표준 ARC-2R과 동일하지만, 엔도 스틸 프레임을 채용해 중량 여유를 확보함으로써 가디언 ECM 장비와 추가 히트 싱크 두 개를 장착했습니다. 이 히트 싱크들은 모두 더블 히트 싱크로 업그레이드되어 템페스트의 지속 전투 능력을 향상시킵니다."
Heavy Metal Flashpoint Module/mech/mechdef_battlemaster_BLR-1G_fp_morganKell.json,Description.Details,"Versatile and powerful, the BattleMaster 1G is one of the best known BattleMechs in existence. Normally mounting a varied array of Energy weapons, the BattleMaster can engage enemies at any range and packs a powerful punch.","다재다능하고 강력한 배틀마스터 1G는 현존하는 배틀메크 중 가장 잘 알려진 기체 중 하나입니다. 일반적으로 다양한 에너지 무장을 장착하며, 어떤 거리에서도 적과 교전할 수 있고 강력한 화력을 자랑합니다."
Heavy Metal Flashpoint Module/mech/mechdef_enforcer_ENF-4R_fp_morganKell.json,Description.Details,"Enforcer 4R models combine the hefty power of an Autocannon and massive Laser with the mobility of Jump Jets-a deadly combination. Able to engage at medium-long all the way to point-blank range, these 'Mechs are flexible and surprising in combat.","엔포서 4R 모델은 오토캐논과 대형 레이저의 강력한 화력에 점프 제트의 기동성을 결합한 치명적인 조합을 갖추고 있습니다. 중·장거리부터 근접 거리까지 교전할 수 있어, 전투에서 유연하고 예측하기 어려운 기체입니다."
Heavy Metal Flashpoint Module/mech/mechdef_jenner_JR7-D_fp_morganKell.json,Description.Details,"Jenner Ds run hot, and they run fast but can quickly bound into combat to deliver a knockout punch, even against heavier units. Their capability with speed and weaponry tends to come at the expense of lower armor capacity, though.","제너 D는 열이 많이 발생하고 속도도 빠르지만, 순식간에 전투에 뛰어들어 더 무거운 기체를 상대로도 치명적인 일격을 가할 수 있습니다. 다만 이런 속도와 무장 능력은 장갑이 약한 대가로 얻은 것입니다."
Heavy Metal Flashpoint Module/mech/mechdef_orion_ON1-K_fp_morganKell.json,Description.Details,"The Orion K was the first true heavy 'Mech. As a multirole brawler, the Orion can engage enemies at a variety of ranges, and with plenty of armor, it can survive combined fire for quite some time. Slow, yes-but powerful.","오리온 K는 최초의 진정한 헤비 배틀메크였습니다. 다목적 난전형 기체로서 다양한 거리에서 적과 교전할 수 있으며, 두꺼운 장갑 덕분에 집중 사격도 꽤 오래 버틸 수 있습니다. 느리지만 강력한 기체입니다."
