File,Key,Value,Translation
InnerSphereMap/StarSystems/starsystemdef_Aalzorg.json,Description.Details,"During the First Succession war the Aalzorg system was abandoned after being rendered mostly uninhabitable due to the fighting, and was removed from many maps. ","제1차 계승 전쟁 동안, 알조르그 성계는 전투로 인해 대부분 거주 불가능한 상태가 되어 버려졌고 많은 지도에서 삭제되었습니다."
InnerSphereMap/StarSystems/starsystemdef_Abadan.json,Description.Details,"Abadan has been affiliated with the Free Worlds League for much of it's history. Abadan is home to facilities owned by two defense manufacturers, Adam Tech Industries and Austen-Armstrong Industries.","아바단은 역사 대부분 동안 자유 행성 연대와 연관되어 왔습니다. 아바단에는 두 방위 산업 기업, 애덤 테크 인더스트리와 오스틴-암스트롱 인더스트리가 소유한 시설들이 있습니다."
InnerSphereMap/StarSystems/starsystemdef_Abagnar.json,Description.Details,"The planet Abagnar is a simple agricultural world of little significance; most of the planetary population lived in or around the capital city, Hancock City, and the only notable establishment is the School of Medicines and Medical Procedures.","행성 아바그나르는 중요성이 거의 없는 단순한 농업 세계로, 대부분의 인구는 수도 행콕 시티에 거주했으며, 유일하게 주목할 만한 시설은 의학 및 의료 절차 학교입니다."
InnerSphereMap/StarSystems/starsystemdef_Abbadiyah.json,Description.Details,"An unremarkable system that has been Lyran controlled for many centuries, noted only for the mining facilities built to withstand the high gravity and rocky terrain, as well as being located only a week's travel from the jump point.","수 세기 동안 라이란의 지배를 받아 온 평범한 성계로, 높은 중력과 암석 지형을 견딜 수 있도록 건설된 채굴 시설과 점프 포인트에서 일주일 거리라는 점 외에는 특별히 주목할 만한 점이 없습니다."
InnerSphereMap/StarSystems/starsystemdef_Abbeville.json,Description.Details,"The capital city of Cottontown on the planet of Abbeville perfectly describes this simple agricultural world, devoted almost entirely to the production of agricultural and trading goods for export. ",아베빌 행성의 수도 코튼타운은 거의 전적으로 수출용 농산물과 무역 상품 생산에 전념하는 이 단순한 농업 세계를 잘 보여 줍니다.
InnerSphereMap/StarSystems/starsystemdef_Abejorral.json,Description.Details,"The low gravity water world of Abejorral is a popular destination for many members of the aristocracy, with it's small population devoted almost entirely to a service based economy.","저중력의 수상 세계 아베호랄은 많은 귀족들이 즐겨 찾는 휴양지로, 소규모 인구는 거의 전적으로 서비스 산업 경제에 종사하고 있습니다."
InnerSphereMap/StarSystems/starsystemdef_Aberystwyth.json,Description.Details,Formed by the Rims World Republic before the Starleague and later annexed by the Lyran Commonwealth in the ending days of the Star League. Extensive mining operations cover the planet. Outside of mining this system is a quiet backwater.,"림 월드 공화국이 스타 리그 이전에 형성한 뒤, 스타 리그 말기에 라이란 커먼웰스에 병합되었습니다. 행성 전역에는 광범위한 채굴 작업이 이루어지고 있으며, 채굴을 제외하면 이 성계는 조용한 변방 지역입니다."
InnerSphereMap/StarSystems/starsystemdef_AbiyAdi.json,Description.Details,"Abiy Adi III is the third planet in the Abiy Adi system. Abiy Adi is a dry and arid world orbited by a single moon, Amarigna, and the surface of Abiy Adi is home to a factory owned and operated by Luthien Armor Works (LAW).","아비 아디 III는 아비 아디 성계의 세 번째 행성입니다. 아비 아디는 하나의 위성 아마리그나가 공전하는 건조하고 메마른 세계이며, 표면에는 루시엔 아머 웍스(LAW)가 소유·운영하는 공장이 있습니다."
InnerSphereMap/StarSystems/starsystemdef_AblesGlory.json,Description.Details,Large quantities of germanium present prompted Hunter's Paradise and Gillfillan's Gold to collectively form a colony on Able's Glory. Outside of mining the colony is mostly used as a safe jump point for jump ship traffic.  ,막대한 양의 게르마늄이 존재하는 것이 확인되자 헌터스 파라다이스와 길필런스 골드가 공동으로 에이블스 글로리에 식민지를 세웠습니다. 채굴 외에는 이 식민지는 주로 점프선 교통을 위한 안전한 점프 포인트로 활용됩니다.
InnerSphereMap/StarSystems/starsystemdef_Aboukir.json,Description.Details,During the Third Succession war the Aboukir system was abandoned after being depopulated in the fighting.,"제3차 계승 전쟁 동안, 아부키르 성계는 전투로 인해 인구가 사라진 뒤 버려졌습니다."
