File,Key,Value,Translation
MechAffinity/tags/Quirk_Junkyard_Dog.json,Description,"Adds 1 priority and 2 random picks for salvage allocation (priority pick maxed at 7) when deployed in battle
Costs additional ¢150000 pilot upkeep","전투에 투입 시 전리품 분배에 우선 선택 1회와 무작위 선택 2회를 추가합니다 (우선 선택 최대 7회)
조종사 유지비로 ¢150000이 추가로 소모됩니다"
MechAffinity/AffinityDefs/AffinityDef_chassis_Agile.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its evasive pips on movement by 1.,이 멕에 대한 조종사의 뛰어난 숙련도로 이동 시 회피 충전이 1 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Armor_Block.json,affinityData.affinityLevels[0].effectData[0].Description.Details,BA Damage Reduction,BA 피해 감소
MechAffinity/AffinityDefs/AffinityDef_chassis_Brawler.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its melee damage by 15%.,이 멕에 대한 조종사의 뛰어난 숙련도로 근접 공격 피해가 15% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Command_Unit.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its initiative by 1.,이 멕에 대한 조종사의 뛰어난 숙련도로 주도권이 1 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Cool-Running.json,affinityData.affinityLevels[0].effectData[0].Description.Details,"The pilot's incredible skill with this mech improves its heat sinking systems, increasing dissipation by 3.",이 멕에 대한 조종사의 뛰어난 숙련도로 냉각 시스템이 향상되어 방열량이 3 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Encouraging.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its resolve boost by 2.,이 멕에 대한 조종사의 뛰어난 숙련도로 결의 상승량이 2 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Evasive.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech makes it even harder to hit the mech.,이 멕에 대한 조종사의 뛰어난 숙련도로 이 멕은 더욱 명중시키기 어려워집니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Goomba_Stomper.json,affinityData.affinityLevels[0].effectData[0].Description.Details,DFA Self-Stab Reduced,DFA 자가 안정성 피해 감소
MechAffinity/AffinityDefs/AffinityDef_chassis_Ice_Cold.json,affinityData.affinityLevels[0].effectData[0].Description.Details,"The pilot's incredible skill with this mech improves its heat sinking systems, increasing dissipation by 6.",이 멕에 대한 조종사의 뛰어난 숙련도로 냉각 시스템이 향상되어 방열량이 6 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Indestructible.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Affinity Damage Reduction,친숙도 피해 감소
MechAffinity/AffinityDefs/AffinityDef_chassis_Invisible.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech decreases its visibility to the enemy.,이 멕에 대한 조종사의 뛰어난 숙련도로 적에게 탐지되기 더 어려워집니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Keen-Eyed.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech increases its vision and sensor range.,이 멕에 대한 조종사의 뛰어난 숙련도로 시야 및 센서 범위가 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Long-Range_Specialist.json,affinityData.affinityLevels[0].effectData[0].Description.Details,range bracket bonus accuracy,사거리 구간 명중 보너스
MechAffinity/AffinityDefs/AffinityDef_chassis_Nimble.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech makes it extremely mobile with its jump jets.,이 멕에 대한 조종사의 뛰어난 숙련도로 점프 제트 기동성이 크게 향상됩니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Precise_Shot.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its targeting by 1.,이 멕에 대한 조종사의 뛰어난 숙련도로 조준 수치가 1 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Resistant.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its resistant to critical damage by 50%.,이 멕에 대한 조종사의 뛰어난 숙련도로 치명타 피해 저항이 50% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Sharpshooter.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its targeting by 1.,이 멕에 대한 조종사의 뛰어난 숙련도로 조준 수치가 1 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Squirrelly_Bastard.json,affinityData.affinityLevels[0].effectData[0].Description.Details,BA Defense Boost,BA 방어 보너스
MechAffinity/AffinityDefs/AffinityDef_chassis_Stabilized.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech reduces stability damage taken by 50%.,이 멕에 대한 조종사의 뛰어난 숙련도로 받는 안정성 피해가 50% 감소합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Sturdy.json,affinityData.affinityLevels[0].effectData[0].Description.Details,"The pilot's incredible skill with this mech improves its life support systems by 2, reducing pilot hits even further.",이 멕에 대한 조종사의 뛰어난 숙련도로 생명 유지 장치가 2 향상되어 조종사 부상 확률이 더욱 감소합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Unlimited_Power.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its energy weapon damage by 10%.,이 멕에 대한 조종사의 뛰어난 숙련도로 에너지 무기 피해가 10% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_chassis_Zippy.json,affinityData.affinityLevels[0].effectData[0].Description.Details,The pilot's incredible skill with this mech improves its sprinting speed by 15%.,이 멕에 대한 조종사의 뛰어난 숙련도로 전력 질주 속도가 15% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Beats_By_Crab.json,affinityData.affinityLevels[0].effectData[0].Description.Details,BD's incredible skill with this mech improves its energy weapon damage by 10%.,BD의 이 멕에 대한 뛰어난 숙련도로 에너지 무기 피해가 10% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Bring_Your_Pretty_Face_To_My_Axe.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pharoah gains +0.2 sprint modifier in his Berserker.,파라오는 버서커 탑승 시 전력 질주 보정치 +0.2를 얻습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Can't_Break_Me.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Scorch takes 35% less crits against him when he's in his Cataphract or Caesar.,스코치는 캐터프랙트 또는 시저 탑승 시 치명타 피해를 35% 덜 받습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Choppy_Choppy.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Loki's incredible skill with this mech improves its hatchet damage by 30%.,로키의 이 멕에 대한 뛰어난 숙련도로 해쳇 피해가 30% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Fast_Turtle_Go_Brrrr.json,affinityData.affinityLevels[0].effectData[0].Description.Details,BD's incredible skill with this mech improves its walk speed by 20%.,BD의 이 멕에 대한 뛰어난 숙련도로 보행 속도가 20% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Foundation's_Edge.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Raza's incredible skill with this mech improves its energy weapon damage by 10%.,라자의 이 멕에 대한 뛰어난 숙련도로 에너지 무기 피해가 10% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_His_First_Love.json,affinityData.affinityLevels[0].effectData[0].Description.Details,BD's incredible skill with this mech improves its damage reduction by 15%.,BD의 이 멕에 대한 뛰어난 숙련도로 피해 감소 효과가 15% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_I_Am_a_God.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Sharmat gains +20% damage reduction from his belief in his own superiority.,샤르마트는 자신의 우월함에 대한 확신으로 피해 감소 20%를 얻습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Little_Purple_Tank.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Hellion gains 20% damage reduction in her Bushwacker or Gauntlet at all times.,헬리온은 부시웨커 또는 건틀렛 탑승 시 항상 피해 감소 20%를 얻습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Make_It_Rain.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Revostae gains a 10% missile damage increase in his Archer.,레보스태는 아처 탑승 시 미사일 피해가 10% 증가합니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_On_the_Wings_of_Angels.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Ridgeline gains +2 bonus accuracy in all LAMs.,리지라인은 모든 LAM 탑승 시 명중 보너스 +2를 얻습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Radar_Jammer.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Turtrus' incredible skill with this mech grants him +2 hit defense at all times.,터트러스는 이 멕에 대한 뛰어난 숙련도로 항상 피격 방어 +2를 얻습니다.
MechAffinity/AffinityDefs/AffinityDef_tagged_Shield_of_Faith.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Shade's incredible skill with this mech improves its damage reduction by 10%.,셰이드는 이 멕에 대한 뛰어난 숙련도로 피해 감소 효과가 10% 증가합니다.
