File,Key,Value,Translation
Core/Abilifier/Ai/AbilityAI.json,Description.Details,I am AI,저는 AI입니다
Core/Abilifier/Ai/AbilityG5AI.json,Description.Details,"+15% Crit. +3% Called Shot, -1 Recoil, +0.25 Cluster","치명타 +15%, 정밀 사격 +3%, 반동 -1, 클러스터 +0.25"
Core/Abilifier/Ai/AbilityG8AI.json,Description.Details,"-5% Heat Generated, -10% Jam Chance, +1 Accuracy, -1 Recoil, +0.5 Cluster, +10% Crit +5% to Called Shot Multiplier.","열 생성량 -5%, 재밍 확률 -10%, 명중도 +1, 반동 -1, 클러스터 +0.5, 치명타 +10%, 정밀 사격 배수에 +5%."
Core/Abilifier/Ai/AbilityGu5AI.json,Description.Details,"Brace After Melee, -10% Stability Damage Taken, +15% Panic Saves, +1 Hex & +10% Non-Mech Vehicle Movement Distance","근접전 후 방어 태세, 안정성 피해를 받는 양 -10%, 패닉 세이브 +15%, 비메크 차량 이동 거리 +1헥스 및 +10%"
Core/Abilifier/Ai/AbilityGu8AI.json,Description.Details,"+10 Heatsinking, For ALL Melee Attacks, +1 Accuracy, +20% Damage, -10% Charge Self Damage, -15% DFA Self Damage.","히트 싱크 +10, 모든 근접 공격에 대해, 명중도 +1, 피해량 +20%, 돌진 자가 피해 -10%, DFA 자가 피해 -15%입니다."
Core/Abilifier/Ai/AbilityP5AI.json,Description.Details,"Evasive Pips are Immune to Sensor Lock, +1 Evasion, +1 Max Evasion, +1 Initiative","회피 핍이 센서 록에 면역, +1 회피, +1 최대 회피, +1 주도권"
Core/Abilifier/Ai/AbilityP8AI.json,Description.Details,"+1 Local ECM, -25% Signature and Visibility, +1 Move, -50% chance to trigger mines","로컬 ECM +1, 시그니처 및 가시성 -25%, 이동력 +1, 기뢰를 작동시킬 확률 -50%"
Core/Abilifier/Ai/AbilityT5AI.json,Description.Details,"PASSIVE: Remove one bar of stability damage when Reserving. +1 Initiative, +1 Adv Sensors, +10% Sight and Sensor Range","패시브: 대기 시 안정성 피해 막대 하나를 제거합니다. 이니셔티브 +1, 고급 센서 +1, 시야 및 센서 범위 +10%"
Core/Abilifier/Ai/AbilityT8AI.json,Description.Details,"Lancemates Receive Night Vision, -1 Jamming, +10% Sight/Sensors, +1 Initiative. Stacks 5 times","랜스메이트가 야간 투시를 받고, 재밍 -1, 시야/센서 +10%, 이니셔티브 +1을 얻습니다. 5회 중첩됩니다"
Core/Abilifier/Ai/TraitBtFReduce01.json,Description.Details,KnockdownReduction,넉다운감소
Core/Abilifier/Ai/TraitBtFReduce02.json,Description.Details,KnockdownReduction,넉다운리덕션
Core/Abilifier/Ai/TraitBtFReduce03.json,Description.Details,KnockdownReduction,넉다운 리덕션
Core/Abilifier/Ai/TraitBtFReduce04.json,Description.Details,KnockdownReduction,넉다운 리덕션
Core/Abilifier/TagAbilities/AbilityDef_AAStance.json,Description.Details,"ACTION: Attempt to disrupt incoming enemy airstrikes.

This brings all the unit's weapons with an Anti-Air Factor to bear against the strafing fighter in order to try and stop the attack run.

Covers friendly units up to 900 meters away.","행동: 접근 중인 적 공습을 방해하려 시도하십시오.

이 행동은 기총소사를 가하는 전투기의 공격 진입을 저지하기 위해, 안티 에어 팩터를 가진 해당 유닛의 모든 무장을 동원합니다.

최대 900미터 떨어진 아군 유닛까지 엄호합니다."
Core/Abilifier/TagAbilities/AbilityDef_CarefulManeuvers.json,Description.Details,"ACTION: Reduce movement to a crawl, but allow the unit to ignore all pathing and terrain restrictions for the turn in order to get unstuck.",행동: 이동 속도를 거의 기어가는 수준으로 줄이십시오. 하지만 턴 동안에는 유닛이 꼼짝 못 하는 상태에서 벗어날 수 있도록 모든 경로 탐색 및 지형 제한을 무시할 수 있게 하십시오.
Core/Abilifier/TagAbilities/AbilityDef_Command.json,Description.Details,"+1 Initiative, +1 Resolve per round, +1 Tactics, and +25% to panic saves to allies within 5 hex radius. Does not stack.","반경 5헥스 내 아군에게 Initiative +1, 라운드당 Resolve +1, Tactics +1, 그리고 공황 저항 판정 +25%를 부여합니다. 중첩되지 않습니다."
Core/Abilifier/TagAbilities/AbilityDef_FirstAid.json,Description.Details,"ACTION: Administer first aid to recover 2 points of lost blood and improve panic rolls for 1 turn.

<color=#F79B26>Can only be used as the first action and ends your turn.</color>","행동: 응급처치를 실시해 잃은 혈액 2점을 회복하고 1턴 동안 패닉 판정을 개선하십시오.

<color=#F79B26>첫 번째 행동으로만 사용할 수 있으며, 사용하면 턴이 종료됩니다.</color>"
Core/Abilifier/TagAbilities/AbilityDef_LayOnHands.json,Description.Details,Decreased Bleeding Rate to allies within 5 hex radius. Yellow Circle. Does not stack.,반경 5헥스 이내 아군의 출혈 속도를 감소시킵니다. 노란 원입니다. 중첩되지 않습니다.
