File,Key,Value,Translation
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Agile.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Agile.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_All_Out.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_All_Out.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_All_Out.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ambusher.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ambusher.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ambusher.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[3].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[4].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Ankle_biter.json,affinityData.affinityLevels[0].effectData[5].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_AriesInitiative.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_AriesInitiative.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_AriesInitiative.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Armed_to_the_Teeth.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Armed_to_the_Teeth.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Because_Science.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Because_Science.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Because_Science.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Because_Science.json,affinityData.affinityLevels[0].effectData[3].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Benedictio_Caelestis.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Benedictio_Caelestis.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Benedictio_Caelestis.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Bombardier.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Bombardier.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Bombardier.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Bombardier.json,affinityData.affinityLevels[0].effectData[3].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Brute.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Brute.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Brute.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Brute.json,affinityData.affinityLevels[0].effectData[3].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Cheaply_Made.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Cheaply_Made.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Cheaply_Made.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Close_Quarters_Specialist.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Close_Quarters_Specialist.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Close_Quarters_Specialist.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Cooler_Master.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Cooler_Master.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Death_From_Above.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Death_From_Above.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Dreadnought.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Dreadnought.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Dreadnought.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Eagle_Eye.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Eagle_Eye.json,affinityData.affinityLevels[0].effectData[1].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Eagle_Eye.json,affinityData.affinityLevels[0].effectData[2].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
Core/MechAffinity/AffinityDefs/AffinityDef_chassis_Electromagnetic_Proficiency.json,affinityData.affinityLevels[0].effectData[0].Description.Details,Pilot has Mastered the Chassis.,파일럿이 섀시를 숙달했습니다.
