File,Key,Value,Translation
Core/MissionControl/dialogue/AllyDrop.json,All[0],Let's get out there and do this!,나가서 해냅시다!
Core/MissionControl/dialogue/AllyDrop.json,All[1],Lets rock and roll!,신나게 시작해봅시다!
Core/MissionControl/dialogue/AllyDrop.json,All[2],"Wouldn't want any other Company by our side, Commander. It's an honour to fight here along side you.","사령관님, 우리 곁에서 함께 싸울 중대로는 다른 어떤 중대도 원하지 않습니다. 이곳에서 사령관님과 함께 싸우게 되어 영광입니다."
Core/MissionControl/dialogue/AllyDrop.json,All[3],"Go to {TGT_SYSTEM.name}, they said. See the world, they said. All I see are {TEAM_TAR.FactionDef.Demonym} Battlemechs. Lovely.",{TGT_SYSTEM.name}에 가라더군요. 세상 구경을 하라더군요. 제 눈에 보이는 건 {TEAM_TAR.FactionDef.Demonym} 배틀메크뿐입니다. 참 좋군요.
Core/MissionControl/dialogue/AllyDrop.json,All[4],"{COMMANDER.Callsign}, I fought along side you years ago. It's an honour to do the same again today.","{COMMANDER.Callsign}, 저는 몇 년 전 당신 곁에서 싸운 적이 있습니다. 오늘 다시 그렇게 하게 되어 영광입니다."
Core/MissionControl/dialogue/AllyDrop.json,All[5],"Glad you could grace us with your presence. Lead the way, Merc.","와주셔서 참 영광입니다. 앞장서십시오, 용병."
Core/MissionControl/dialogue/AllyDrop.json,All[6],Only good {TEAM_TAR.FactionDef.Demonym} is a dead {TEAM_TAR.FactionDef.Demonym}.,좋은 {TEAM_TAR.FactionDef.Demonym}은 죽은 {TEAM_TAR.FactionDef.Demonym}뿐입니다.
Core/MissionControl/dialogue/AllyDrop.json,AmbushConvoy[0],We must be close to the convoy by now. Let's push on.,이제 수송대에 거의 다 왔을 것입니다. 계속 밀고 나갑시다.
Core/MissionControl/dialogue/AllyDrop.json,AmbushConvoy[1],"Those bastards are here somewhere. Let's get hunting, Commander","저놈들이 이 어딘가에 있습니다. 사냥을 시작합시다, 사령관님."
Core/MissionControl/dialogue/AllyDrop.json,AmbushConvoy[2],"You make the initial engagement, {COMMANDER.Callsign}. We'll support you.","{COMMANDER.Callsign}, 먼저 교전을 시작하십시오. 저희가 지원하겠습니다."
Core/MissionControl/dialogue/AllyDrop.json,Assassinate[0],Beat the bushes and bring me the target's head.,수풀을 뒤져 표적의 머리를 가져오십시오.
Core/MissionControl/dialogue/AllyDrop.json,Blackout[0],We're not sure what's going on here but we better be ready for anything.,"여기서 무슨 일이 벌어지고 있는지는 확실하지 않지만, 무엇이든 대비하는 편이 좋겠습니다."
Core/MissionControl/dialogue/AllyDrop.json,Blackout[1],"This situation just doesn't feel right, Commander","이 상황은 영 찜찜합니다, 사령관님."
Core/MissionControl/dialogue/AllyDrop.json,Blackout[2],I have some friends here. I hope they're ok,여기에 제 친구들이 몇 명 있습니다. 그들이 무사하길 바랍니다
Core/MissionControl/dialogue/AllyDrop.json,Blackout[3],Why would we lose contact? You don't just lose contact without something bad happening.,왜 연락이 끊긴 겁니까? 뭔가 나쁜 일이 일어나지 않고서는 그냥 연락이 끊기지는 않습니다.
Core/MissionControl/dialogue/AllyDrop.json,CaptureBase[0],"It's critical we take this base, Commander.","이 기지를 점령하는 것이 매우 중요합니다, 사령관님."
Core/MissionControl/dialogue/AllyDrop.json,CaptureBaseAidAssault[0],"Thanks for the assist, Commander. Get here as fast as you can!","지원에 감사드립니다, 사령관님. 최대한 빨리 여기로 오십시오!"
Core/MissionControl/dialogue/AllyDrop.json,CaptureBaseAidAssault[1],"We're in mid-assault, {COMMANDER.Callsign}. Help would be much appreciated!","저희는 공격 중입니다, {COMMANDER.Callsign}. 도와주시면 정말 감사하겠습니다!"
Core/MissionControl/dialogue/AllyDrop.json,CaptureBaseJointAssault[0],We need to capture this base intact. We're going to make sure you don't mess this up for us.,이 기지는 온전한 상태로 점령해야 합니다. 사령관님께서 이 일을 망치지 못하게 확실히 하겠습니다.
Core/MissionControl/dialogue/AllyDrop.json,CaptureEscort[0],"Commander, we need to hurry and get to those vehicles. They won't last long","사령관님, 서둘러 저 차량들에 도달해야 합니다. 오래 버티지 못할 것입니다"
Core/MissionControl/dialogue/AllyDrop.json,CaptureEscort[1],It's critical we get these guys off {TGT_SYSTEM.name}. Let's do this!,이 사람들을 {TGT_SYSTEM.name}에서 빼내는 것이 매우 중요합니다. 시작합시다!
Core/MissionControl/dialogue/AllyDrop.json,DefendBase[0],"Commander, I'm glad we got here in time. We're forces from the next base along. Looks like we're in for a hell of a fight.","사령관님, 제때 도착해서 다행입니다. 저희는 다음 인근 기지에서 온 병력입니다. 아주 치열한 싸움이 될 것 같습니다."
Core/MissionControl/dialogue/AllyDrop.json,DefendBase[1],Oh man. This base was meant to be an easy assignment. Why does this always happen to me?,아이고. 이 기지는 쉬운 배치 임무가 될 예정이었습니다. 왜 이런 일이 항상 제게 일어나는 겁니까?
Core/MissionControl/dialogue/AllyDrop.json,DefendBase[2],"Great, just our luck to be stuck defending this hellhole with mercs. You no doubt caused this all to happen.","좋군요. 용병들과 함께 이 지옥 같은 곳을 방어해야 하다니, 참 운도 없군요. 분명 이 사태도 전부 당신들이 일으킨 것이겠죠."
