File,Key,Value,Translation
SwordOfRestoration\events\forcedevent_FP_StoryTime1_A.json,Description.Details,"Groggy, you wake up in medbay, with the crew waiting around you with concern. Darius explains. ""You took a nasty bump on the head punching out, Commander.""","머리가 멍한 상태로 메드베이에서 깨어나자, 걱정스러운 표정으로 둘러선 승무원들의 모습이 보입니다. 다리우스가 설명합니다.
“탈출할 때 머리를 심하게 부딪히셨습니다, 사령관님.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime3_A.json,Description.Details,"The ancient ship stirs to life, power conduits humming and frame creaking as Dr. Murad's team brings the engines to life.


Her voice crackles over the comms. ""Stay in your 'Mech, Commander. I'm not sure pressure will hold anywhere other than command.""","고대의 함선이 깨어나기 시작합니다. 전력 도관이 윙윙거리고, 선체가 삐걱거리며 무라드 박사의 팀이 엔진을 가동시킵니다.

통신기에 그녀의 목소리가 잡음 섞여 들려옵니다.
“사령관님, 메크 안에 그대로 계십시오. 지휘 구역을 제외한 다른 구역에서는 압력이 유지될지 확신할 수 없습니다.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime3_B.json,Description.Details,"In the morning briefing, Darius pulls up an inventory spreadsheet on the Argo's viewscreen. ""We're running a little low on medical supplies since that last drop. Medipatches, trauma packs, a few other things. It isn't critical yet, but I feel better when we're well-stocked.""

Sumire frowns. ""Why do we keep patching our supplies in dribs and drabs? Can't we get some kind of 'bulk discount' and get ahead of this problem? Gods know we'll end up using them, and maybe the doctors can speed up our recovery times for a while.""","아침 브리핑에서 다리우스가 아르고의 스크린에 재고 스프레드시트를 띄웁니다.
“지난 낙하 작전 이후 의료 보급품이 조금 부족해졌습니다. 메디패치, 외상 키트, 그리고 몇 가지 물품들이요. 아직 치명적인 수준은 아니지만, 충분히 비축되어 있을 때가 훨씬 안심이 됩니다.”

스미레가 얼굴을 찌푸리며 말합니다.
“왜 항상 조금씩만 채워 넣는 거죠? ‘대량 할인’ 같은 걸로 한꺼번에 확보해서 이 문제를 미리 막을 수는 없나요? 어차피 결국 다 쓰게 될 텐데요. 게다가 의사들도 그러면 회복 속도를 좀 더 높일 수 있을지 모르잖아요.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime4a_A.json,Description.Details,"Military chatter fills the comms, tones of horror and exhaustion dominating. Lady Arano eventually arrives at the Leopard to discuss what her troops found down here on Weldry.","군용 통신에 공포와 피로가 뒤섞인 목소리들이 가득합니다. 곧 레이디 아라노가 레오파드에 도착하여, 그녀의 병력이 웰드리 지상에서 발견한 것들에 대해 논의합니다."
SwordOfRestoration\events\forcedevent_FP_StoryTime4a_B.json,Description.Details,"""Lady Kamea is making an announcement over the HPG,"" Sumire calls for attention. ""Seems important. Shall I put it on screen?""","“레이디 카미아가 HPG를 통해 발표를 하고 있습니다.”

스미레가 모두의 주의를 끕니다.

“중요한 내용 같네요. 화면에 띄울까요?”"
SwordOfRestoration\events\forcedevent_FP_StoryTime5_A.json,Description.Details,The Newgrange burns in the distance as the Leopard settles to the ground from Anvelt's bloody sky.,"뉴그레인지는 멀리서 불타오르고, 레오파드는 핏빛으로 물든 안벨트의 하늘을 뚫고 지상에 착륙합니다."
SwordOfRestoration\events\forcedevent_FP_StoryTime5_B.json,Description.Details,"Dr. Farah catches up with you soon after a dropship from Smithon's surface departs, Lady Espinosa safely in its brig. ""Hey, Commander, I've put the code-breaking device that we got from Lord Karosas to work on our mystery archive. And now I'm watching a progress bar climb... reallllly slowly. I'll give you a heads-up when it's finished.""","스미손 지상에서 출발한 드랍쉽이 레이디 에스피노사를 안전하게 유치장에 태우고 떠난 직후, 파라 박사가 사령관님을 찾아옵니다.
“사령관님, 카로사스 경에게서 받은 암호 해독 장치를 우리 미스터리 기록 보관소에 적용해 두었습니다. 지금 아주아주 느리게 올라가는 진행 표시줄을 지켜보고 있습니다. 끝나면 바로 알려드리겠습니다.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime5_C.json,Description.Details,"Dr. Farah calls you on the intercom, sounding excited. ""Hey, Commander, remember that codebreaker we've had working? It just started blinking green and beeping at me. I think we're ready to find out what's in that storage device.""","파라 박사가 인터콤을 통해 흥분한 목소리로 호출합니다.
“사령관님, 우리가 계속 돌려두었던 암호 해독기 기억하시죠? 방금 초록 불빛이 깜박이며 경고음을 내기 시작했습니다. 이제 그 저장 장치 안에 무엇이 있는지 확인할 준비가 된 것 같습니다.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime6_A.json,Description.Details,"Sumire is worried, though she hides it well, catching you as soon as the drop is complete, while the MechWarriors are still disembarking. ""Commander, I've identified that ship I warned you about. It's Taurian, and they don't sound happy.""","스미레는 걱정스러운 기색을 잘 감추고 있었지만, 드랍이 끝나자마자 멕워리어들이 하선하기도 전에 당신을 붙잡습니다.
“사령관님, 전에 경고드렸던 그 함선을 확인했습니다. 타우리안 소속이고… 기분이 상당히 언짢아 보입니다.”"
SwordOfRestoration\events\forcedevent_FP_StoryTime6_B.json,Description.Details,"Even with Lady Arano safely aboard the Leopard, this is far from over. Sumire looks up from her controls. ""Another transmission from the Taurians, Commander.""","레이디 아라노가 무사히 레오파드에 승선했음에도 불구하고, 사태는 아직 끝나지 않았습니다. 스미레가 조종석에서 고개를 들어 말합니다.

“사령관님, 타우리안 측에서 또 다른 통신이 왔습니다.”"
