File,Key,Value,Translation
Urban Warfare Flashpoints\chassis\chassisdef_urbanmech_UM-R60SB.json,Description.Details,"Taken as a prize by the victor of the Tournament of Champions, this UrbanMech has been extensively modified by Professor Horvat for reasons unknown. In place of its usual weaponry are a pair of gauss weapons: the Silver Bullet Gauss Rifle providing the main punch and a lone Magshot Gauss Rifle providing quiet backup. To make these weapons possible on the chassis, this Urbie has been made with an Endo-Steel structure and Ferro-Fibrous armor. Truly, the mind that created this was quite unhinged.","챔피언 토너먼트에서 승리한 자가 전리품으로 차지한 어반메크(UrbanMech)는 정체불명의 이유로 호르바트 교수에 의해 대대적으로 개조되었습니다. 원래 무장 대신 두 개의 가우스 무기가 장착되었는데, 주 화력은 실버 불릿(Silver Bullet) 가우스 라이플이 담당하며, 보조 화력으로는 매그샷(Magshot) 가우스 라이플이 사용됩니다. 이러한 무장을 섀시에 장착하기 위해 엔도-스틸 구조와 페로-파이브러스 장갑이 적용되었습니다. 이걸 만든 자의 정신 상태는 정말로 상식 밖이었다고 할 수 있습니다."
Urban Warfare Flashpoints\events\forcedevent_FP_BreakingNews_BreakingNews.json,Description.Details,"Darius pulls up beside you in a hurry. ""Commander you have to come to the Command Center. You're not going to believe it. We're on C.B.S""

Darius smiles as you both make your way to the Command Center. 

""This is a C.B.S. Breaking News Alert... The Capellan Confederation has extended an open bounty to five mercenary companies to hunt down and eliminate a rogue company of the Wolf's Dragoons for war crimes against the Confederation. The companies named by our exclusive source are Broadsword Legion, Gray's Ghosts, Lone Star Regiment, The Knights of Caerbannog and {COMPANY.CompanyName}. The amount of the bounty has not been disclosed, but is reportedly very large.""

Darius turns to you and asks, ""So {COMMANDER.FirstName}, are we going wolf hunting?""","다리우스가 급히 옆에 멈춥니다. ""사령관님, 지휘 센터로 오셔야 합니다. 믿기 어려우실 겁니다. 저희가 C.B.S.에 나왔어요.""

두 분이 함께 지휘 센터로 걸어가자 다리우스가 미소를 짓습니다.

""이것은 C.B.S. 속보입니다... 카펠란 연합(Capellan Confederation)이 불량 기업 울프스 드래군즈(Wolf's Dragoons)의 전쟁 범죄를 추적·제거하라는 공개 현상금을 다섯 개의 용병단에 제시했습니다. 우리 독점 출처가 지목한 부대는 브로드소드 군단(Broadsword Legion), 그레이즈 고스트(Gray's Ghosts), 론 스타 연대(Lone Star Regiment), 카어번녹 기사단(The Knights of Caerbannog), 그리고 {COMPANY.CompanyName}입니다. 현상금 액수는 공개되지 않았으나, 보도가에 따르면 매우 거액이라고 합니다.""

다리우스가 당신을 바라보며 묻습니다. ""그렇다면 {COMMANDER.FirstName} 사령관님, 우리가 늑대를 잡으러 가는 건가요?"""
Urban Warfare Flashpoints\flashpoints\fp_AKnightAtTheOmni.json,Description.Details,The local government needs your assistance with a pirate problem,현지 정부가 해적 문제 해결을 위해 귀하의 도움이 필요합니다.
Urban Warfare Flashpoints\flashpoints\fp_BreakingNews.json,Description.Details,"Big target, big payout. Hunt down these animals.",목표가 크면 보상도 큽니다. 이놈들을 사냥하십시오.
Urban Warfare Flashpoints\flashpoints\fp_MackAttack.json,Description.Details,"Wallo has a new shiny ""Toy"" he'd like you to show off to his closest ""friends.""","왈로는 자신의 가장 가까운 ""친구들""에게 자랑하고 싶은 새 반짝거리는 ""장난감""을 하나 가지고 있습니다."
Urban Warfare Flashpoints\flashpoints\fp_tournament.json,Description.Details,lorem ipsum,lorem ipsum
Urban Warfare Flashpoints\flashpoints\fp_uw1.json,Description.Details,Custom Linear FP,Custom Linear FP
Urban Warfare Flashpoints\flashpoints\fp_yangBigScore.json,Description.Details,Short Split Template,Short Split Template
Urban Warfare Flashpoints\mech\mechdef_urbanmech_UM-R60SB.json,Description.Details,"Taken as a prize by the victor of the Tournament of Champions, this UrbanMech has been extensively modified by Professor Horvat for reasons unknown. In place of its usual weaponry are a pair of gauss weapons: the Silver Bullet Gauss Rifle providing the main punch and a lone Magshot Gauss Rifle providing quiet backup. To make these weapons possible on the chassis, this Urbie has been made with an Endo-Steel structure and Ferro-Fibrous armor. Truly, the mind that created this was quite unhinged.","챔피언 토너먼트(Tournament of Champions)의 우승자가 전리품으로 획득한 어반메크(UrbanMech)는 호르바트 교수(Professor Horvat)에 의해 정체불명의 이유로 대대적으로 개조되었습니다. 기존 무장 대신 두 정의 가우스 무장이 장착되어 있는데, 주 화력은 실버 불릿(Silver Bullet) 가우스 라이플이 담당하고 보조 화력으로는 매그샷(Magshot) 가우스 라이플이 장착되어 있습니다. 이러한 무장을 섀시에 장착하기 위해 이 어반메크는 엔도-스틸 구조와 페로-파이브러스 장갑으로 제작되었습니다. 이것을 만든 이의 정신은 확실히 정상적이지 않았습니다."
Urban Warfare Flashpoints\pilot\pilot_FP_Black_Knight.json,Description.Details,NONE,NONE
Urban Warfare Flashpoints\chassis\chassisdef_urbanmech_UM-R60SB.json,Description.Name,UrbanMech,UrbanMech
Urban Warfare Flashpoints\events\forcedevent_FP_BreakingNews_BreakingNews.json,Description.Name,Breaking News,Breaking News
Urban Warfare Flashpoints\flashpoints\fp_AKnightAtTheOmni.json,Description.Name,A Knight at the Omni,A Knight at the Omni
Urban Warfare Flashpoints\flashpoints\fp_BreakingNews.json,Description.Name,Breaking News,Breaking News
Urban Warfare Flashpoints\flashpoints\fp_MackAttack.json,Description.Name,Mack Attack,Mack Attack
Urban Warfare Flashpoints\flashpoints\fp_tournament.json,Description.Name,Tournament of Champions,Tournament of Champions
Urban Warfare Flashpoints\flashpoints\fp_uw1.json,Description.Name,Prototype,Prototype
Urban Warfare Flashpoints\flashpoints\fp_yangBigScore.json,Description.Name,Yang Virtanen's Big Score,Yang Virtanen's Big Score
Urban Warfare Flashpoints\mech\mechdef_urbanmech_UM-R60SB.json,Description.Name,UrbanMech,UrbanMech
Urban Warfare Flashpoints\pilot\pilot_FP_Black_Knight.json,Description.Name,Walt,Walt
Urban Warfare Flashpoints\flashpoints\fp_AKnightAtTheOmni.json,FlashpointShortDescription,Commander we desperately need your assistance with a local pirate problem.,"사령관님, 현지 해적 문제로 간절히 도움이 필요합니다."
Urban Warfare Flashpoints\flashpoints\fp_BreakingNews.json,FlashpointShortDescription,We need your company for a large bounty on a rogue company of the Wolf's Dragoons.,울프스 드래군즈(Wolf's Dragoons)의 불량 기업을 상대로 한 거액의 현상금을 위해 귀사의 부대가 필요합니다.
Urban Warfare Flashpoints\flashpoints\fp_MackAttack.json,FlashpointShortDescription,I have a most interesting and lucrative proposal for you commander.,사령관님께 아주 흥미롭고 수익성 높은 제안을 드리고자 합니다.
Urban Warfare Flashpoints\flashpoints\fp_tournament.json,FlashpointShortDescription,"Your deeds on the field of battle have earned you an invitation to my Tournament of Champions. Join us, and take your place in the arena against the Periphery's fiercest warriors!",전장에서의 공적(행적)으로 귀하께서는 토너먼트 오브 챔피언스(Tournament of Champions)에 초대받으셨습니다. 저희와 함께하시어 변방지역(Periphery)의 가장 사나운 전사들과의 경기장에서 자리를 차지하십시오.
