File,Key,Value,Translation
chassis\chassisdef_javelin_JVN-10A.json,Description.Details,"Not much is known about the JVN-10A, it appears to be a refit of the standard JVN-10N, but designed for long range support.  It has been seen in service with the Aurigan Coalition.",JVN-10A에 대해서는 알려진 바가 많지 않습니다. 표준 JVN-10N의 개조형으로 보이지만 장거리 지원용으로 설계된 것으로 보입니다. 아우리가 연합에서 운용되는 것이 목격된 바 있습니다.
chassis\chassisdef_javelin_JVN-10F.json,Description.Details,"The only Succession Wars variant, also known as the Fire Javelin, the 10F was introduced in 2819 and is the complete opposite of the 10N model as it removes both of the SRM-6 launchers in favor of four Medium Lasers. While less reliant on expendable ammunition stores, this variant is also more susceptible to overheating if the lasers are used simultaneously with the jump jets.","계승전쟁 시기의 유일한 변형기인 파이어 재블린이라 불리는 10F는 2819년에 도입되었으며, SRM-6 발사기 두 기를 제거하고 대신 미디엄 레이저 네 기를 장착하여 10N 모델과는 정반대의 특징을 지니고 있습니다. 일회성 탄약 비축에 덜 의존한다는 장점이 있으나, 점프 젯과 레이저를 동시에 사용할 경우 과열에 훨씬 더 취약하다는 단점도 있습니다."
chassis\chassisdef_javelin_JVN-10N.json,Description.Details,"With a reliable GM 180 engine the Javelin benefits from a good cruising speed of 64 km/h while six Rawlings 95 jump jets - two in each leg and the remainder in the rear center torso - provided for good maneuverability and a total jumping distance of 180 meters. Four tons of armor allow it to survive most surprise encounters and retreat to safety, with a half-ton protecting the chest, side torsos and legs each. Ten heat sinks mounted in the engine are sufficient cooling for the 'Mech.","신뢰할 수 있는 GM 180 엔진을 탑재한 재블린은 시속 64km의 우수한 순항 속도를 자랑하며, 각 다리에 두 기씩, 나머지는 후방 중앙 동체에 장착된 여섯 기의 롤링스 95 점프 젯 덕분에 뛰어난 기동성을 확보하고 총 180미터의 도약 거리를 가집니다. 4톤에 달하는 장갑은 대부분의 기습적인 교전을 견디고 안전지대로 후퇴할 수 있게 해주며, 상체, 측면 동체, 그리고 각 다리에 각각 0.5톤씩 보호를 제공합니다. 엔진에 장착된 열 싱크 10기는 멕의 냉각에 충분합니다."
chassis\chassisdef_javelin_JVN-10P.json,Description.Details,"The 10P model is an upgrade of the 10N model introduced by the Federated Commonwealth amid much secrecy in 3049. The 10P retains the armor and speed profile of the 10N, removes one of the SRM-6 launchers and replaces it with two Streak SRM-2 launchers. While sacrificing slightly in terms of firepower, this variant is far more ammo-efficient than the original.","10P 모델은 3049년, 극도의 비밀 속에서 항성 합중국에 의해 도입된 10N 모델의 개량형입니다. 10P는 10N의 장갑과 속도 성능을 그대로 유지하면서, SRM-6 발사기 한 기를 제거하고 대신 스트리크 SRM-2 발사기 두 기를 장착했습니다. 화력 면에서는 다소 희생이 있지만, 이 변형기는 원형보다 훨씬 더 탄약 효율성이 뛰어납니다."
chassis\chassisdef_javelin_JVN-10PA.json,Description.Details,Rockets are fun! That might as well be stenciled on the side of this Javelin's cockpit as that's all it carries. For initial salvos there are a pair of Reloading RL-15s but the real punch comes from the RL-40 with an attached ammo feed to permit it to reload on the fly. With 70 repeatable rockets the Javelin JVN-10PA poses a real threat to anything it can catch.,"로켓은 정말 재미있습니다! 이 재블린의 조종석 옆면에 그렇게 스텐실로 새겨져 있어도 무방할 정도인데, 그 이유는 이 기체가 장착한 무장이 전부 로켓뿐이기 때문입니다. 초기 일제사격용으로는 리로딩 RL-15 두 기가 장착되어 있지만, 진짜 위력은 탄약 공급장치가 부착되어 비행 중 재장전이 가능한 RL-40에서 나옵니다. 반복 발사가 가능한 로켓 70발을 탑재한 Javelin JVN-10PA는 붙잡을 수 있는 어떤 목표물에게도 실질적인 위협이 됩니다."
chassis\chassisdef_javelin_JVN-11A.json,Description.Details,"The second version of the Javelin to carry the moniker of Fire Javelin, this upgrade of the 10F was introduced following the Clan Invasion in 3053 and mounts seven medium lasers, using double heat sinks to counter the massive amount of heat that can build up from using so many energy weapons. The conventional armor was also swapped out for Ferro-Fibrous and an additional ton added to increase the overall protection for the Javelin. This design was a field refit often seen after other units had cast off their old parts.","파이어 재블린이라는 명칭을 지닌 재블린의 두 번째 버전인 이 10F 업그레이드는 3053년 클랜 침공 이후 도입되었으며, 미디엄 레이저 일곱 기를 장착하고 이렇게 많은 에너지 무기를 사용할 때 쌓이는 막대한 열을 상쇄하기 위해 더블 히트 싱크를 사용합니다. 기존의 장갑은 페로-파이버러스 장갑으로 교체되었고, 재블린의 전체적인 보호력을 높이기 위해 추가로 1톤이 증량되었습니다. 이 설계는 다른 기체들이 오래된 부품을 제거한 이후 현장에서 자주 이루어지던 야전 개조였습니다."
chassis\chassisdef_javelin_JVN-11B.json,Description.Details,"The 11B is a scout design introduced in 3054 that replaces the missiles launchers with twin SRM-4s so that it can mount a Beagle Active Probe and Guardian ECM Suite. Additional Ferro-Fibrous armor gives the 11B more than a forty percent increase in protection, while the inclusion of CASE necessitated dropping the jump jets and an upgrade to double heat sinks provides ample cooling.","11B는 3054년에 도입된 정찰형 설계로, 미사일 발사기를 SRM-4 두 기로 교체하여 비글 액티브 프로브와 가디언 ECM 슈트를 장착할 수 있도록 했습니다. 추가된 페로-파이버러스 장갑은 11B의 방호력을 40% 이상 향상시켰으며, CASE의 도입으로 점프 젯이 제거되었고, 더블 히트 싱크로의 업그레이드를 통해 충분한 냉각 능력을 확보했습니다."
chassis\chassisdef_javelin_JVN-11D.json,Description.Details,"The third version of the Javelin to carry the moniker of Fire Javelin, the Javelin 11D model is an upgrade of the 10F introduced in 3062. It carries three ER Medium Lasers and two Medium Pulse Lasers, mated to an advanced Targeting Computer as well as a C3 slave unit. The engine has been upgraded to an extralight model and the structure has been replaced with an Endo Steel internal structure.","파이어 재블린이라는 명칭을 지닌 재블린의 세 번째 버전인 Javelin 11D 모델은 3062년에 도입된 10F의 개량형입니다. 이 기체는 ER 미디엄 레이저 세 기와 미디엄 펄스 레이저 두 기를 장착하고 있으며, 고급 타게팅 컴퓨터와 C3 슬레이브 유닛에 연동되어 있습니다. 엔진은 초경량 모델로 업그레이드되었고 구조는 엔도 스틸 내부 구조로 교체되었습니다."
chassis\chassisdef_javelin_JVN-12L.json,Description.Details,"Designed to make use of the Federated Commonwealth's newly-developed Enhanced LRM system, the JVN-12L is a simple, clean design. Armed exclusively with two NLRM-5s, the -12L is simple but effective. Each launcher is equipped with Artemis IV for maximum effectiveness while two tons of ammo provides extensive combat endurance. For utility, the design carries a Beagle Active Probe as well.","항성 합중국이 새로 개발한 향상형 LRM 시스템을 활용하도록 설계된 JVN-12L은 단순하고 깔끔한 설계입니다. NLRM-5 두 기만을 장착한 이 -12L은 단순하지만 효과적이며, 각 발사기에는 최대의 효율을 위해 아르테미스 IV가 장착되어 있고 탄약 2톤은 우수한 전투 지속력을 제공합니다. 유틸리티 용도로 비글 액티브 프로브도 탑재되어 있습니다."
chassis\chassisdef_javelin_JVN-12M.json,Description.Details,"When the FWLM went looking for a light chassis for their Light Gauss Rifle, the venerable Javelin was recommended. The -12M proved an able carrier of the weapon, providing rapid speed to reposition quickly for better shots. To carry the still quite heavy LGR, an upgrade to a XL engine was required, as was stripping all the jump jets. A single ton of ammo gives moderate endurance and a lone ER Medium Laser backs up the main gun.","FWLM이 그들의 라이트 가우스 라이플을 위한 경량 섀시를 찾았을 때, 유서 깊은 재블린이 추천되었습니다. -12M은 무기를 운반하는 데 능력을 발휘하여 보다 나은 사격을 위해 신속히 재배치할 수 있는 빠른 속도를 제공합니다. 여전히 상당히 무거운 LGR을 실기 위해서는 XL 엔진으로의 업그레이드가 필요했으며, 모든 점프 젯을 제거하기도 했습니다. 탄약 1톤은 적당한 지속력을 제공하며, 단독의 ER 미디엄 레이저가 주무장을 보조합니다."
