File,Key,Value,Translation
WarTechIIC/events/bd_event_TriggerInvasion.json,Description.Details,"After a long few days, Darius calls you to the bridge.  ""Commander, thanks to our efforts here at [[TGT_SYSTEM,{TGT_SYSTEM.Name}]], our employer has successfully taken a beachhead and is beginning a full-scale invasion. Our rep has offered us further work in the invasion, if you're interested. I've pulled up the appropriate contract in the Command Center, take a look and see if you're interested. I'm sure our employer will be thrilled to have us sticking around for the main event.""","며칠간의 긴 시간이 흐른 뒤, 다리우스가 사령관님을 브리지로 부릅니다. “사령관님, [[TGT_SYSTEM,{TGT_SYSTEM.Name}]]에서의 우리 활약 덕분에 고용주가 교두보 확보에 성공했고, 이제 전면 침공을 시작하려 합니다. 관심이 있으시다면 침공 작전에 대한 추가 임무를 제안받았습니다. 관련 계약을 지휘 센터에 띄워 두었으니 검토해 보시지요. 고용주는 우리가 이 중요한 국면까지 함께해 준다면 매우 기뻐할 겁니다.”"
WarTechIIC/events/bd_event_TriggerInvasion.json,Description.Name,The Invasion Begins,침공 개시
WarTechIIC/descriptions/ContractBlockedBecauseCampaign.json,Details,This contract is unavailable because an important campaign contract is pending,중요한 캠페인 계약이 대기 중이어서 이 계약은 이용할 수 없습니다
WarTechIIC/descriptions/ContractBlockedBecauseExtended.json,Details,This contract is unavailable because you are already employed in an extended contract,이미 장기 계약을 수행 중이어서 이 계약은 이용할 수 없습니다
WarTechIIC/events/bd_event_TriggerInvasion.json,Options[0].ResultSets[0].Description.Details,"You think for a moment before responding. ""Understood, Darius. I'll talk to Yang about our forces, see if we're prepped to support the full invasion or not.""

""Aye, aye, Commander.""","당신은 잠시 생각한 뒤 답합니다. “알겠습니다, 다리우스. 양과 우리 전력 상태를 상의해서 전면 침공을 지원할 준비가 되었는지 확인해 보겠습니다.”

“예, 사령관님.”"
WarTechIIC/events/bd_event_TriggerInvasion.json,Options[0].ResultSets[0].Description.Name,Invasion begins.,침공 개시
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,contractName,Gunslinger Program,건슬링어 프로그램
WarTechIIC/contracts/wiic_facility_defence.json,contractName,Facility Defence,시설 방어
WarTechIIC/contracts/wiic_field_testing.json,contractName,Field Testing,현장 시험
WarTechIIC/contracts/wiic_frontline_push.json,contractName,Frontline Push,전선 돌파
WarTechIIC/contracts/wiic_garrison_duty.json,contractName,Garrison Duty,주둔 임무
WarTechIIC/contracts/wiic_gunslingers.json,contractName,Gunslinger Program,건슬링어 프로그램
WarTechIIC/contracts/wiic_help_attacker.json,contractName,Flareup: Attack Planet,플레어업: 행성 공격
WarTechIIC/contracts/wiic_help_defender.json,contractName,Flareup: Defend Planet,플레어업: 행성 방어
WarTechIIC/contracts/wiic_pirate_raid.json,contractName,Pirate Raid,해적 습격
WarTechIIC/contracts/wiic_raid_attacker.json,contractName,Flareup: Raid Planet,플레어업: 행성 습격
WarTechIIC/contracts/wiic_raid_defender.json,contractName,Flareup: Defend Planet,플레어업: 행성 방어
WarTechIIC/contracts/wiic_training_duty.json,contractName,Training Duty,훈련 임무
WarTechIIC/contracts/wiic_vip_hunt.json,contractName,VIP Hunt,VIP 추적
WarTechIIC/contracts/wiic_vip_protection.json,contractName,VIP Protection,VIP 경호
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,contractObjectiveList[0].title,Defeat the Gunslinger,건슬링어 격파
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[0].dialogueContent[0].words,"It's just one Gunslinger but these guys are highly trained and very skilled, be careful.","상대는 건슬링어 한 명뿐이지만, 이들은 고도로 훈련된 베테랑들입니다. 각별히 주의하십시오."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[1].dialogueContent[0].words,"Great show, Commander, the ComGuard adepts are already pouring over the data from the duel as we speak.","훌륭한 경기였습니다, 사령관님. 컴가드 숙련병들이 지금 이 순간에도 결투 데이터를 분석하고 있습니다."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[2].dialogueContent[0].words,"Even a loss is still a win for us since we still get paid at the end of the program and the data is still good for ComStar's training program. Don't sweat this loss too hard, Commander.","패배하더라도 우리에겐 여전히 이득입니다. 프로그램 종료 시 보수는 지급되고, 이 데이터 역시 컴스타 훈련 프로그램에 충분히 가치가 있습니다. 이번 패배를 너무 마음에 두지 마십시오, 사령관님."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,longDescription,"Get 'em, Commander.","놈들을 처리하십시오, 사령관님."
WarTechIIC/contracts/wiic_facility_defence.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. This one is probably going to be fairly busy, with limited downtime between deployments. The representative also mentioned a possible revenge strike towards the end of the contract, so be ready to go on the attack.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 이번 임무는 상당히 바쁘게 돌아갈 가능성이 높고, 배치 사이에 휴식 시간이 거의 없을 겁니다. 또한 계약 말미에 보복 타격이 있을 수 있다고 하니 공격 작전에 대비해 주십시오."
WarTechIIC/contracts/wiic_field_testing.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. It'll be relatively brief and they'll be providing the testing 'Mechs but we have to ensure we keep the testing 'Mechs alive and gather as much good data as we can.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 비교적 짧은 일정이며 시험용 멕은 그들이 제공하지만, 우리는 해당 멕을 생존시킨 채 최대한 많은 양질의 데이터를 수집해야 합니다."
WarTechIIC/contracts/wiic_frontline_push.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. This one's gonna be fast and brutal, be prepared for immediate and rapid combat drops with limited time between deployments.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 이번 작전은 빠르고 잔혹하게 전개될 것이니, 배치 간 간격이 거의 없는 즉각적이고 연속적인 전투 강하에 대비하십시오."
WarTechIIC/contracts/wiic_garrison_duty.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. They're not expecting a hot deployment, but you know how garrison duty can be: long periods of boredom punctuated by bouts of hectic activity.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 격렬한 전투 투입은 예상되지 않지만, 주둔 임무가 늘 그렇듯 긴 지루함과 갑작스러운 격전이 번갈아 나타날 수 있습니다."
